exit_policy,scenario_id,rule_id,split,month,ledger_days,start_equity_yuan,end_equity_yuan,monthly_return,net_pnl_yuan,total_cost_yuan,traded_notional_yuan,avg_exposure,max_exposure,avg_active_positions,max_drawdown_in_month,daily_win_rate
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202301,15,1000000.0,1062432.5665814148,0.06243256658141472,62432.566581414576,23460.801140229523,4692160.228045905,0.7849270980117715,0.9179938503336367,86.66666666666667,-0.009109956217334902,0.5333333333333333
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202302,20,1062432.5665814148,1018858.5982746282,-0.04101339668737225,-43573.96830678662,38747.48959568127,7749497.919136254,0.9272757842987623,0.9560606229328796,100.0,-0.05293517112678081,0.3
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202303,23,1018858.5982746282,934614.4712910468,-0.0826848074170875,-84244.12698358159,44566.79283637924,8913358.567275848,0.995519810531863,1.0612929299630565,100.0,-0.08621835873355566,0.2608695652173913
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202304,19,934614.4712910468,890367.2691838782,-0.04734273164639424,-44247.202107168414,37567.00529972712,7513401.059945424,1.0893523864749128,1.154218687868783,100.0,-0.07985034683985115,0.3684210526315789
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202305,20,890367.2691838782,897638.1589779303,0.008166169226679676,7270.8897940519055,39829.76616308184,7965953.232616368,1.092263376577109,1.153304879337247,100.0,-0.03807336953788387,0.6
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202306,20,897638.1589779303,871761.8918563445,-0.028827057832578107,-25876.267121585704,39332.37426138869,7866474.85227774,1.127481835585869,1.1745232934831347,100.0,-0.07153798376950671,0.45
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202307,21,871761.8918563445,836643.6579715901,-0.04028420399287369,-35118.2338847545,40792.22395598709,8158444.79119742,1.132630882223727,1.186975330922902,100.0,-0.052545523067780264,0.38095238095238093
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202308,23,836643.6579715901,711878.0934574081,-0.14912628969981223,-124765.5645141819,45090.34925299633,9018069.850599267,1.2623194378233855,1.4581505956478447,100.0,-0.1808134051124799,0.21739130434782608
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202309,20,711878.0934574081,712011.853553479,0.00018789747472247598,133.760096070886,38860.31628106719,7772063.256213439,1.3168635875678296,1.4536331809051897,100.0,-0.10136902062270836,0.35
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202310,17,712011.853553479,607666.22494955,-0.14655040935507624,-104345.62860392891,32863.23073923533,6572646.147847067,1.5254918017934793,1.7595100946046927,100.0,-0.1833016038312063,0.17647058823529413
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202311,22,607666.22494955,740349.2569208229,0.21834853826586897,132683.03197127293,44182.62028205258,8836524.056410516,1.488263337122598,1.6397244710586547,100.0,-0.02193693206795344,0.6818181818181818
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202312,21,740349.2569208229,682258.585284395,-0.07846387511487762,-58090.67163642765,41772.61640109038,8354523.280218076,1.4336666752320721,1.5679216847694508,100.0,-0.11824099058026016,0.3333333333333333
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202401,22,682258.585284395,397084.0506610289,-0.417985996474479,-285174.53462336626,43300.39631621055,8660079.26324211,1.6826686834431086,2.0288810790450564,100.0,-0.41591668475312493,0.18181818181818182
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202402,15,397084.0506610289,471078.01015125355,0.18634331791228176,73993.9594902246,30213.371611399016,6042674.322279804,2.8979680424944,5.490192336606099,100.06666666666666,-0.5176005515405842,0.6666666666666666
