trade_id,rule_id,split,trade_date,ts_code,industry,original_exit_date,exit_suspend_flag_5d,exit_limit_down_close_flag_5d,resolved,unresolved,delay_days,delayed_exit_date,original_return,delayed_return,return_delta
53436,low_stock_ret_60d,train,20210226,002168.SZ,电气设备,20210305,False,True,True,False,2.0,20210309,-0.07282913165266103,-0.16246498599439774,-0.08963585434173671
53465,low_stock_ret_60d,train,20210302,000667.SZ,UNKNOWN,20210309,False,True,True,False,1.0,20210310,0.15217391304347827,0.059782608695652106,-0.09239130434782616
53479,low_stock_ret_60d,train,20210302,600291.SH,UNKNOWN,20210309,False,True,True,False,1.0,20210310,0.08405797101449264,-0.0028985507246378495,-0.08695652173913049
53481,low_stock_ret_60d,train,20210303,002781.SZ,UNKNOWN,20210310,False,True,True,False,1.0,20210311,0.08975834292290008,0.03797468354430378,-0.0517836593785963
53482,low_stock_ret_60d,train,20210303,002862.SZ,文教休闲,20210310,False,True,True,False,1.0,20210311,0.14255983350676393,0.08428720083246621,-0.05827263267429772
53483,low_stock_ret_60d,train,20210303,603222.SH,医疗保健,20210310,False,True,True,False,1.0,20210311,0.2049492385786802,0.16878172588832507,-0.03616751269035512
53484,low_stock_ret_60d,train,20210303,603655.SH,汽车配件,20210310,False,True,True,False,1.0,20210311,0.10268270120259015,0.07539315448658646,-0.0272895467160037
53489,low_stock_ret_60d,train,20210303,002096.SZ,化工原料,20210310,False,True,True,False,1.0,20210311,0.18592297476759612,0.1195219123505975,-0.06640106241699861
53497,low_stock_ret_60d,train,20210303,603332.SH,化纤,20210310,False,True,True,False,1.0,20210311,-0.04562920268972137,-0.05955811719500492,-0.013928914505283552
53928,low_stock_ret_60d,train,20210402,600191.SH,食品,20210412,False,True,True,False,1.0,20210413,-0.10192837465564741,-0.10743801652892548,-0.0055096418732780705
53937,low_stock_ret_60d,train,20210402,002773.SZ,化学制药,20210412,False,True,True,False,3.0,20210415,-0.05734513274336284,-0.3005309734513274,-0.24318584070796456
54078,low_stock_ret_60d,train,20210414,600695.SH,UNKNOWN,20210421,True,True,True,False,3.0,20210426,-0.011363636363636465,-0.1335227272727273,-0.12215909090909083
54096,low_stock_ret_60d,train,20210415,600695.SH,UNKNOWN,20210422,False,True,True,False,2.0,20210426,-0.03779069767441856,-0.1133720930232558,-0.07558139534883723
54200,low_stock_ret_60d,train,20210423,600891.SH,UNKNOWN,20210430,False,True,False,False,,,-0.050000000000000155,,
54204,low_stock_ret_60d,train,20210423,600340.SH,园区开发,20210430,False,True,True,False,1.0,20210506,-0.12558869701726838,-0.15070643642072223,-0.025117739403453854
54205,low_stock_ret_60d,train,20210423,600191.SH,食品,20210430,True,True,True,False,3.0,20210510,-0.06976744186046513,-0.1960132890365448,-0.12624584717607967
54206,low_stock_ret_60d,train,20210423,300530.SZ,电气设备,20210430,True,True,True,False,1.0,20210506,-0.2745341614906833,-0.32360248447204976,-0.04906832298136643
54227,low_stock_ret_60d,train,20210426,600191.SH,食品,20210506,False,True,True,False,2.0,20210510,-0.11920529801324509,-0.19867549668874174,-0.07947019867549665
54232,low_stock_ret_60d,train,20210426,600291.SH,UNKNOWN,20210506,True,True,True,False,3.0,20210511,-0.15602836879432636,-0.2695035460992907,-0.11347517730496437
54248,low_stock_ret_60d,train,20210427,600191.SH,食品,20210507,False,True,True,False,1.0,20210510,-0.15100671140939603,-0.18791946308724838,-0.03691275167785235
54250,low_stock_ret_60d,train,20210427,600291.SH,UNKNOWN,20210507,False,True,True,False,2.0,20210511,-0.13740458015267176,-0.2137404580152671,-0.07633587786259532
