exit_policy,scenario_id,rule_id,split,months,positive_months,negative_months,monthly_win_rate,mean_monthly_return,median_monthly_return,best_month_return,worst_month_return,longest_negative_month_streak,avg_monthly_turnover
planned_t5_close,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,train,58,22,36,0.3793103448275862,-0.30799334134995887,-0.04943364402382089,1.7429516863936239,-13.37495927352406,8,-24.142114267711225
planned_t5_close,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,25,11,14,0.44,-0.005069186000032464,-0.04028420399287369,0.9278646353896234,-0.417985996474479,3,13.357774290770873
planned_t5_close,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,17,9,8,0.5294117647058824,0.0025537730748674105,0.007995680255540316,0.23134105888190648,-0.143937971455803,2,7.194876229601228
planned_t5_close,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,58,20,38,0.3448275862068966,0.5363696976351225,-0.08081750177304581,30.767724689061435,-7.33435674159675,7,129.89579917047146
planned_t5_close,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,validation,25,8,17,0.32,0.01571965239532845,-0.04612211200752259,0.9714130503985146,-0.5581765997091999,9,14.43365657878294
planned_t5_close,no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,research_holdout,17,13,4,0.7647058823529411,0.02749297179412003,0.03394896744063125,0.12768623477669894,-0.06321662264893912,1,5.735230669868088
planned_t5_close,no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,58,32,26,0.5517241379310345,0.011094704832264475,0.007510593045934266,0.24810159974842838,-0.11935181393904881,4,6.079171710601706
planned_t5_close,no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,validation,25,13,12,0.52,0.019193483523404952,0.005620777635540586,0.272676010704922,-0.20832953114846553,3,6.992538144758189
planned_t5_close,no_cost_full_fill_1m,low_stock_ret_60d,research_holdout,17,11,6,0.6470588235294118,0.03229202689800955,0.023850750747426375,0.26220871655083156,-0.07230912799012101,2,5.720990179661054
planned_t5_close,no_cost_full_fill_1m,low_stock_ret_60d,train,58,30,28,0.5172413793103449,0.0167645909592011,0.005971041138830846,0.6182676821307511,-0.21730101143398628,5,6.493477434546027
planned_t5_close,no_cost_full_fill_1m,low_stock_ret_60d,validation,25,15,10,0.6,0.022684803512766222,0.007816622190190303,0.3613366279664494,-0.26625555120144995,3,7.284616349814287
planned_t5_close,strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,17,12,5,0.7058823529411765,0.01623112288507434,0.021727149670999868,0.11418923981481122,-0.0854583946055304,2,6.235048449592129
planned_t5_close,strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,train,58,28,30,0.4827586206896552,0.0005903490580392779,-0.005304956042479325,0.2694299191000129,-0.1408473972719133,4,7.517070095690051
planned_t5_close,strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,25,12,13,0.48,0.004762587669931087,-0.0017443770974290285,0.3364009683058309,-0.28418988730879635,3,6.599274824515366
planned_t5_close,strict_5m_1pct_signal_40bps,low_stock_ret_60d,research_holdout,17,11,6,0.6470588235294118,0.021734171841032643,0.02188157070740404,0.2500921387151902,-0.09496702886341779,2,6.20703156756788
planned_t5_close,strict_5m_1pct_signal_40bps,low_stock_ret_60d,train,58,28,30,0.4827586206896552,0.00930783090938777,-0.011177061186042614,0.8227345920115523,-0.29722045797417196,5,9.456835362335621
planned_t5_close,strict_5m_1pct_signal_40bps,low_stock_ret_60d,validation,25,11,14,0.44,0.015673684071098832,-0.009493227468541754,0.4672766610568664,-0.342458340939621,4,8.67459349742754
