exit_policy,scenario_id,rule_id,split,year,signal_days,trades,net_pnl_yuan,avg_net_return_on_target,trade_win_rate,profit_factor,avg_fill_ratio
planned_t5_close,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,train,2022,54,1080,54465.67921008234,0.005043118445377992,0.5120370370370371,1.1764194194228603,0.9967180462962963
planned_t5_close,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,2023,1,20,10181.13180124832,0.05090565900624161,0.85,12.688316353710476,1.0
planned_t5_close,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,2024,96,1920,146109.1573400902,0.007609851944796367,0.5088541666666667,1.286987275776799,1.0
planned_t5_close,base_1m_5pct_signal_40bps,low_stock_ret_60d,train,2018,92,1840,135012.38450868768,0.007337629592863461,0.5135869565217391,1.2402395556424886,0.9978260869565218
planned_t5_close,base_1m_5pct_signal_40bps,low_stock_ret_60d,train,2019,25,500,17854.16811681853,0.003570833623363707,0.402,1.1406962671693448,0.996
planned_t5_close,base_1m_5pct_signal_40bps,low_stock_ret_60d,train,2021,16,320,245573.43453193406,0.0767416982912294,0.678125,4.385543479583486,0.996875
planned_t5_close,base_1m_5pct_signal_40bps,low_stock_ret_60d,train,2022,54,1080,76777.6595094394,0.007109042547170311,0.5138888888888888,1.1911234450487262,0.9990740740740741
planned_t5_close,base_1m_5pct_signal_40bps,low_stock_ret_60d,validation,2023,1,20,13866.02811488463,0.06933014057442315,0.9,20.08440377025932,1.0
planned_t5_close,base_1m_5pct_signal_40bps,low_stock_ret_60d,validation,2024,96,1920,454420.64472705394,0.0236677419128674,0.5322916666666667,1.6985045116206703,0.9989583333333333
planned_t5_close,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,train,2018,92,1840,119.26540367279085,6.481815416999833e-06,0.483695652173913,1.000299743192618,0.9972826086956522
planned_t5_close,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,train,2019,25,500,-57005.3211748719,-0.011401064234974381,0.336,0.43059038147841455,1.0
planned_t5_close,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,train,2021,16,320,122761.94372566234,0.03836310741426948,0.715625,3.946918745876064,1.0
planned_t5_close,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,train,2022,54,1080,-10414.808202372806,-0.0009643340928122986,0.4685185185185185,0.9694563914287667,0.9967180462962963
planned_t5_close,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,2023,1,20,8948.122387016112,0.044740611935080554,0.8,9.287622524101597,1.0
planned_t5_close,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,2024,96,1920,30239.089732855457,0.0015749525902528903,0.4546875,1.0533090418189843,1.0
planned_t5_close,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,2018,92,1840,24225.774134413048,0.00131661815947897,0.4826086956521739,1.0393585688642224,0.9978260869565218
planned_t5_close,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,2019,25,500,-12139.381486739032,-0.0024278762973478046,0.358,0.9163570094729236,0.996
planned_t5_close,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,2021,16,320,225656.88112151748,0.0705177753504742,0.665625,3.874737748579064,0.996875
planned_t5_close,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,2022,54,1080,11677.125462817843,0.0010812153206312817,0.49722222222222223,1.026999975326842,0.9990740740740741
planned_t5_close,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,validation,2023,1,20,12621.941858026257,0.0631097092901313,0.85,15.416467075970136,1.0
planned_t5_close,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,validation,2024,96,1920,337744.02956254384,0.017590834873049153,0.503125,1.4796851282226713,0.9989583333333333
