scenario_id,rule_id,split,cumulative_return_planned,max_drawdown_planned,profit_factor_planned,daily_win_rate_planned,trade_win_rate_planned,total_net_pnl_yuan_planned,total_cost_yuan_planned,avg_trade_fill_ratio_planned,zero_fill_trades_planned,partial_fill_trades_planned,cumulative_return_delayed,max_drawdown_delayed,profit_factor_delayed,daily_win_rate_delayed,trade_win_rate_delayed,total_net_pnl_yuan_delayed,total_cost_yuan_delayed,avg_trade_fill_ratio_delayed,zero_fill_trades_delayed,partial_fill_trades_delayed,cumulative_return_delta,max_drawdown_delta,profit_factor_delta,daily_win_rate_delta,trade_win_rate_delta,total_net_pnl_yuan_delta,total_cost_yuan_delta,avg_trade_fill_ratio_delta,zero_fill_trades_delta,partial_fill_trades_delta
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,-1.4290644137247264,-1.4797284219941655,0.853273665153276,0.48662640207075064,0.4020779220779221,-1429064.413724725,2312416.761740077,0.9991341991341991,20,0,-1.5707773027006313,-1.6202374939425712,0.8402824252740942,0.4995685936151855,0.4018181818181818,-1570777.3027006309,2311704.6366698463,0.9991341991341991,20,0,-0.14171288897590495,-0.14050907194840567,-0.012991239879181715,0.012942191544434878,-0.00025974025974029313,-141712.88897590595,-712.1250702305697,0.0,0,0
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,validation,-0.4819579998524606,-0.9347949715642738,0.8892213259697065,0.45081967213114754,0.3865702479338843,-481957.9998524606,969939.9095484801,0.9994834710743802,5,0,-0.5294631223210824,-0.9437953635553591,0.8791782898086,0.4437627811860941,0.3862603305785124,-529463.1223210825,969701.190340095,0.9994834710743802,5,0,-0.04750512246862182,-0.009000391991085266,-0.010043036161106467,-0.007056890945053462,-0.00030991735537189147,-47505.122468621936,-238.71920838509686,0.0,0,0
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,research_holdout,0.5655021091361083,-0.11654728289442606,1.428085590901598,0.5753012048192772,0.5596036585365853,565502.1091361076,0.0,1.0,0,0,0.5630836104199586,-0.11654728289442606,1.4261652933280091,0.5753012048192772,0.5596036585365853,563083.6104199575,0.0,1.0,0,0,-0.0024184987161497418,0.0,-0.0019202975735888028,0.0,0.0,-2418.4987161500612,0.0,0.0,0,0
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,0.7393011774827309,-0.2823725702966996,1.138248033257852,0.551337359792925,0.49203463203463205,739301.1774827323,0.0,1.0,0,0,0.7199401974464144,-0.28757788651281857,1.1342258002933456,0.5496117342536669,0.4919047619047619,719940.1974464149,0.0,1.0,0,0,-0.01936098003631659,-0.0052053162161189714,-0.004022232964506323,-0.0017256255392580355,-0.00012987012987014657,-19360.980036317487,0.0,0.0,0,0
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,validation,0.45808730970306155,-0.3955406488484403,1.1614173725777122,0.5081967213114754,0.4580578512396694,458087.3097030623,0.0,1.0,0,0,0.4584427419823327,-0.39530325753160467,1.161541780409688,0.5081967213114754,0.4580578512396694,458442.741982333,0.0,1.0,0,0,0.0003554322792711506,0.00023739131683564452,0.0001244078319757591,0.0,0.0,355.4322792707244,0.0,0.0,0,0
no_cost_full_fill_1m,low_stock_ret_60d,research_holdout,0.6511842987370806,-0.15247446522934582,1.325495363340395,0.5421686746987951,0.504420731707317,651184.2987370794,0.0,1.0,0,0,0.5995281598345339,-0.15520440775245348,1.295689346619365,0.5331325301204819,0.5038109756097561,599528.1598345332,0.0,1.0,0,0,-0.05165613890254672,-0.0027299425231076535,-0.029806016721029893,-0.009036144578313254,-0.0006097560975609762,-51656.13890254614,0.0,0.0,0,0
no_cost_full_fill_1m,low_stock_ret_60d,train,0.8891872412551001,-0.42751277400923093,1.103595389268825,0.5185504745470233,0.46220779220779223,889187.2412551036,0.0,1.0,0,0,0.7446649627712747,-0.4483651056873891,1.0858451727389145,0.5142364106988784,0.4618181818181818,744664.9627712772,0.0,1.0,0,0,-0.14452227848382537,-0.020852331678158142,-0.0177502165299106,-0.004314063848144922,-0.0003896103896104397,-144522.27848382643,0.0,0.0,0,0
no_cost_full_fill_1m,low_stock_ret_60d,validation,0.48514945795368525,-0.4760585087116803,1.1261744501009845,0.4918032786885246,0.4455578512396694,485149.4579536852,0.0,1.0,0,0,0.43740561627667907,-0.48481398613651716,1.1128348707604063,0.49079754601226994,0.4452479338842975,437405.61627667834,0.0,1.0,0,0,-0.04774384167700618,-0.008755477424836844,-0.013339579340578167,-0.0010057326762546448,-0.00030991735537189147,-47743.84167700686,0.0,0.0,0,0
strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,0.2955107850112819,-0.12931960801834508,1.2056249782853492,0.5240963855421686,0.5129573170731707,1477553.9250564172,1314568.920771656,0.997701734054878,0,68,0.2930971232925641,-0.1291981862632019,1.2039232401408893,0.5240963855421686,0.5129573170731707,1465485.6164628281,1314544.7357844948,0.997701734054878,0,68,-0.002413661718717819,0.00012142175514318065,-0.0017017381444599522,0.0,0.0,-12068.308593589114,-24.184987161308527,0.0,0,0
strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,train,-0.08098354299274146,-0.34005611854612006,0.9843051087575299,0.5306298533218292,0.46056277056277056,-404917.71496372076,4113074.7853006735,0.8886706647532467,13,5036,-0.09774829230388649,-0.3447551128119224,0.9811087285824162,0.5297670405522001,0.4604329004329004,-488741.4615194436,4112906.8018406425,0.8886706647532467,13,5036,-0.016764749311145022,-0.0046989942658023365,-0.0031963801751137,-0.0008628127696290733,-0.00012987012987014657,-83823.74655572284,-167.98346003098413,0.0,0,0
strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,-0.007685331985173183,-0.5636498006026693,0.9969973203089846,0.4774590163934426,0.42541322314049584,-38426.659925869084,1444629.4816835152,0.7447402252272728,10,3514,-0.007330610570461138,-0.5633758863430489,0.9971358730944956,0.4774590163934426,0.42541322314049584,-36653.05285230826,1444633.036006308,0.7447402252272728,10,3514,0.00035472141471204477,0.0002739142596204225,0.00013855278551100358,0.0,0.0,1773.6070735608228,3.5543227926827967,0.0,0,0
strict_5m_1pct_signal_40bps,low_stock_ret_60d,research_holdout,0.3812942245336095,-0.164538335503417,1.1797262127624004,0.5210843373493976,0.4774390243902439,1906471.1226680516,1315938.151027391,0.9980894302439025,4,24,0.32974139790886836,-0.16792396776490293,1.1533675044424188,0.5150602409638554,0.4768292682926829,1648706.9895443467,1315421.5896383654,0.9980894302439025,4,24,-0.051552826624741144,-0.003385632261485916,-0.02635870831998166,-0.006024096385542244,-0.0006097560975609762,-257764.13312370493,-516.5613890255336,0.0,0,0
strict_5m_1pct_signal_40bps,low_stock_ret_60d,train,-0.08604922192334552,-0.5776953239317613,0.9904503124581775,0.4995685936151855,0.43883116883116885,-430246.1096167166,4600297.680702171,0.9939302115930736,20,299,-0.22779995023264332,-0.6252556136910749,0.9749719288833406,0.4969801553062985,0.43857142857142856,-1138999.7511632203,4598877.332723119,0.9939302115930736,20,299,-0.1417507283092978,-0.04756028975931359,-0.015478383574836885,-0.0025884383088869978,-0.00025974025974029313,-708753.6415465036,-1420.3479790519923,0.0,0,0
strict_5m_1pct_signal_40bps,low_stock_ret_60d,validation,0.11956303707845928,-0.6509112995674178,1.0297944065632199,0.4692622950819672,0.4243801652892562,597815.1853923032,1927956.4225759367,0.9932359914049587,5,186,0.07190895292523636,-0.6597676889394104,1.0177783587809057,0.4662576687116564,0.4240702479338843,359544.76462618215,1927478.9267427376,0.9932359914049587,5,186,-0.04765408415322292,-0.008856389371992623,-0.012016047782314132,-0.0030046263703107923,-0.00030991735537189147,-238270.420766121,-477.4958331990056,0.0,0,0
