trade_date,scenario_id,daily_return,gate_active,selected_trade_count,group_id,strategy_id,regime_id
20260507,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260508,10bp_one_way_slippage,-0.00045431785386327304,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260511,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260512,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260513,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260514,10bp_one_way_slippage,-0.004398663353054289,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260515,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260518,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260519,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260520,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260224,10bp_slippage_plus_impact,0.007168088415781359,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260225,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260226,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260227,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260302,10bp_slippage_plus_impact,-0.011866433487828532,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260303,10bp_slippage_plus_impact,-0.002247510079255122,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260304,10bp_slippage_plus_impact,0.019460740540002887,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260305,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
