scenario_id,cost_case,capital,participation_cap,slippage_bp,include_commission_tax,include_impact,partial_fill,zero_fill,enforce_limit_suspend,cumulative_return,avg_daily_return,trade_win_rate,daily_win_rate,max_drawdown,profit_factor,auc,total_trades,trading_days,avg_daily_trades,avg_fill_ratio,partial_fill_count,zero_fill_count,max_profit_day,max_profit_day_return,max_loss_day,max_loss_day_return,cum_return_drop_top1_profit_day,cum_return_drop_top3_profit_days,cum_return_drop_top5_profit_days,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing,drawdown_start,drawdown_end,drawdown_days,group_id,group_type,single_ticket_participation_median,single_ticket_participation_p90,single_ticket_participation_p99,min_filled_notional_return,strategy_id,strategy_name,regime_id,regime_side,regime_field,regime_value,regime_description,gate_day_count,no_trade_days,active_trade_days,zero_holding_gate_days,avg_daily_holdings,avg_daily_holdings_all_legacy_days
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,-0.08821543300057777,-0.0025602977447472678,0.38,0.34285714285714286,-0.10779015054252838,0.7539194105653045,0.53024,350,35,10.0,1.0,0,0,20260513,0.022817280446094757,20260306,-0.03496015667654036,-0.10855576608780637,-0.13903816972316752,-0.16271235270992812,350,0,0,0,0,20260226,20260519,33,S0_v7_original_top10__C1_tail_up,R0_market_regime_gate,0.004588812534207011,0.015154939843325005,0.04038355820617373,-0.09014183482235782,S0_v7_original_top10,S0: v7 original Top10,C1_tail_up,negative_control,tail_direction,tail_up,market_tail_ret_median >= 0,35,23,35,0,10.0,6.0344827586206895
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,-8.704864974529158e-05,9.253376819512229e-05,0.4241379310344828,0.5172413793103449,-0.057212394230631625,1.0102855247163356,0.5492475715939403,290,29,10.0,1.0,0,0,20260407,0.03133403000173749,20260306,-0.03382598351049495,-0.030466442236401603,-0.06933304762477221,-0.09585867582851904,290,0,0,0,0,20260225,20260318,7,S0_v7_original_top10__C2_market_up,R0_market_regime_gate,0.0,0.0,0.0,-0.0696355047794236,S0_v7_original_top10,S0: v7 original Top10,C2_market_up,negative_control,market_direction,market_up,market_ret_median_1450 >= 0,29,29,29,0,10.0,5.0
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,-0.028675184550249977,-0.0009073103046959848,0.4103448275862069,0.41379310344827586,-0.06285359855962303,0.9051923426040391,0.5492475715939403,290,29,10.0,1.0,0,0,20260407,0.03030295219418422,20260306,-0.03479191749275214,-0.057243490003431985,-0.09322446445284849,-0.11730507668743406,290,0,0,0,0,20260225,20260318,7,S0_v7_original_top10__C2_market_up,R0_market_regime_gate,0.0,0.0,0.0,-0.07056563813685379,S0_v7_original_top10,S0: v7 original Top10,C2_market_up,negative_control,market_direction,market_up,market_ret_median_1450 >= 0,29,29,29,0,10.0,5.0
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,-0.03391352593317676,-0.001093743881375782,0.40344827586206894,0.41379310344827586,-0.06392565594389576,0.8869632955690651,0.5492475715939403,290,29,10.0,1.0,0,0,20260407,0.030104859907573923,20260306,-0.03496015667654036,-0.06214744569450403,-0.09762034910703077,-0.12113495168377908,290,0,0,0,0,20260225,20260327,10,S0_v7_original_top10__C2_market_up,R0_market_regime_gate,0.005283184046716485,0.01556645472998042,0.03758660617633042,-0.07062030179147338,S0_v7_original_top10,S0: v7 original Top10,C2_market_up,negative_control,market_direction,market_up,market_ret_median_1450 >= 0,29,29,29,0,10.0,5.0
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,-0.033823299983456234,-0.0028177762848490564,0.38333333333333336,0.3333333333333333,-0.035374290952208565,0.6976777446887508,0.5790625,120,12,10.0,1.0,0,0,20260324,0.015428961165166432,20260408,-0.018782288322670482,-0.04850389641448438,-0.060632783923496136,-0.06214073797419084,120,0,0,0,0,20260226,20260519,12,S0_v7_original_top10__C3_tail_breadth_Q5_high,R0_market_regime_gate,0.0,0.0,0.0,-0.049346639183908025,S0_v7_original_top10,S0: v7 original Top10,C3_tail_breadth_Q5_high,negative_control,market_tail_breadth_positive_qbucket,Q5_high,market_tail_breadth_positive highest quintile,12,46,12,0,10.0,2.0689655172413794
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,-0.04535101590680879,-0.0038147107707184,0.375,0.3333333333333333,-0.045929668277680524,0.6159330814508618,0.5790625,120,12,10.0,1.0,0,0,20260324,0.014413784475027969,20260408,-0.01976326226269167,-0.058915603569766106,-0.06905126680953577,-0.06961555347468362,120,0,0,0,0,20260226,20260519,12,S0_v7_original_top10__C3_tail_breadth_Q5_high,R0_market_regime_gate,0.0,0.0,0.0,-0.0502970563664108,S0_v7_original_top10,S0: v7 original Top10,C3_tail_breadth_Q5_high,negative_control,market_tail_breadth_positive_qbucket,Q5_high,market_tail_breadth_positive highest quintile,12,46,12,0,10.0,2.0689655172413794
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,-0.04755227237233206,-0.0040065656914670955,0.36666666666666664,0.3333333333333333,-0.04799811396689968,0.6011473863433274,0.5790625,120,12,10.0,1.0,0,0,20260324,0.014142004278276544,20260408,-0.01991468724008546,-0.060833962492771065,-0.0705522798843159,-0.07098735515572807,120,0,0,0,0,20260226,20260519,12,S0_v7_original_top10__C3_tail_breadth_Q5_high,R0_market_regime_gate,0.0055280036068986425,0.017643386852676367,0.05170432936905484,-0.05037675484981452,S0_v7_original_top10,S0: v7 original Top10,C3_tail_breadth_Q5_high,negative_control,market_tail_breadth_positive_qbucket,Q5_high,market_tail_breadth_positive highest quintile,12,46,12,0,10.0,2.0689655172413794
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,-0.01136271345605211,-0.0008865311686660077,0.4083333333333333,0.4166666666666667,-0.032380256902440174,0.904030844117831,0.5747508305647842,120,12,10.0,1.0,0,0,20260520,0.020080715515563997,20260408,-0.018782288322670482,-0.030824451921654172,-0.05500907509153241,-0.05922978242111143,120,0,0,0,0,20260226,20260519,11,S0_v7_original_top10__C4_tail_ret_median_Q5_high,R0_market_regime_gate,0.0,0.0,0.0,-0.049346639183908025,S0_v7_original_top10,S0: v7 original Top10,C4_tail_ret_median_Q5_high,negative_control,market_tail_ret_median_qbucket,Q5_high,market_tail_ret_median highest quintile,12,46,12,0,10.0,2.0689655172413794
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,-0.023158412721329125,-0.0018853964198570824,0.4,0.4166666666666667,-0.042010644968734634,0.8080968502103357,0.5747508305647842,120,12,10.0,1.0,0,0,20260520,0.01906088822674714,20260408,-0.01976326226269167,-0.04142961567442882,-0.06347795690117497,-0.06579382439352544,120,0,0,0,0,20260226,20260519,11,S0_v7_original_top10__C4_tail_ret_median_Q5_high,R0_market_regime_gate,0.0,0.0,0.0,-0.0502970563664108,S0_v7_original_top10,S0: v7 original Top10,C4_tail_ret_median_Q5_high,negative_control,market_tail_ret_median_qbucket,Q5_high,market_tail_ret_median highest quintile,12,46,12,0,10.0,2.0689655172413794
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,-0.0252263898263263,-0.0020617130855607084,0.39166666666666666,0.4166666666666667,-0.043825064448247075,0.7923093227233359,0.5747508305647842,120,12,10.0,1.0,0,0,20260520,0.018973915324606395,20260408,-0.01991468724008546,-0.04337726853081636,-0.06487758482842587,-0.06691507775032945,120,0,0,0,0,20260226,20260519,11,S0_v7_original_top10__C4_tail_ret_median_Q5_high,R0_market_regime_gate,0.004613651820297087,0.01532465251441291,0.04896442817417895,-0.05037675484981452,S0_v7_original_top10,S0: v7 original Top10,C4_tail_ret_median_Q5_high,negative_control,market_tail_ret_median_qbucket,Q5_high,market_tail_ret_median highest quintile,12,46,12,0,10.0,2.0689655172413794
