dimension_type,dimension_value,trade_count,cumulative_return_5bp,cumulative_return_10bp,cumulative_return_10bp_impact,mean_trade_return_5bp,mean_trade_return_10bp,mean_trade_return_10bp_impact,decay_5bp_to_10bp_sum,decay_10bp_to_impact_sum,decay_5bp_to_10bp_contribution,decay_10bp_to_impact_contribution,avg_participation
tail_1430_1450_amount,Q3,116,0.07572948558435955,0.028383033756750553,0.019268201545908026,0.0011063934748896148,0.00010553579417297307,-9.877028314178104e-05,0.11609949096313044,0.023699504968511476,0.20001472852767505,0.22259171078905396,0.007345907726961479
tail_1430_1450_amount,Q4,116,-0.05318384306733448,-0.08849654944923535,-0.09378027942627609,-0.00039243672746842536,-0.0013917959503489195,-0.0015422871542960094,0.11592566985413733,0.017456979657862415,0.1997152717286898,0.1639603431555291,0.005760608540638547
tail_1430_1450_amount,Q5_high,116,-0.01144925758943205,-0.042589809029220826,-0.04460684352674016,-0.0002313963240639056,-0.0012309165473392664,-0.0012966832490856665,0.11594434589994185,0.007628937402582414,0.1997474465832096,0.07165289866601286,0.0009122373883326831
market_tail_breadth_positive_qbucket,Q1_low,120,0.004895483837018988,-0.007094196384139773,-0.009684207835260472,0.0005057605411360244,-0.000494496655866844,-0.000712374041169155,0.12003086364034421,0.02614528623627732,0.20678764744618905,0.2455631035388669,0.008747815642596373
market_tail_breadth_positive_qbucket,Q2,110,0.10633764948043822,0.0942315950490582,0.09221553246746939,0.009301994894319775,0.008292943648281616,0.008123772911035415,0.11099563706419757,0.018608781097082194,0.19122187385129957,0.1747783519361289,0.006876194598749114
market_tail_breadth_positive_qbucket,Q3,120,-0.035657512270866665,-0.047163343710570294,-0.04893609465046134,-0.002920029468668181,-0.003916861726757284,-0.00407157558843907,0.11961987097069238,0.018565663401814314,0.20607959449466162,0.17437337969861968,0.00513290476641245
market_tail_breadth_positive_qbucket,Q4,110,0.01975331886966858,0.008594709930874078,0.006563985191618604,0.00185070330844806,0.0008491015028126225,0.0006661158447926949,0.11017619861989814,0.020128422382192035,0.18981015570661158,0.18905120505638212,0.006907493255173506
market_tail_breadth_positive_qbucket,Q5_high,120,-0.033823299983456234,-0.04535101590680879,-0.04755227237233206,-0.002817776284849056,-0.0038147107707184,-0.004006565691467096,0.11963213830432129,0.023022590489843564,0.20610072850123815,0.2162339597700024,0.008448902016005112
market_tail_ret_median_qbucket,Q1_low,120,0.027539028341722283,0.015279181857453139,0.012551139440918124,0.002349846605390744,0.0013477457804644682,0.0011229554617711468,0.12025209899115308,0.026974838243198573,0.20716878889879725,0.2533544646096755,0.009346324925308172
market_tail_ret_median_qbucket,Q2,110,0.08195764530320737,0.0701183680693176,0.06823077681526635,0.007290264642405537,0.0062832246268292756,0.006121595271464176,0.1107744017133887,0.017779229090160942,0.19084073239869137,0.16698699086532032,0.006223275381245333
market_tail_ret_median_qbucket,Q3,120,-0.035657512270866665,-0.047163343710570294,-0.04893609465046134,-0.002920029468668181,-0.003916861726757284,-0.00407157558843907,0.11961987097069238,0.018565663401814314,0.20607959449466162,0.17437337969861968,0.00513290476641245
market_tail_ret_median_qbucket,Q4,110,-0.003414184487551486,-0.01431928396943305,-0.016490013269032877,-0.00025610954556981087,-0.0012556050617633602,-0.001455541543468819,0.10994450678129042,0.02199301298760048,0.18941099994962451,0.20656390894325707,0.008000346139786082
market_tail_ret_median_qbucket,Q5_high,120,-0.01136271345605211,-0.023158412721329125,-0.0252263898263263,-0.0008865311686660077,-0.0018853964198570828,-0.002061713085560709,0.119863830142929,0.02115799988443512,0.2064998842582252,0.19872125588312745,0.00744712020511025
market_dispersion_proxy_qbucket,Q1_low,120,0.06572422363130381,0.053008779238527426,0.05027660815738133,0.005382092397768,0.004376960080374092,0.004159524297906505,0.12061587808726892,0.02609229389611034,0.20779550290546556,0.24506538615311746,0.008851972809247622
market_dispersion_proxy_qbucket,Q2,110,0.007707671078148071,-0.0033191288528855445,-0.004901962698240725,0.000779831073160127,-0.00022070012628525997,-0.00036510884902228667,0.11005843193899256,0.015884959501072937,0.18960726876442496,0.1491955344998391,0.004526248015179613
market_dispersion_proxy_qbucket,Q3,120,0.0028467624638011113,-0.009118473907701485,-0.011314113109305968,0.0004129140149519909,-0.0005872503585912857,-0.000772028285051631,0.12001972482519319,0.02217335117524144,0.20676845763691368,0.208257690554347,0.007305529582055085
market_dispersion_proxy_qbucket,Q4,110,-0.012283263295627234,-0.02309131324578828,-0.025219348796959196,-0.001082975732602057,-0.002081644588033459,-0.0022795390037131168,0.10985357409745422,0.021768385724762362,0.189254342276788,0.204454153199775,0.00839256644418081
market_dispersion_proxy_qbucket,Q5_high,120,-0.007009293384727666,-0.01885693448411785,-0.020871949848846882,-0.0005258623347422507,-0.0015250881651634564,-0.0016963527760803093,0.11990709965054469,0.020551753310022347,0.20657442841640783,0.19302723559292143,0.006964920645393239
tail_direction,tail_down,230,0.1117537075617554,0.08646890122405004,0.08163829025015468,0.004712655231789123,0.003708192185247637,0.003513609283798248,0.23102650070454178,0.044754067333359515,0.3980095212974886,0.4203414554749958,0.007852692534669423
tail_direction,tail_up,350,-0.049870091706497255,-0.08255749494824138,-0.08821543300057777,-0.0013855980756936623,-0.002383964383964839,-0.0025602977447472673,0.3494282078949118,0.06171667627384991,0.6019904787025113,0.5796585445250042,0.006827545919883408
market_direction,market_down,290,0.056402406613695666,0.026199201899614444,0.02084143252120163,0.001972815807041831,0.0009710919192451672,0.0007903850007276907,0.2904999274610326,0.052405006370068175,0.5004695855805245,0.49220099902185416,0.007196393549693712
market_direction,market_up,290,-8.704864974529158e-05,-0.028675184550249977,-0.03391352593317676,9.253376819512209e-05,-0.0009073103046959847,-0.0010937438813757821,0.289954781138421,0.054065737237141254,0.4995304144194756,0.5077990009781458,0.00727174560524822
amount_regime,high_amount,290,0.026290788945523724,-0.003051505809425481,-0.007867078928804783,0.0009555017608695271,-4.520506562030754e-05,-0.00021227015142360415,0.29020497968205206,0.04844887488295602,0.4999614532928353,0.4550440171780242,0.006528313224593314
amount_regime,low_amount,290,0.02925063694270502,-0.00017628171542971582,-0.005958698496849935,0.001109847814367426,0.00010898668016948988,-9.10887292244874e-05,0.29024972891740153,0.05802186872425341,0.5000385467071646,0.5449559828219758,0.007939825930348617
tail_vol_regime,high_tail_vol,290,0.0042573163755303955,-0.024455027634866733,-0.02920962067685251,0.00026211255607469795,-0.0007379010534744971,-0.0009064591454021491,0.29000394676926655,0.04888184665901907,0.49961511634387584,0.4591105969857164,0.005975852362842821
tail_vol_regime,low_tail_vol,290,0.05183246463460889,0.02175991741644201,0.01589500795562504,0.0018032370191622554,0.0008016826680236794,0.0006031002647540575,0.29045076183018703,0.05758889694819036,0.5003848836561241,0.5408894030142836,0.00849228679209911
