liquidity_metric,bucket,sample_scope,sample_count,v7_top10_selected_count,selected_trade_count,score_mean,score_target_pearson,score_target_spearman,auc,cumulative_return_5bp,cumulative_return_10bp,cumulative_return_10bp_impact,profit_factor,max_drawdown,trade_win_rate,daily_win_rate,avg_fill_ratio,partial_fill_count,zero_fill_count,single_ticket_participation_median,single_ticket_participation_p90,single_ticket_participation_p99
amount_sofar_1450,Q3,v7_top10_trades_in_bucket,48,48,48,0.39803907559876145,0.02616703987724244,-0.03842813721233174,0.5339130434782609,0.08477445454529886,0.062226104729265375,0.059925875309863486,1.4889347689615609,-0.05407210000788365,0.5,0.20689655172413793,1.0,0,0,0.001463489292135485,0.002978580574301542,0.004033074231887941
amount_sofar_1450,Q4,all_candidates_bucket_top10_by_score,34101,62,580,0.368055636460581,0.00722086566998932,0.0014577880366489508,0.5328043528787924,-0.0685077153963567,-0.12101018401035046,-0.12509490632973153,0.8148074370155503,-0.12217111403047076,0.42586206896551726,0.4827586206896552,1.0,0,0,0.000826036448588417,0.0017889246856775554,0.016155344311809004
amount_sofar_1450,Q4,v7_top10_trades_in_bucket,62,62,62,0.4404331452397697,0.2580373067707486,0.2161869507189444,0.587719298245614,0.09021258168435287,0.05481395134567557,0.050725208705477254,0.9143972842919427,-0.08156798661878972,0.3870967741935484,0.27586206896551724,1.0,0,0,0.0009984377899973278,0.014921327603456614,0.060553920496455915
amount_sofar_1450,Q5_high,all_candidates_bucket_top10_by_score,34101,59,580,0.3647264699693407,-0.0005915953702603182,-0.01116472798071252,0.519985908533773,-0.13161194004850296,-0.18055761315385843,-0.18268844984024646,0.7634345192021351,-0.19184188687736603,0.4103448275862069,0.41379310344827586,1.0,0,0,0.0002804846130855602,0.0006066843204464753,0.002028778532097551
amount_sofar_1450,Q5_high,v7_top10_trades_in_bucket,59,59,59,0.4234504560539648,-0.023612657115262167,0.0005260081823495033,0.5184331797235023,0.13476001214440947,0.10341966006892678,0.10142618394618808,1.2640281475970547,-0.10662870190296347,0.4915254237288136,0.27586206896551724,1.0,0,0,0.0002899546151438192,0.0008698523821586089,0.03233786374603157
tail_1430_1450_amount,Q1_low,all_candidates_bucket_top10_by_score,34101,318,580,0.3688246868757885,-0.006537312971809673,0.013728766446041738,0.5336588861012391,0.05799394688185733,-0.0016386393543200706,-0.014691587680315976,0.9771513516435619,-0.07294278547080169,0.4241379310344828,0.46551724137931033,1.0,0,0,0.006679152445519457,0.019174550136822448,0.04466290908579989
tail_1430_1450_amount,Q1_low,v7_top10_trades_in_bucket,318,318,318,0.5282475093972715,0.03318973856913445,0.050699885568089235,0.5395666131621188,0.14411741501446707,0.08612947633200196,0.0732765607648842,1.162804937225657,-0.05388779513209174,0.46226415094339623,0.4827586206896552,1.0,0,0,0.007593727237349947,0.019988286930363357,0.04291408630874206
tail_1430_1450_amount,Q2,all_candidates_bucket_top10_by_score,34101,85,580,0.37063806956039047,0.0009224575663570856,0.011705160739938008,0.537124694915614,-0.08022457713103903,-0.13206663859443402,-0.14046757740472482,0.7455341812309648,-0.1586748861044467,0.4068965517241379,0.41379310344827586,1.0,0,0,0.0036962764959785474,0.008999969792207716,0.025266585881046612
tail_1430_1450_amount,Q2,v7_top10_trades_in_bucket,85,85,85,0.477569256483097,-0.041632300073702735,0.12595270666406097,0.5307377049180328,-0.15388754660392934,-0.18625873421559103,-0.19188824400227167,0.5066870794362003,-0.22077217437973462,0.3058823529411765,0.1724137931034483,1.0,0,0,0.0036931576867537514,0.010315735174039383,0.030830821179076012
tail_1430_1450_amount,Q3,all_candidates_bucket_top10_by_score,34101,54,580,0.3717302626445827,0.008278996552060972,0.014395951262066732,0.5355766892696359,-0.04413876099649794,-0.09801475710468843,-0.10432584048895788,0.8332646249176924,-0.11522538666965898,0.41379310344827586,0.41379310344827586,1.0,0,0,0.0017738627960901614,0.0054350883857278345,0.014080764008686488
tail_1430_1450_amount,Q3,v7_top10_trades_in_bucket,54,54,54,0.4357438418697662,-0.1945935406617507,-0.16813417190775679,0.5166666666666666,0.06695121887008115,0.0374836429166745,0.03347992992013382,1.351230011547372,-0.10099225895124286,0.46296296296296297,0.2413793103448276,1.0,0,0,0.0017895181023435823,0.005409064069470779,0.0844171744921438
tail_1430_1450_amount,Q4,all_candidates_bucket_top10_by_score,34101,60,580,0.37371894587255144,0.012530398005136582,0.010278389592170175,0.5346464467018099,-0.08735049028249997,-0.13879090802026972,-0.1429242551005404,0.7801409813153218,-0.15308699117633506,0.43103448275862066,0.39655172413793105,1.0,0,0,0.0009060339815207184,0.0021365964414788814,0.005353144362866743
tail_1430_1450_amount,Q4,v7_top10_trades_in_bucket,60,60,60,0.42533637857149587,0.14492054786287226,0.1638232842456238,0.5782857142857143,-0.08896752167949284,-0.11324232090193742,-0.1152777732200263,0.8356986467755557,-0.1575361730315894,0.43333333333333335,0.20689655172413793,1.0,0,0,0.001063804410981169,0.0024897387520029846,0.009033753061007824
tail_1430_1450_amount,Q5_high,all_candidates_bucket_top10_by_score,34101,63,580,0.37223289594734954,0.004493530359770256,-0.0022027210269058746,0.5268116300529571,-0.1484078324119984,-0.1964068247705203,-0.19862765408070937,0.7428118111672047,-0.1902158444920512,0.39655172413793105,0.43103448275862066,1.0,0,0,0.0003128939931747632,0.0007501977659840185,0.002238957879275314
tail_1430_1450_amount,Q5_high,v7_top10_trades_in_bucket,63,63,63,0.3974150079937428,-0.15834537698299264,-0.17362711213517665,0.4251559251559252,-0.007217541326850152,-0.03173551910963568,-0.03293605150293755,0.9134959005678293,-0.0890034105660058,0.42857142857142855,0.20689655172413793,1.0,0,0,0.00030329856601651184,0.0005798739734911968,0.002501702318981622
