dimension_type,dimension_value,trade_count,cumulative_return_5bp,cumulative_return_10bp,cumulative_return_10bp_impact,mean_trade_return_5bp,mean_trade_return_10bp,mean_trade_return_10bp_impact,decay_5bp_to_10bp_sum,decay_10bp_to_impact_sum,decay_5bp_to_10bp_contribution,decay_10bp_to_impact_contribution,avg_participation
industry,食品,9,-0.05206163103627637,-0.05867568739655582,-0.060352203129824034,-0.006252136021521563,-0.007245637000879336,-0.007491094904214253,0.008941508814219956,0.0022091211300142577,0.015404317824890108,0.02074862121902821,0.01400376292212007
industry,环境保护,11,0.01539737649030859,0.006297521513236148,0.004563241283783492,0.0037932424420252697,0.002789698579856589,0.002601645008747004,0.011038982483855486,0.0020685892822054353,0.019017818824298666,0.01942871076243113,0.005244934417692789
industry,其他建材,10,-0.07476264013861789,-0.08305449315010538,-0.08467495532339953,-0.008438183301213875,-0.009429498776388868,-0.00962576131395032,0.00991315475174992,0.001962625375614535,0.017078257105827967,0.018433471103151387,0.00574580018503963
industry,工程机械,9,-0.03795479096355203,-0.045622370452128136,-0.04730678375709163,-0.007247318962890005,-0.008239825006547555,-0.008457315158447795,0.008932554392917957,0.0019574113671021465,0.015388891261595265,0.01838449982394605,0.007190621845315179
industry,医药商业,9,0.03340240019329754,0.024141186610865173,0.022151652755347584,0.003779474821380043,0.0027759447234115336,0.0025593511779471324,0.009031770881716583,0.0019493419091796138,0.015559820168413886,0.01830870944577134,0.008344431708673935
industry,乳制品,8,0.027876838670045423,0.02172649978513519,0.020268833351216875,0.006618634212150448,0.005612265660146026,0.00537329271242068,0.008050948416035375,0.0019117835818027729,0.013870071681322139,0.017955952189605266,0.008464477545033738
industry,船舶,6,0.15319080454646228,0.1462906449358028,0.14425374759188703,0.024310936015338385,0.023286879556968804,0.022982834487697317,0.006144338750217471,0.0018242704156289369,0.01058538876365186,0.017134006524449692,0.03746454218172599
industry,纺织,9,-0.10593572923152994,-0.11306149504754492,-0.11435967941809111,-0.01212986648705573,-0.013117491196198896,-0.013310180886397868,0.008888622382288491,0.0017342072117907392,0.015313205751634518,0.016288110264248323,0.008396218383051905
industry,百货,6,-0.03768085450602954,-0.043438926521626064,-0.045020015901557686,-0.006360702616104774,-0.007354095055840097,-0.007628232260635563,0.0059603546384119355,0.001644823228772796,0.010268423272495004,0.015448593416806196,0.013032584627523542
industry,家居用品,7,0.006640036494242052,-0.00038359938112098035,-0.0018546090004089022,0.0011426082060382234,0.00014171431958752225,-6.911057585644111e-05,0.007006257205154909,0.0014757742681077435,0.012070290931156216,0.013860843064571353,0.010922095850360272
