scenario_id,cost_case,capital,participation_cap,slippage_bp,include_commission_tax,include_impact,partial_fill,zero_fill,enforce_limit_suspend,cumulative_return,avg_daily_return,trade_win_rate,daily_win_rate,max_drawdown,profit_factor,auc,total_trades,trading_days,avg_daily_trades,avg_fill_ratio,partial_fill_count,zero_fill_count,max_profit_day,max_profit_day_return,max_loss_day,max_loss_day_return,cum_return_drop_top1_profit_day,cum_return_drop_top3_profit_days,cum_return_drop_top5_profit_days,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing,drawdown_start,drawdown_end,drawdown_days,group_id,group_type,single_ticket_participation_median,single_ticket_participation_p90,single_ticket_participation_p99,min_filled_notional_return,regime_field,regime_value,regime_trade_days,regime_trade_count
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.06823077681526635,0.006121595271464177,0.5636363636363636,0.6363636363636364,-0.021260081516785267,1.7904249010531414,0.4076666666666667,110,11,10.0,1.0,0,0,20260407,0.030104859907573923,20260402,-0.021260081516785222,0.037011685306594044,-0.006344192907701496,-0.025944933199599785,110,0,0,0,0,20260326,20260402,2,E_market_tail_ret_median_qbucket_Q2,E_market_regime,0.0032624631936482643,0.014556986734549275,0.04822497961813717,-0.073378862732145,market_tail_ret_median_qbucket,Q2,11,110
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,-0.035657512270866665,-0.0029200294686681804,0.35833333333333334,0.5,-0.05777613473527288,0.7158610261822875,0.49711168164313224,120,12,10.0,1.0,0,0,20260417,0.01509081913483037,20260306,-0.03382598351049495,-0.049993882763071706,-0.07175358771608664,-0.0837232886397401,120,0,0,0,0,20260225,20260311,4,E_market_tail_ret_median_qbucket_Q3,E_market_regime,0.0,0.0,0.0,-0.0696355047794236,market_tail_ret_median_qbucket,Q3,12,120
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,-0.047163343710570294,-0.003916861726757284,0.3333333333333333,0.4166666666666667,-0.06341316173691469,0.6413002246410802,0.49711168164313224,120,12,10.0,1.0,0,0,20260417,0.014075980502714969,20260306,-0.03479191749275214,-0.060389285803739035,-0.08007240745143795,-0.09011643191673768,120,0,0,0,0,20260225,20260416,7,E_market_tail_ret_median_qbucket_Q3,E_market_regime,0.0,0.0,0.0,-0.07056563813685379,market_tail_ret_median_qbucket,Q3,12,120
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,-0.04893609465046134,-0.00407157558843907,0.3333333333333333,0.4166666666666667,-0.06420263842552876,0.6305826207620302,0.49711168164313224,120,12,10.0,1.0,0,0,20260417,0.013935766473965449,20260306,-0.03496015667654036,-0.06200773579875607,-0.08129604161477699,-0.0910110378251936,120,0,0,0,0,20260225,20260416,7,E_market_tail_ret_median_qbucket_Q3,E_market_regime,0.0030038488130631237,0.012463707422586477,0.03139297659586278,-0.07062030179147338,market_tail_ret_median_qbucket,Q3,12,120
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,-0.003414184487551486,-0.0002561095455698107,0.42727272727272725,0.2727272727272727,-0.03930389083073016,0.9732551400416454,0.5392561983471074,110,11,10.0,1.0,0,0,20260513,0.02394654063347289,20260327,-0.011047883018484916,-0.026720853125884236,-0.04440550911159791,-0.04440550911159791,110,0,0,0,0,20260305,20260512,9,E_market_tail_ret_median_qbucket_Q4,E_market_regime,0.0,0.0,0.0,-0.08914158773351832,market_tail_ret_median_qbucket,Q4,11,110
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,-0.01431928396943305,-0.0012556050617633604,0.41818181818181815,0.2727272727272727,-0.04696071788233924,0.8761871052546106,0.5392561983471074,110,11,10.0,1.0,0,0,20260513,0.022922848479955592,20260327,-0.012036589442290968,-0.036407567300632326,-0.05202167584566508,-0.05202167584566508,110,0,0,0,0,20260305,20260512,9,E_market_tail_ret_median_qbucket_Q4,E_market_regime,0.0,0.0,0.0,-0.09005221985404444,market_tail_ret_median_qbucket,Q4,11,110
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,-0.016490013269032877,-0.001455541543468819,0.41818181818181815,0.18181818181818182,-0.04860915801883059,0.8580201379753143,0.5392561983471074,110,11,10.0,1.0,0,0,20260513,0.022817280446094757,20260327,-0.012277949329020276,-0.03843041613257059,-0.05368984239398367,-0.05368984239398367,110,0,0,0,0,20260305,20260512,9,E_market_tail_ret_median_qbucket_Q4,E_market_regime,0.006612028359478626,0.01768129503865398,0.04241371058895666,-0.09014183482235782,market_tail_ret_median_qbucket,Q4,11,110
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,-0.01136271345605211,-0.0008865311686660077,0.4083333333333333,0.4166666666666667,-0.032380256902440174,0.904030844117831,0.5747508305647842,120,12,10.0,1.0,0,0,20260520,0.020080715515563997,20260408,-0.018782288322670482,-0.030824451921654172,-0.05500907509153241,-0.05922978242111143,120,0,0,0,0,20260226,20260519,11,E_market_tail_ret_median_qbucket_Q5_high,E_market_regime,0.0,0.0,0.0,-0.049346639183908025,market_tail_ret_median_qbucket,Q5_high,12,120
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,-0.023158412721329125,-0.0018853964198570824,0.4,0.4166666666666667,-0.042010644968734634,0.8080968502103357,0.5747508305647842,120,12,10.0,1.0,0,0,20260520,0.01906088822674714,20260408,-0.01976326226269167,-0.04142961567442882,-0.06347795690117497,-0.06579382439352544,120,0,0,0,0,20260226,20260519,11,E_market_tail_ret_median_qbucket_Q5_high,E_market_regime,0.0,0.0,0.0,-0.0502970563664108,market_tail_ret_median_qbucket,Q5_high,12,120
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,-0.0252263898263263,-0.0020617130855607084,0.39166666666666666,0.4166666666666667,-0.043825064448247075,0.7923093227233359,0.5747508305647842,120,12,10.0,1.0,0,0,20260520,0.018973915324606395,20260408,-0.01991468724008546,-0.04337726853081636,-0.06487758482842587,-0.06691507775032945,120,0,0,0,0,20260226,20260519,11,E_market_tail_ret_median_qbucket_Q5_high,E_market_regime,0.004613651820297087,0.01532465251441291,0.04896442817417895,-0.05037675484981452,market_tail_ret_median_qbucket,Q5_high,12,120
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,0.06572422363130381,0.005382092397768,0.5583333333333333,0.6666666666666666,-0.014244730209680201,1.9566548429444661,0.5334815226451792,120,12,10.0,1.0,0,0,20260407,0.03133403000173749,20260327,-0.011047883018484916,0.0333453494494973,0.006463658785230919,-0.013363775690404145,120,0,0,0,0,20260415,20260421,3,E_market_dispersion_proxy_qbucket_Q1_low,E_market_regime,0.0,0.0,0.0,-0.049346639183908025,market_dispersion_proxy_qbucket,Q1_low,12,120
