run,avg_daily_return,cumulative_return,daily_win_rate,max_drawdown
475,-0.0008320008196433414,-0.05107226505295437,0.5,-0.11399593258968432
476,-0.0018746093924375054,-0.1066757366257477,0.39655172413793105,-0.09817094129577686
477,-0.001264190493182238,-0.07476778347831214,0.46551724137931033,-0.0963794434908144
478,-0.0014730458989961211,-0.08587351100958673,0.41379310344827586,-0.10701532757887944
479,-0.003902181237512739,-0.2056803880698742,0.3793103448275862,-0.21460440853300955
480,-0.0028999573804848688,-0.15777960285500903,0.3620689655172414,-0.15787820192000301
481,-0.0016055071259759713,-0.09134520123639056,0.4827586206896552,-0.11898928393891939
482,-0.0006450837568823391,-0.041111429162177915,0.4482758620689655,-0.0908042745591845
483,-0.0011265359037589265,-0.06711153258366331,0.43103448275862066,-0.08619783615615151
484,-0.0034081954814973617,-0.18325453228512323,0.3620689655172414,-0.1914682194219237
485,-0.000989947116412087,-0.05958402134159435,0.46551724137931033,-0.10684625592491137
486,-0.002510072111320932,-0.13954433937153043,0.41379310344827586,-0.15274435295802036
487,-0.00039866150010971197,-0.02681501100683714,0.5862068965517241,-0.07418377457253966
488,-0.002037669241916047,-0.11490718560143509,0.39655172413793105,-0.1296021299664063
489,-0.0013349236028153382,-0.07877714452693652,0.3620689655172414,-0.09472024124204304
490,-0.0006717400863790572,-0.04166516509404805,0.43103448275862066,-0.10084092851637916
491,-0.0015976653540494454,-0.09192454641883296,0.39655172413793105,-0.11191627326297937
492,-0.0018361066500074239,-0.10443304770645756,0.46551724137931033,-0.13419739372640427
493,-0.0016796807778813431,-0.09645393134154323,0.3793103448275862,-0.12475877511753697
494,-0.0015939685466774874,-0.09188934463575538,0.41379310344827586,-0.09683543705798991
495,-0.0019282294878512907,-0.1081283257000274,0.3620689655172414,-0.12050403092022066
496,-9.325361557781252e-05,-0.008630853749389544,0.4482758620689655,-0.08161769650095207
497,-0.0014826897634752873,-0.08608761647835461,0.4482758620689655,-0.1463454573208266
498,-0.0011929479623356857,-0.07024394174715043,0.39655172413793105,-0.07200072241715239
499,-0.0017886308310489751,-0.10262606459025725,0.4827586206896552,-0.11173889168672402
500,-0.0018957614011925795,-0.1080525588157476,0.43103448275862066,-0.1226224324799009
501,-0.0007217184574440087,-0.04408177662294077,0.4482758620689655,-0.0834131520656698
502,6.0809304107354594e-05,0.000313440398674647,0.5344827586206896,-0.08329166998823945
503,-0.0019820961990506046,-0.11129901910825735,0.3793103448275862,-0.11764205849752951
504,-0.0010064695351897498,-0.06091838398070537,0.4827586206896552,-0.11472919659994885
505,-0.0016292811097162233,-0.0929146037372014,0.41379310344827586,-0.12427630161615244
506,-0.0019530909429228789,-0.11133589957389867,0.39655172413793105,-0.12272912370538624
507,-0.0025816638437852605,-0.14256461285626487,0.39655172413793105,-0.15898113117239343
508,-0.000996179822124819,-0.05940987448905355,0.4482758620689655,-0.07389876277896923
509,-0.0015065739371302464,-0.08644745824847144,0.43103448275862066,-0.09424474018435902
510,0.0002864760826103225,0.013136111300359854,0.5,-0.07254828003142222
511,-0.001127836465666716,-0.06602278207921186,0.43103448275862066,-0.08246511409390012
512,-0.0009438249226235085,-0.05682956116328397,0.46551724137931033,-0.0853832090408716
513,-0.0007846071839751076,-0.047698059504068246,0.5344827586206896,-0.05973668220897843
514,-0.0012872883827317332,-0.07494309125162002,0.3448275862068966,-0.09202828835057353
515,1.7081971596637605e-05,-0.003218168200666005,0.5344827586206896,-0.07138616719244162
516,-0.0020088069959825544,-0.11321957958524986,0.3793103448275862,-0.1251692982237993
517,-0.0010174098115323489,-0.06129384323288223,0.39655172413793105,-0.08316617308406615
518,-0.0025139737209001144,-0.13878236130802746,0.39655172413793105,-0.1450250959283229
519,-0.0017979111318756327,-0.10207929898755141,0.46551724137931033,-0.12532446286362986
520,-0.0026636071164401484,-0.14575749254411896,0.3620689655172414,-0.1512058367019391
521,-0.002804812026909899,-0.1529628817330313,0.3793103448275862,-0.17340948835081726
522,-0.00020057102258778386,-0.016417617074061197,0.46551724137931033,-0.10765600606917447
523,-0.000925645631904432,-0.05760407018812985,0.46551724137931033,-0.10075916398124862
524,-0.0020526467936298684,-0.11635850873741327,0.41379310344827586,-0.1445151896304867
525,-0.0024334890062936406,-0.13423315698458227,0.3620689655172414,-0.15265114311175287
526,-0.0012770496273435828,-0.07456579422713505,0.4482758620689655,-0.09819779456927169
527,-0.002768913996597699,-0.15209621552385322,0.41379310344827586,-0.16062955135675105
528,-0.001446428883972651,-0.08544378016653331,0.4827586206896552,-0.11762109637545237
529,-0.004115303251101885,-0.2156865085916535,0.27586206896551724,-0.2231002461252961
530,-0.0019324641780564906,-0.10958410613274827,0.3448275862068966,-0.13505683797640733
531,-0.0019709305077151417,-0.11132461989355136,0.39655172413793105,-0.1374130292732606
532,0.0012469841801416727,0.07125213656992302,0.5,-0.033019823475543775
533,-0.0015453080064522825,-0.0891176507608129,0.3793103448275862,-0.10854864777024265
534,-0.0008099220341537685,-0.04883322189444805,0.46551724137931033,-0.09688690595927896
535,-0.0024064315691117665,-0.13260766319574602,0.3275862068965517,-0.1307686901076045
536,-0.0011198347646116287,-0.06639328681350043,0.43103448275862066,-0.09166547334031017
537,-0.000545095735160269,-0.03453537255799899,0.41379310344827586,-0.08493527525521705
538,-0.0023895430800988664,-0.13285498753361813,0.39655172413793105,-0.14959164198267305
539,-0.0010517547537418441,-0.062120456391117074,0.41379310344827586,-0.09094183298539749
540,-0.0005425938875522979,-0.03546654978624009,0.43103448275862066,-0.09194399907006245
541,-0.002026768480345478,-0.11458593575211029,0.43103448275862066,-0.14249957000119662
542,-0.0016133025642090775,-0.09294428228211837,0.3620689655172414,-0.10533018577222297
543,-0.002294225026544302,-0.1280111190116595,0.3793103448275862,-0.14261721243885106
544,-0.001394284066668281,-0.08039690056792481,0.3793103448275862,-0.09377781308390731
545,-0.00019299423407271457,-0.015445829733662375,0.4482758620689655,-0.10068322023326581
546,-0.0029797948348849065,-0.16197404780566704,0.41379310344827586,-0.16504792190462114
547,-0.002400318695411385,-0.1329490343877665,0.3620689655172414,-0.17155347789121667
548,-0.00304601804248781,-0.1648499629369954,0.3793103448275862,-0.18665126229865536
549,-0.0025815312289938805,-0.14229952098021725,0.3275862068965517,-0.14807121430745962
550,-0.0006993282451458874,-0.043661389620942126,0.5,-0.07999762162799595
551,-0.0017975576950073895,-0.10258871737624498,0.3793103448275862,-0.13939811121908696
552,-0.0003527970976755645,-0.023838609171771274,0.4827586206896552,-0.11963076420345398
553,-0.00036868090307501085,-0.025109067667969498,0.5172413793103449,-0.0936861531269445
554,-0.00222379241676919,-0.12471396444444627,0.4482758620689655,-0.13886716807240418
555,-0.0028551372375138534,-0.1563784804486522,0.3620689655172414,-0.16598690448737796
556,-0.0019223551891993421,-0.10902239741739017,0.3620689655172414,-0.15089052627873134
557,0.0007243145864987382,0.0387224936593058,0.4482758620689655,-0.05108198890781346
558,-0.0019309159603278056,-0.1092007150745038,0.41379310344827586,-0.12277003037383027
559,-0.0006896519752019496,-0.04342385429019502,0.39655172413793105,-0.13283547358474657
560,-0.0031379322418078623,-0.1703519633768844,0.3793103448275862,-0.17617250660594796
561,-0.0008271397480740101,-0.05085337672024859,0.46551724137931033,-0.11943992534145098
562,-0.0020622502890248295,-0.11670275458347135,0.3448275862068966,-0.12883959405647527
563,0.00016893313008845088,0.005773421403400425,0.4827586206896552,-0.07850995825350349
564,-0.001520305837857654,-0.0880899292956705,0.46551724137931033,-0.0943250294137623
565,-0.0022269321945421736,-0.12420180811409864,0.39655172413793105,-0.13065772238183548
566,-0.0035955854053104025,-0.19175198476452737,0.39655172413793105,-0.1967922036796237
567,-0.003193693091297091,-0.1736970773427835,0.3620689655172414,-0.20388036697404588
568,-0.0007668117763533881,-0.04752497957102586,0.46551724137931033,-0.09008121037028194
569,-0.0010885102198707997,-0.06428547142092844,0.4827586206896552,-0.09869847213478544
570,-0.0020250215256663135,-0.11438272173913056,0.39655172413793105,-0.13362659026139534
571,-0.0022243488847343428,-0.12468777450416657,0.41379310344827586,-0.13677535422646903
572,-0.0013129071917916608,-0.07709924309071337,0.39655172413793105,-0.12791093449383306
573,-0.002659120042829347,-0.1460979265076776,0.4827586206896552,-0.15031860963265642
574,-0.0017253014806896715,-0.09904328833351861,0.39655172413793105,-0.1124389365039774
575,-0.0016168198297651657,-0.09290576929101146,0.43103448275862066,-0.12235149536022005
576,-0.0003028630240269394,-0.020484913350094502,0.46551724137931033,-0.08046049002722533
577,-0.001460204563232282,-0.08535178536143428,0.39655172413793105,-0.1207437414623862
578,-0.0008318476027026411,-0.05145440931912615,0.3620689655172414,-0.09050739809026787
579,-0.003026618705960035,-0.16467881045719546,0.4482758620689655,-0.1874319617958271
580,-0.0012889404870669151,-0.07531112908929982,0.5172413793103449,-0.12049922972421057
581,-0.001716830350303631,-0.09933812779219298,0.4482758620689655,-0.1312265254407926
582,-0.0034214528032646585,-0.18364997348794643,0.39655172413793105,-0.1932874315404739
583,-0.0013441838737322557,-0.07875802243049845,0.39655172413793105,-0.08758070370582649
584,-0.001815064058949473,-0.10309174292648549,0.43103448275862066,-0.10846272921139444
585,-0.0018815112511260388,-0.10711593562014343,0.3793103448275862,-0.14382287829183338
586,-0.002024712479700573,-0.1140145205497125,0.41379310344827586,-0.12376006663662487
587,-0.0022294580858859088,-0.12515300711410204,0.27586206896551724,-0.15130632570980995
588,-0.0008907132642559739,-0.05372014598669839,0.39655172413793105,-0.10387168192359608
589,-0.0027827377423482592,-0.15235352523193124,0.3620689655172414,-0.16407558173634018
590,-0.002042657968389992,-0.11542450022695994,0.3793103448275862,-0.12469423608495289
591,-0.002372027445829805,-0.1316946333609308,0.41379310344827586,-0.13768051439549756
592,-0.0010781502398551363,-0.0642752608278524,0.43103448275862066,-0.10845175093484272
593,-0.0008747311613515746,-0.05331244691205017,0.43103448275862066,-0.08884055090145337
594,-0.0016976767895428202,-0.09792209725864076,0.41379310344827586,-0.11983828781125927
595,-0.0017657751366160078,-0.10089258663754064,0.46551724137931033,-0.10792468335105454
596,-0.0034022265219946397,-0.18242108590713413,0.3793103448275862,-0.1914829197310698
597,-0.0018444524436256066,-0.10498048061545906,0.3793103448275862,-0.12147857805335727
598,-0.00047997226938799775,-0.031376987307046744,0.39655172413793105,-0.07200200877660512
599,-0.0024144897806550924,-0.1347732307662276,0.39655172413793105,-0.15554917753937336
600,0.0008499325912393413,0.04573745085888059,0.4827586206896552,-0.05704457959383025
601,-0.0007226282515365016,-0.044497907375858015,0.41379310344827586,-0.10494369814072135
602,-0.001757007336044532,-0.09978670827958103,0.4482758620689655,-0.11576659130858813
603,-0.0001240370187995395,-0.010950372187790047,0.46551724137931033,-0.10219260848352885
604,-0.0005366304440326558,-0.033803567344169005,0.41379310344827586,-0.08506172753785601
605,-0.0020256538868248294,-0.1142135329991395,0.39655172413793105,-0.12345045472243388
606,-0.0022032469694306276,-0.12330180182622108,0.3620689655172414,-0.13369314681361688
607,-0.0028264264142351587,-0.1545436958256502,0.3448275862068966,-0.1785285183013342
608,-0.001476695995154464,-0.08552461671523603,0.46551724137931033,-0.13409563352633336
609,-3.1485849392674286e-05,-0.005921880354417208,0.5172413793103449,-0.08460869510470759
610,-0.002211899847035311,-0.12405834317475162,0.4482758620689655,-0.1326202093744121
611,-0.0021187660156463447,-0.1195671541517126,0.39655172413793105,-0.13468202295952303
612,-0.0016029579482226635,-0.09208359152282031,0.41379310344827586,-0.10750434814692467
613,-0.002006874404341669,-0.11307146070205498,0.46551724137931033,-0.1177248404717739
614,-0.001206823441413832,-0.07120997930890205,0.39655172413793105,-0.13131225523195522
615,-0.0014031220996774637,-0.08099042813372281,0.43103448275862066,-0.09195081488421752
616,-0.0019846446769592597,-0.11213485860824224,0.3448275862068966,-0.124247730459215
617,-0.000261334397276877,-0.019352421424380872,0.5,-0.09323520966526788
618,-0.0023988364572862983,-0.13381324807706763,0.3793103448275862,-0.1326393742273213
619,-0.0021928032369854986,-0.12312984640843272,0.39655172413793105,-0.1429371947097685
620,-0.003392878819271658,-0.18139959437778974,0.3103448275862069,-0.18527926527468952
621,-0.00305218605628776,-0.16505038865589794,0.3275862068965517,-0.1831562039124256
622,-0.0014637834597956304,-0.08478389905341277,0.43103448275862066,-0.09902665695251045
623,-0.000297298052124431,-0.02084775530794869,0.4827586206896552,-0.0798571155920994
624,-0.0017923454602658583,-0.1024972475839564,0.39655172413793105,-0.13404431792100813
625,-0.00304830896425853,-0.16498810490446647,0.3275862068965517,-0.1866656403975383
626,-0.0003135217178681467,-0.02249171691089069,0.4482758620689655,-0.07360814354406353
627,-0.001289865469511427,-0.0750674324920827,0.43103448275862066,-0.09266019849048246
628,-0.00024371176973945346,-0.017411212664122266,0.43103448275862066,-0.07946110508071325
629,-0.0029017458942644718,-0.15866392394250528,0.3275862068965517,-0.1617032286113077
630,-0.002557760010648504,-0.14131259479845182,0.41379310344827586,-0.16162338166847257
631,-0.0019306354033215803,-0.10928736033259312,0.39655172413793105,-0.10919780300171245
632,-0.002105589004483129,-0.11828097138421112,0.3448275862068966,-0.13681601510359287
633,-0.0009291555293796761,-0.05632979869467969,0.5344827586206896,-0.1001123962499062
634,-0.001711986301049209,-0.09867749505775802,0.39655172413793105,-0.13833954438300133
635,-0.0013291180603433566,-0.07813230399831006,0.4827586206896552,-0.11364519258012173
636,-0.001456012980374081,-0.08456464243083939,0.46551724137931033,-0.09497388734262102
637,-0.0013089328558476463,-0.07648547073764334,0.5,-0.10237778167134104
638,-0.0010093701184625715,-0.060993204729886785,0.41379310344827586,-0.0870529352260937
639,-0.002204662358623023,-0.12362822579094679,0.43103448275862066,-0.1486841866717049
640,-7.794325645508037e-05,-0.00775104169133034,0.43103448275862066,-0.07108993375865302
641,6.163325427095519e-05,0.0005957171456596466,0.5344827586206896,-0.048233953736536606
642,-0.0016746955253294272,-0.09609635100658731,0.43103448275862066,-0.11509120388646454
643,-0.0024015816551211174,-0.1329660875156521,0.4827586206896552,-0.1353290733880208
644,-0.002121085238874817,-0.11853557239623358,0.3793103448275862,-0.13303941544758435
645,-0.002224987697190717,-0.1251611233996257,0.46551724137931033,-0.1408458729872747
646,-0.0031740761694544705,-0.17107931116079722,0.3103448275862069,-0.1713327915473053
647,-0.0012160748444729845,-0.07211034896991653,0.5,-0.13551077985611149
648,-0.00179247336466929,-0.10248452181388523,0.3448275862068966,-0.11938621450743658
649,-0.000658175156372529,-0.04137439068495963,0.5,-0.08645446666015366
650,0.0005656198829907725,0.02891446523552399,0.43103448275862066,-0.04919643331167578
