ts_code,trade_date,target_return,target_return_before_repair,target_return_after_repair,delta
300688.SZ,20241129,-0.0012250258653201396,0.09253193520291325,-0.0012250258653201396,-0.09375696106823339
688347.SH,20250815,0.005153281362732631,0.09885304279751539,0.005153281362732631,-0.09369976143478276
301357.SZ,20250523,-0.003198832736198587,0.08913163264144175,-0.003198832736198587,-0.09233046537764034
300609.SZ,20250506,-0.00034867945692207414,0.08596889740134572,-0.00034867945692207414,-0.0863175768582678
300327.SZ,20250606,-0.0032311350808091888,0.07762444603579621,-0.0032311350808091888,-0.0808555811166054
300300.SZ,20250812,-0.000395350756403956,0.08004816360610878,-0.000395350756403956,-0.08044351436251274
688012.SH,20251218,-0.0030290968461926804,0.07433410854046163,-0.0030290968461926804,-0.07736320538665431
300353.SZ,20251020,-0.0014341499245664746,0.07533274999464656,-0.0014341499245664746,-0.07676689991921304
300127.SZ,20250912,-0.0005189123382881577,0.07574582814693476,-0.0005189123382881577,-0.07626474048522291
600593.SH,20250721,-0.002176229034769772,0.07365823634563373,-0.002176229034769772,-0.0758344653804035
301269.SZ,20250314,-0.003299882015460165,0.07252928480591625,-0.003299882015460165,-0.07582916682137641
688165.SH,20260126,-0.005273570375445846,0.07023835173939408,-0.005273570375445846,-0.07551192211483992
301079.SZ,20250620,0.011191542959928302,0.08631913947400283,0.011191542959928302,-0.07512759651407452
002602.SZ,20251110,-0.0023341105324277134,0.07011055185019743,-0.0023341105324277134,-0.07244466238262515
002510.SZ,20260205,-0.00259777575224851,0.06912847377097808,-0.00259777575224851,-0.07172624952322659
002052.SZ,20250613,-0.0017912627990157581,0.06951677345270779,-0.0017912627990157581,-0.07130803625172355
300270.SZ,20251204,-0.002389213417306024,0.06831282890544443,-0.002389213417306024,-0.07070204232275046
301517.SZ,20250812,-0.0032693261556674402,0.06527958313316562,-0.0032693261556674402,-0.06854890928883306
688720.SH,20250123,-0.00680340693222059,0.060155755384925236,-0.00680340693222059,-0.06695916231714583
605255.SH,20251219,-0.002721488263826566,0.0641016400647687,-0.002721488263826566,-0.06682312832859527
002128.SZ,20250430,-0.002827343863657017,0.06282067221820076,-0.002827343863657017,-0.06564801608185777
600078.SH,20240620,-0.0013974201146836895,0.06169776914724423,-0.0013974201146836895,-0.06309518926192792
601995.SH,20251119,-0.0011467909948670307,0.061158689302446945,-0.0011467909948670307,-0.062305480297313975
688585.SH,20251028,-0.007132236917133938,0.053795429161581865,-0.007132236917133938,-0.0609276660787158
002176.SZ,20250721,-0.0013542984288699156,0.058886159391158044,-0.0013542984288699156,-0.06024045782002796
601059.SH,20251119,-0.002373579429407857,0.057621590254714805,-0.002373579429407857,-0.05999516968412266
002456.SZ,20250331,-0.0025239812267927597,0.05743484133932775,-0.0025239812267927597,-0.05995882256612051
000506.SZ,20250603,-0.0008469931838792633,0.05683354476070601,-0.0008469931838792633,-0.057680537944585275
002828.SZ,20250425,-0.003107755176709359,0.05329201921207294,-0.003107755176709359,-0.0563997743887823
002309.SZ,20250707,-0.005428737091550895,0.0475074357178753,-0.005428737091550895,-0.052936172809426196
688041.SH,20250523,-0.0046662819325550275,0.047516660917311215,-0.0046662819325550275,-0.05218294284986624
300142.SZ,20260316,-0.0009799906954267579,0.05092330159095315,-0.0009799906954267579,-0.05190329228637991
300666.SZ,20260129,-0.005482863421007456,0.045589533549972305,-0.005482863421007456,-0.05107239697097976
001270.SZ,20260112,-0.001998501124156671,0.047885343159256966,-0.001998501124156671,-0.049883844283413636
601088.SH,20250801,-0.002603627631061145,0.04703604325659794,-0.002603627631061145,-0.04963967088765908
002309.SZ,20241108,-0.001998501124156671,0.047083539804163355,-0.001998501124156671,-0.049082040928320025
000506.SZ,20240930,0.004586489852349551,0.05308376867280784,0.004586489852349551,-0.04849727882045829
300658.SZ,20251231,0.006110585884395725,0.05312511934719577,0.006110585884395725,-0.047014533462800046
001270.SZ,20260518,-0.0015065785340140359,0.04470884723470303,-0.0015065785340140359,-0.04621542576871707
300486.SZ,20250819,-0.0008894492497051321,0.04466223313827822,-0.0008894492497051321,-0.04555168238798335
600150.SH,20250812,-0.008399864183317285,0.03696228039030891,-0.008399864183317285,-0.045362144573626195
688143.SH,20241031,0.00809673789958687,0.051428056992273596,0.00809673789958687,-0.043331319092686726
603118.SH,20251024,-0.0025899743851299784,0.0402923668896642,-0.0025899743851299784,-0.04288234127479418
601020.SH,20260402,-0.00021103931354693461,0.04079813935636856,-0.00021103931354693461,-0.04100917866991549
300451.SZ,20251107,-0.003722089280250862,0.034835522690944476,-0.003722089280250862,-0.03855761197119534
603268.SH,20250425,0.0009818924707378773,0.035819924943766956,0.0009818924707378773,-0.03483803247302908
603023.SH,20250530,-0.0055540049350069065,0.028127500932430882,-0.0055540049350069065,-0.03368150586743779
002169.SZ,20250926,-0.001283750580592713,0.03182057769247337,-0.001283750580592713,-0.033104328273066086
600150.SH,20240902,-0.0020560398328060003,0.03074122540814095,-0.0020560398328060003,-0.03279726524094695
600438.SH,20260224,-0.0011329134288832199,0.03165904405393105,-0.0011329134288832199,-0.03279195748281427
002251.SZ,20241014,0.0007549368328987338,0.03303709817332745,0.0007549368328987338,-0.03228216134042872
002064.SZ,20241028,-0.0012669108801190987,0.029491561365873276,-0.0012669108801190987,-0.030758472245992374
600958.SH,20260417,0.0009112040390124587,0.030118186569094263,0.0009112040390124587,-0.029206982530081804
600711.SH,20250812,-0.001895383482603652,0.025303797653244642,-0.001895383482603652,-0.027199181135848294
601211.SH,20250205,0.0180316945703054,0.04427884947769867,0.0180316945703054,-0.026247154907393266
002309.SZ,20250530,0.002066697763431824,0.021527180566741633,0.002066697763431824,-0.01946048280330981
603305.SH,20251218,-0.0012961165280193088,0.01375477859876062,-0.0012961165280193088,-0.015050895126779928
600843.SH,20241127,-0.0021683200404286618,0.011406523529265744,-0.0021683200404286618,-0.013574843569694406
300551.SZ,20251205,-0.00010518138616055772,0.013336838694993913,-0.00010518138616055772,-0.013442020081154471
688536.SH,20251125,-0.0035283609673862903,0.007859420800291117,-0.0035283609673862903,-0.011387781767677407
600589.SH,20240612,-0.0014149596512560425,0.006315739192737979,-0.0014149596512560425,-0.007730698843994022
000878.SZ,20250512,-0.0010860965379171361,-0.0036772243517965153,-0.0010860965379171361,0.002591127813879379
001270.SZ,20250422,-0.0009725046834181406,-0.003825681182404783,-0.0009725046834181406,0.0028531764989866426
688110.SH,20250828,0.01055665055110655,0.005956982222205642,0.01055665055110655,0.004599668328900908
601969.SH,20260128,0.006361788418973946,0.0003592419276321479,0.006361788418973946,0.006002546491341798
600331.SH,20241203,0.0012479907837117388,-0.0052609545663784285,0.0012479907837117388,0.006508945350090167
002251.SZ,20240731,-0.007522366401673253,-0.015538363199261496,-0.007522366401673253,0.008015996797588243
600666.SH,20240816,-0.01450219290297472,-0.023675663770995392,-0.01450219290297472,0.009173470868020672
002092.SZ,20250516,-0.004510266584053069,-0.020328787866365272,-0.004510266584053069,0.015818521282312203
688209.SH,20250303,-0.0038025314783843855,-0.02060889898920537,-0.0038025314783843855,0.016806367510820985
600399.SH,20250910,-0.0027103201165736834,-0.02054396245118628,-0.0027103201165736834,0.0178336423346126
002036.SZ,20251217,-0.0019090416746004868,-0.023541496687032204,-0.0019090416746004868,0.021632455012431717
600027.SH,20240718,-0.0016728416813869273,-0.027360632312818045,-0.0016728416813869273,0.025687790631431118
000070.SZ,20250707,-0.000117305404596868,-0.02761940681639863,-0.000117305404596868,0.02750210141180176
000796.SZ,20240617,-0.005841465235213894,-0.03461964102714665,-0.005841465235213894,0.02877817579193276
601555.SH,20260227,-0.0042879790225961445,-0.04117360314551577,-0.0042879790225961445,0.036885624122919625
300368.SZ,20250522,-0.0067475105916431355,-0.04584993915395141,-0.0067475105916431355,0.03910242856230828
300264.SZ,20250801,-0.0019856328868322892,-0.041344226222171265,-0.0019856328868322892,0.039358593335338976
688126.SH,20250221,-0.0042698830978785685,-0.04586168039019456,-0.0042698830978785685,0.04159179729231599
605255.SH,20251127,-0.01619649691611058,-0.05799739750470012,-0.01619649691611058,0.04180090058858954
603306.SH,20250520,-0.0025835317530530366,-0.04554914494731932,-0.0025835317530530366,0.04296561319426628
002114.SZ,20250527,-0.004424630482878222,-0.04933263640638641,-0.004424630482878222,0.04490800592350819
002736.SZ,20240821,0.0007059107113069896,-0.04671717373823925,0.0007059107113069896,0.04742308444954624
601133.SH,20250929,-0.0007409689069862724,-0.04841381992660987,-0.0007409689069862724,0.0476728510196236
002217.SZ,20241227,-0.002278006412132272,-0.050263893257996184,-0.002278006412132272,0.04798588684586391
301073.SZ,20251125,-0.0010079827454770873,-0.05052110940715682,-0.0010079827454770873,0.04951312666167973
600711.SH,20240730,-0.0016343042941736607,-0.05197207046421537,-0.0016343042941736607,0.05033776617004171
002602.SZ,20241106,0.0009574822214455381,-0.04977330635118116,0.0009574822214455381,0.050730788572626695
688535.SH,20241111,-0.0017808679455435517,-0.05496337737115953,-0.0017808679455435517,0.053182509425615976
002515.SZ,20250418,-0.003506136943279281,-0.05752682985181834,-0.003506136943279281,0.05402069290853906
002510.SZ,20240705,-0.006972213533779192,-0.061912604407712735,-0.006972213533779192,0.05494039087393354
688195.SH,20250226,-0.0032227382808059923,-0.06013814732613454,-0.0032227382808059923,0.05691540904532855
