ts_code,name,industry,market,list_date,avg_amount,days,liquidity_rank,rank_start,rank_end
688316.SH,青云科技-U,软件服务,科创板,20210316,289510.0148666667,60,1754,20251120,20260213
603248.SH,锡华科技,机械基件,主板,20251223,289097.3942972973,37,1755,20251120,20260213
603887.SH,城地香江,软件服务,主板,20161010,289089.11818333337,60,1756,20251120,20260213
300793.SZ,佳禾智能,IT设备,创业板,20191018,288894.94718333334,60,1757,20251120,20260213
603106.SH,恒银科技,IT设备,主板,20170920,288871.4395833333,60,1758,20251120,20260213
000516.SZ,国际医学,医疗保健,主板,19930809,287621.2806666667,60,1759,20251120,20260213
000729.SZ,燕京啤酒,啤酒,主板,19970716,287448.8255666667,60,1760,20251120,20260213
688300.SH,联瑞新材,矿物制品,科创板,20191115,287434.0927333333,60,1761,20251120,20260213
600888.SH,新疆众和,铝,主板,19960215,287334.18848333333,60,1762,20251120,20260213
002882.SZ,金龙羽,电气设备,主板,20170717,287307.7557833333,60,1763,20251120,20260213
600250.SH,南京商旅,商贸代理,主板,20010306,287215.1558333334,60,1764,20251120,20260213
300663.SZ,科蓝软件,软件服务,创业板,20170608,287183.8190666667,60,1765,20251120,20260213
603660.SH,苏州科达,IT设备,主板,20161201,287129.16973333334,60,1766,20251120,20260213
002966.SZ,苏州银行,银行,主板,20190802,287111.3661666667,60,1767,20251120,20260213
002075.SZ,沙钢股份,特种钢,主板,20061025,287089.83633333334,60,1768,20251120,20260213
002707.SZ,众信旅游,旅游服务,主板,20140123,286998.8366833333,60,1769,20251120,20260213
300141.SZ,和顺电气,电气设备,创业板,20101112,286977.4545833333,60,1770,20251120,20260213
600163.SH,中闽能源,新型电力,主板,19980602,286770.37638333335,60,1771,20251120,20260213
000935.SZ,四川双马,水泥,主板,19990824,286693.3647833334,60,1772,20251120,20260213
688292.SH,浩瀚深度,通信设备,科创板,20220818,286458.9388333333,60,1773,20251120,20260213
002906.SZ,华阳集团,汽车配件,主板,20171013,286431.13136666664,60,1774,20251120,20260213
301086.SZ,鸿富瀚,元器件,创业板,20211020,286133.35185000004,60,1775,20251120,20260213
603023.SH,威帝股份,汽车配件,主板,20150527,286092.52401666663,60,1776,20251120,20260213
300852.SZ,四会富仕,元器件,创业板,20200713,285836.95938333333,60,1777,20251120,20260213
601011.SH,宝泰隆,焦炭加工,主板,20110309,285722.07148333336,60,1778,20251120,20260213
300148.SZ,天舟文化,出版业,创业板,20101215,285706.98535,60,1779,20251120,20260213
603699.SH,纽威股份,机械基件,主板,20140117,285252.05526666663,60,1780,20251120,20260213
300884.SZ,狄耐克,IT设备,创业板,20201112,285091.2096333334,60,1781,20251120,20260213
002026.SZ,山东威达,机械基件,主板,20040727,285021.76731666666,60,1782,20251120,20260213
001360.SZ,南矿集团,工程机械,主板,20230410,285006.57215,60,1783,20251120,20260213
300918.SZ,南山智尚,纺织,创业板,20201222,284937.3653333334,60,1784,20251120,20260213
002265.SZ,建设工业,专用机械,主板,20080806,284721.65928333334,60,1785,20251120,20260213
002685.SZ,华东重机,机床制造,主板,20120612,284649.4223166667,60,1786,20251120,20260213
601021.SH,春秋航空,空运,主板,20150121,284624.06603333337,60,1787,20251120,20260213
301225.SZ,恒勃股份,汽车配件,创业板,20230616,284510.47725000005,60,1788,20251120,20260213
600985.SH,淮北矿业,煤炭开采,主板,20040428,284383.7183333334,60,1789,20251120,20260213
605287.SH,德才股份,装修装饰,主板,20210706,284236.6085166667,60,1790,20251120,20260213
688114.SH,华大智造,医疗保健,科创板,20220909,284135.095,60,1791,20251120,20260213
688257.SH,新锐股份,机械基件,科创板,20211027,284041.5374833334,60,1792,20251120,20260213
300051.SZ,琏升科技,综合类,创业板,20100211,283879.1557,60,1793,20251120,20260213
600218.SH,全柴动力,汽车配件,主板,19981203,283666.2611,60,1794,20251120,20260213
001311.SZ,多利科技,汽车配件,主板,20230227,283497.24865,60,1795,20251120,20260213
002605.SZ,姚记科技,互联网,主板,20110805,283171.15510000003,60,1796,20251120,20260213
688150.SH,莱特光电,元器件,科创板,20220318,283066.27285,60,1797,20251120,20260213
688006.SH,杭可科技,电气设备,科创板,20190722,282991.915,60,1798,20251120,20260213
