split_type,horizon,factor,split_value,ic_days,mean_ic,median_ic,std_ic,icir,positive_ic_rate,mean_group_n,factor_group
liquidity_bucket,3d,stock_ret_5d,liq_q2,2023,-0.004038299632994144,0.004277149260296989,0.15338514209095458,-0.4179415190865213,0.5130993573900148,869.4864063272368,price_momentum_reversal
liquidity_bucket,3d,stock_rel_industry_ret_5d,liq_q2,2023,-0.008165153494157945,-0.0011155248900791392,0.1154542588787123,-1.1226765875257916,0.4967869500741473,869.4864063272368,relative_strength
liquidity_bucket,3d,industry_ret_5d,liq_q2,2023,0.005778408568700571,0.007669782081557548,0.13114686248327298,0.6994402347272163,0.5269401878398419,869.5056846267919,industry_strength
liquidity_bucket,3d,industry_breadth_20d,liq_q1,2019,0.006094664254977236,0.006097099958145739,0.11586228323278411,0.8350413349290102,0.5200594353640416,796.3293709757305,industry_breadth
liquidity_bucket,3d,industry_amount_share_roll20d,liq_q1,2019,-0.010838988798929123,-0.0069359368589137415,0.13909366373960244,-1.2370341561669373,0.4804358593363051,796.3293709757305,industry_crowding
liquidity_bucket,3d,industry_breadth_20d,liq_q2,2019,0.005676265485757757,0.004379627568588981,0.13091005579006063,0.6883193239934979,0.5116394254581476,869.9252105002477,industry_breadth
liquidity_bucket,3d,industry_amount_share_roll20d,liq_q2,2019,-0.003811981383238938,-0.0017401128046543124,0.1632993080258871,-0.37056696189524874,0.4962852897473997,869.9252105002477,industry_crowding
liquidity_bucket,3d,stock_ret_20d,liq_q1,2008,-0.008560702687030845,-0.0020105817343303266,0.15992872147195655,-0.8497344372937142,0.4945219123505976,797.2066733067729,price_momentum
liquidity_bucket,3d,stock_rel_industry_ret_20d,liq_q1,2008,-0.010651001185437877,-0.004111784380916854,0.13142903867991246,-1.286469138033638,0.48356573705179284,797.2066733067729,relative_strength
liquidity_bucket,3d,industry_ret_20d,liq_q1,2008,0.003912191122334638,0.007415984148205223,0.1134977028602109,0.5471838388024739,0.5333665338645418,797.3182270916335,industry_strength
liquidity_bucket,3d,stock_ret_20d,liq_q2,2008,-0.012512605263256964,-0.0050949545268937375,0.16091593545222177,-1.2343802378699242,0.4850597609561753,870.8660358565737,price_momentum
liquidity_bucket,3d,stock_rel_industry_ret_20d,liq_q2,2008,-0.013218101110568845,-0.009688079445142803,0.124698609325216,-1.682704010845773,0.46912350597609564,870.8660358565737,relative_strength
liquidity_bucket,3d,industry_ret_20d,liq_q2,2008,0.0016995544434277247,0.004261562282004862,0.13493212304921115,0.19994935062059005,0.5139442231075697,871.1145418326694,industry_strength
liquidity_bucket,3d,industry_breadth_60d,liq_q2,1999,-0.0009143678279918381,0.0026093419806307466,0.1357191554789053,-0.10694982021520315,0.511255627813907,872.2901450725362,industry_breadth
liquidity_bucket,3d,industry_amount_share_roll60d,liq_q2,1999,-0.00246617904756434,-8.720290934112571e-05,0.16313748698574426,-0.23997782124657416,0.49974987493746875,872.2901450725362,industry_crowding
liquidity_bucket,3d,industry_breadth_60d,liq_q1,1999,0.0009717868582994377,0.005924965569776034,0.11842869818297902,0.13026097865815797,0.5227613806903452,798.3226613306654,industry_breadth
liquidity_bucket,3d,industry_amount_share_roll60d,liq_q1,1999,-0.01015455228305404,-0.0040733866306671175,0.13877336515614602,-1.16159552602624,0.48724362181090547,798.3226613306654,industry_crowding
liquidity_bucket,3d,stock_ret_5d,liq_q3,2023,-0.013083544122287565,-0.00796303491554053,0.15238714998653888,-1.3629418498070816,0.47800296589223923,871.9619377162629,price_momentum_reversal
liquidity_bucket,3d,stock_ret_20d,liq_q3,2008,-0.01987841011519743,-0.015058084045911656,0.15588898186612749,-2.024260944984375,0.45617529880478086,873.3924302788845,price_momentum
liquidity_bucket,3d,stock_rel_industry_ret_5d,liq_q3,2023,-0.013699947163220693,-0.008468212763496217,0.11445061174429731,-1.900207571607645,0.4656450815620366,871.9619377162629,relative_strength
liquidity_bucket,3d,stock_rel_industry_ret_20d,liq_q3,2008,-0.018421957578502762,-0.014429668726782155,0.11842249714552762,-2.469459076976102,0.44173306772908366,873.3924302788845,relative_strength
liquidity_bucket,3d,industry_ret_5d,liq_q3,2023,0.0008650676449088566,0.004932292898093219,0.13798757174456275,0.09951999995683747,0.5170538803756797,872.011863568957,industry_strength
liquidity_bucket,3d,industry_ret_20d,liq_q3,2008,-0.002064773167028976,0.0038910777830095866,0.14423452786062801,-0.22724973256042857,0.5099601593625498,873.7250996015936,industry_strength
liquidity_bucket,3d,industry_breadth_20d,liq_q3,2019,0.002963910538738923,0.004403656435756059,0.13754286121050308,0.34207970336222066,0.5111441307578009,872.4621099554234,industry_breadth
liquidity_bucket,3d,industry_breadth_60d,liq_q3,1999,-0.0028611148234026973,0.0007168765040926778,0.14376006433455024,-0.31593467894566396,0.5012506253126563,874.9969984992496,industry_breadth
liquidity_bucket,3d,industry_amount_share_roll20d,liq_q3,2019,0.0005032337787994611,0.005644365754499979,0.1665647900564929,0.04796084801280346,0.5146111936602278,872.4621099554234,industry_crowding
liquidity_bucket,3d,industry_amount_share_roll60d,liq_q3,1999,0.0017166982658565904,0.006123268199540177,0.1662286656276318,0.1639412794577851,0.5152576288144072,874.9969984992496,industry_crowding
liquidity_bucket,3d,stock_ret_60d,liq_q1,1968,-0.0011262835799014735,-0.0016085847075524113,0.16253929276400841,-0.10999923307706252,0.4949186991869919,800.6321138211382,price_momentum
liquidity_bucket,3d,stock_rel_industry_ret_60d,liq_q1,1968,0.0007115321828739633,0.0027698670842995427,0.13970331995515406,0.08085150186728915,0.5127032520325203,800.6321138211382,relative_strength
liquidity_bucket,3d,industry_ret_60d,liq_q1,1968,-0.0033337834689697726,0.005509555970211048,0.11518211555237572,-0.4594651838889744,0.521849593495935,801.3099593495934,industry_strength
liquidity_bucket,3d,industry_crowding_score,liq_q1,1968,1.2480018563898735e-05,0.0028078897304100294,0.09018973726277014,0.0021966374321289164,0.5177845528455285,801.3099593495934,industry_crowding
liquidity_bucket,3d,stock_ret_60d,liq_q2,1968,-0.010674533724156327,-0.009913787947705593,0.15836939430354213,-1.0699855885623522,0.47459349593495936,874.7728658536586,price_momentum
liquidity_bucket,3d,stock_rel_industry_ret_60d,liq_q2,1968,-0.006457673811400302,-0.0036781960672536158,0.12537128977242135,-0.8176704084621228,0.48272357723577236,874.7728658536586,relative_strength
liquidity_bucket,3d,industry_ret_60d,liq_q2,1968,-0.004893870026630256,0.0018134594749866866,0.1366097523466179,-0.568683984125117,0.5086382113821138,875.9486788617886,industry_strength
liquidity_bucket,3d,industry_crowding_score,liq_q2,1968,-0.002184374318022438,0.002491236134362567,0.10925999913240927,-0.3173701955878597,0.5111788617886179,875.9486788617886,industry_crowding
liquidity_bucket,3d,stock_ret_60d,liq_q3,1968,-0.016366114104256823,-0.012533786609701726,0.1560684655790259,-1.6646797040409695,0.4654471544715447,877.5426829268292,price_momentum
liquidity_bucket,3d,stock_rel_industry_ret_60d,liq_q3,1968,-0.011674413336734654,-0.00942016115209953,0.11502969697681241,-1.6111106194325775,0.46239837398373984,877.5426829268292,relative_strength
liquidity_bucket,3d,industry_ret_60d,liq_q3,1968,-0.007432892573568904,0.0025735568192786617,0.14911034853314623,-0.7913167180539717,0.508130081300813,878.9065040650406,industry_strength
liquidity_bucket,3d,industry_crowding_score,liq_q3,1968,-0.00517695840519996,0.004123358831691191,0.12171386853288449,-0.6752038031319673,0.5137195121951219,878.9065040650406,industry_crowding
liquidity_bucket,3d,stock_ret_1d,liq_q4,2028,-0.008757785672123168,-0.006559084868003244,0.13879567387933417,-1.0016561298958138,0.4817554240631164,865.5695266272189,price_momentum_reversal
liquidity_bucket,3d,stock_ret_5d,liq_q4,2024,-0.020579023297790117,-0.01413994386420227,0.14948516026928535,-2.185379917543995,0.450098814229249,865.9832015810276,price_momentum_reversal
liquidity_bucket,3d,stock_ret_20d,liq_q4,2009,-0.03146451552783767,-0.028120983982434216,0.1512014522130937,-3.3034318913471252,0.4250871080139373,867.5669487307118,price_momentum
liquidity_bucket,3d,stock_ret_60d,liq_q4,1969,-0.024565030535380658,-0.023012951109531013,0.15979191992026412,-2.440409819636304,0.43981716607414933,871.9771457592686,price_momentum
liquidity_bucket,3d,stock_rel_industry_ret_1d,liq_q4,2028,-0.00779512817452386,-0.008713686388184282,0.09814126334929826,-1.2608745730687905,0.46548323471400394,865.5695266272189,relative_strength
