universe,horizon,factor,year,ic_days,mean_ic,median_ic,std_ic,icir,positive_ic_rate,mean_group_n
screened,3d,stock_ret_20d,2022,242,-0.024448916046628168,-0.01657745609597412,0.14930384886612266,-2.5994943402621917,0.45454545454545453,4465.995867768595
screened,3d,stock_ret_60d,2022,242,-0.028808054601793368,-0.01981205382838938,0.16919753475158905,-2.7028389631261796,0.4834710743801653,4465.995867768595
screened,3d,stock_rel_industry_ret_1d,2022,242,-0.016963225107851768,-0.018991624437930267,0.07211141389618271,-3.734261136545963,0.41735537190082644,4465.995867768595
screened,3d,stock_rel_industry_ret_5d,2022,242,-0.0162285799755717,-0.01897315256137389,0.07773419727708485,-3.3141233782117663,0.40082644628099173,4465.995867768595
screened,3d,stock_rel_industry_ret_20d,2022,242,-0.02463399276407087,-0.02568543767886117,0.08672115326992384,-4.5093094034001915,0.359504132231405,4465.995867768595
screened,3d,stock_rel_industry_ret_60d,2022,242,-0.022033627155901125,-0.02217600968579847,0.09301684940968588,-3.760318585623699,0.40082644628099173,4465.995867768595
screened,3d,industry_ret_5d,2022,242,-0.01103974652481542,-0.013106691929175997,0.15656747584138,-1.1193291717154263,0.4669421487603306,4465.995867768595
screened,3d,industry_ret_20d,2022,242,-0.0010745826479272205,0.008240307819941846,0.1649233077021942,-0.10343274662188494,0.5330578512396694,4465.995867768595
screened,3d,industry_ret_60d,2022,242,-0.013401347324055988,0.006227718845646371,0.190378312847657,-1.1174581302553899,0.5082644628099173,4465.995867768595
screened,3d,industry_breadth_20d,2022,242,0.0005040147956998833,-0.010269089346679035,0.14969637822495013,0.05344809897197613,0.49173553719008267,4465.995867768595
screened,3d,industry_breadth_60d,2022,242,-0.013451042753547362,-0.0019127254361153284,0.17470455097338525,-1.2222273707960363,0.49586776859504134,4465.995867768595
screened,3d,industry_amount_share,2022,242,-0.036800502425505824,-0.04298594172543582,0.16508432636336529,-3.538736099966585,0.4256198347107438,4465.995867768595
screened,3d,industry_amount_share_roll20d,2022,242,-0.03721078171407297,-0.034683572433677715,0.1674388849968606,-3.527871360619468,0.4297520661157025,4465.995867768595
screened,3d,industry_amount_share_roll60d,2022,242,-0.03437189434023769,-0.03661247858390156,0.16375065626140778,-3.3321204295859586,0.4462809917355372,4465.995867768595
screened,3d,industry_crowding_score,2022,242,-0.02602030377314878,-0.017871376705688686,0.14550710479307116,-2.8387584064713867,0.4669421487603306,4465.995867768595
screened,3d,stock_amount_share_in_industry,2022,242,-0.0064863356778998345,0.01172251671795593,0.13168064718943379,-0.7819477572488217,0.5330578512396694,4465.995867768595
screened,3d,turnover_rate,2022,242,-0.05565986665927141,-0.05502419453288858,0.14081922484936796,-6.274519633734879,0.3677685950413223,4465.995867768595
screened,3d,log_amount,2022,242,-0.046908000056394686,-0.054482797161023104,0.12043002566269291,-6.183187388644903,0.33884297520661155,4465.995867768595
screened,3d,log_total_mv,2022,242,-0.017726111167867525,-0.01925632879119698,0.15224226736754262,-1.848325672235521,0.45454545454545453,4465.995867768595
screened,3d,stock_ret_1d,2023,242,-0.010799837716983209,-0.01265228982144085,0.13130243829766136,-1.3057039230703489,0.45454545454545453,4909.636363636364
screened,3d,stock_ret_5d,2023,242,-0.01494660193347512,-0.015180465155989734,0.13535908128422855,-1.7528927332957582,0.4297520661157025,4909.636363636364
screened,3d,stock_ret_20d,2023,242,-0.033676744103475306,-0.03513969920361869,0.13120043985220964,-4.074694717389208,0.36363636363636365,4909.636363636364
screened,3d,stock_ret_60d,2023,242,-0.02115806863074324,-0.034884986882125026,0.14667420856460198,-2.2899317487598165,0.4132231404958678,4909.636363636364
screened,3d,stock_rel_industry_ret_1d,2023,242,-0.0047701296473911916,-0.00425336823449789,0.07144962618502348,-1.0598160501933076,0.4793388429752066,4909.636363636364
screened,3d,stock_rel_industry_ret_5d,2023,242,-0.018491069023458293,-0.020846528994027398,0.07707740042409779,-3.8083357645132936,0.4132231404958678,4909.636363636364
screened,3d,stock_rel_industry_ret_20d,2023,242,-0.02028646771917463,-0.024462493830965007,0.08762761917360662,-3.675070650398912,0.371900826446281,4909.636363636364
screened,3d,stock_rel_industry_ret_60d,2023,242,-0.00856884168230999,-0.021558750963302387,0.09467352091232525,-1.4367918651470644,0.4256198347107438,4909.636363636364
screened,3d,industry_ret_5d,2023,242,0.0017413477603617563,-0.0010623792513947917,0.15867801794476685,0.1742083691113479,0.5,4909.636363636364
screened,3d,industry_ret_20d,2023,242,-0.02866882156940336,-0.030339366853645983,0.14898598738021787,-3.0546727348399108,0.4090909090909091,4909.636363636364
screened,3d,industry_ret_60d,2023,242,-0.024288281757540862,-0.023132898496734666,0.16045878696035046,-2.402888162904989,0.45454545454545453,4909.636363636364
screened,3d,industry_breadth_20d,2023,242,-0.031830486750923065,-0.041136316295337094,0.15039780062574168,-3.3597121115878075,0.4090909090909091,4909.636363636364
screened,3d,industry_breadth_60d,2023,242,-0.032657954628933464,-0.02568542763034808,0.16456393381705284,-3.150319426816047,0.45041322314049587,4909.636363636364
screened,3d,industry_amount_share,2023,242,-0.017583790240388347,-0.014608308673574648,0.19173293190538007,-1.4558480575976671,0.47520661157024796,4909.636363636364
screened,3d,industry_amount_share_roll20d,2023,242,-0.015379434270087722,-0.013046838799147106,0.19186633600263348,-1.2724532890321456,0.47107438016528924,4909.636363636364
screened,3d,industry_amount_share_roll60d,2023,242,-0.01379110875843819,-0.00922564200439517,0.19076415924759924,-1.1476320569624423,0.47520661157024796,4909.636363636364
screened,3d,industry_crowding_score,2023,242,-0.016209666808677553,-0.0071985115897448635,0.143727516668293,-1.7903355546018354,0.47107438016528924,4909.636363636364
screened,3d,stock_amount_share_in_industry,2023,242,-0.0415414950833233,-0.03748140598995199,0.13531348827222953,-4.873503734934419,0.4256198347107438,4909.636363636364
screened,3d,turnover_rate,2023,242,-0.04328832176074596,-0.03903224277957425,0.14905070594247408,-4.610382755106798,0.4132231404958678,4909.636363636364
screened,3d,log_amount,2023,242,-0.07830981575479376,-0.081896437490063,0.14591294995150683,-8.519667285377881,0.28512396694214875,4909.636363636364
screened,3d,log_total_mv,2023,242,-0.052616192442392025,-0.051061601255764436,0.16170755217384178,-5.1652266675101295,0.36363636363636365,4909.636363636364
screened,3d,stock_ret_1d,2024,242,0.007406045753561679,0.018903013207022402,0.19734589147770662,0.5957424838865828,0.5454545454545454,5078.247933884298
screened,3d,stock_ret_5d,2024,242,-0.025992422665381362,-0.007083783956785915,0.2088243077457073,-1.9759046373591933,0.49173553719008267,5078.247933884298
screened,3d,stock_ret_20d,2024,242,-0.03499967741236202,-0.020735045562122113,0.21725986180561516,-2.557318456276435,0.4297520661157025,5078.247933884298
screened,3d,stock_ret_60d,2024,242,-0.04662357504537678,-0.05029990955894196,0.23146988822114123,-3.197505794403129,0.4214876033057851,5078.247933884298
screened,3d,stock_rel_industry_ret_1d,2024,242,0.006324589460851232,0.017444651288259158,0.15032581405355036,0.6678809343562868,0.5702479338842975,5078.247933884298
screened,3d,stock_rel_industry_ret_5d,2024,242,-0.018761167264473202,-0.003979861377944855,0.16642656602130937,-1.7895237788200156,0.4834710743801653,5078.247933884298
screened,3d,stock_rel_industry_ret_20d,2024,242,-0.024670896636669663,-0.02025632503302273,0.1721020442944678,-2.2756170290432496,0.45454545454545453,5078.247933884298
screened,3d,stock_rel_industry_ret_60d,2024,242,-0.03241144713922674,-0.03615853665685875,0.18786119535973508,-2.7388081481511577,0.41735537190082644,5078.247933884298
screened,3d,industry_ret_5d,2024,242,-0.020654920826410968,-0.02700969033589519,0.153846914781884,-2.1312530290473046,0.4462809917355372,5078.247933884298
screened,3d,industry_ret_20d,2024,242,-0.026562616635973188,-0.02896439981386735,0.15918559265137552,-2.648910995752412,0.44214876033057854,5078.247933884298
screened,3d,industry_ret_60d,2024,242,-0.032951043057231365,-0.025214282484427517,0.15624969728052915,-3.347728676098223,0.45867768595041325,5078.247933884298
screened,3d,industry_breadth_20d,2024,242,-0.019039270205255705,-0.017429451333392763,0.1481378577589429,-2.040255267734651,0.45041322314049587,5078.247933884298
screened,3d,industry_breadth_60d,2024,242,-0.01333621526888546,-0.007676569471871838,0.13948846491212882,-1.5177301888519932,0.4834710743801653,5078.247933884298
screened,3d,industry_amount_share,2024,242,-0.03244426039924968,-0.04549428629784387,0.1870877724831467,-2.7529146351529232,0.39669421487603307,5078.247933884298
screened,3d,industry_amount_share_roll20d,2024,242,-0.030397890666222904,-0.049015782131750375,0.1898042590701143,-2.5423642065075467,0.39669421487603307,5078.247933884298
screened,3d,industry_amount_share_roll60d,2024,242,-0.028702290485516688,-0.051974012588085615,0.18964683469991608,-2.4025433212035394,0.39669421487603307,5078.247933884298
screened,3d,industry_crowding_score,2024,242,-0.03214791934831736,-0.02775590885932839,0.125733056479336,-4.058856221845911,0.38016528925619836,5078.247933884298
screened,3d,stock_amount_share_in_industry,2024,242,0.002499197815392024,0.0032647677364143275,0.1710500577748731,0.23194108143661332,0.5082644628099173,5078.247933884298
screened,3d,turnover_rate,2024,242,-0.05294965491186767,-0.07084775089438894,0.2203538465148646,-3.8145452267575806,0.3512396694214876,5078.247933884298
screened,3d,log_amount,2024,242,-0.03494239967238058,-0.04539082927400194,0.17578074166673507,-3.15559823681546,0.39669421487603307,5078.247933884298
