universe,horizon,factor,ic_days,mean_ic,median_ic,std_ic,icir,positive_ic_rate,mean_group_n,factor_group,point_in_time_status,direction_adjusted_mean_spread,abs_mean_ic,candidate_flag
screened,10d,industry_breadth_60d,1993,-0.017338991766325064,-0.014063519909115873,0.14034168109633297,-1.9612702301949847,0.44756648268941296,4255.750627195183,industry_breadth,diagnostic_industry_snapshot,0.0003982098319205885,0.017338991766325064,True
screened,10d,industry_ret_20d,2002,-0.016185626742183944,-0.010988131247595151,0.13934129825244645,-1.8439533882891785,0.46553446553446554,4249.515484515485,industry_strength,diagnostic_industry_snapshot,0.0007875908868598505,0.016185626742183944,True
screened,3d,industry_crowding_score,1969,-0.014289530875617105,-0.008217995287563491,0.12168747810125236,-1.8641134965688544,0.46673438293550024,4282.627729812088,industry_crowding,diagnostic_industry_snapshot,0.0006135586585509918,0.014289530875617105,True
screened,5d,industry_ret_20d,2007,-0.011636640114711274,-0.005356468369170681,0.1413241914834711,-1.3071076727929485,0.476831091180867,4254.82461385152,industry_strength,diagnostic_industry_snapshot,0.001231846233836099,0.011636640114711274,True
screened,3d,industry_amount_share,2029,-0.01157785339886488,-0.009510696188014693,0.15605405628959215,-1.1777503848736557,0.4785608674223756,4246.087235091178,industry_crowding,diagnostic_industry_snapshot,0.0005539729086871805,0.01157785339886488,True
screened,3d,industry_ret_60d,1969,-0.013790699185978812,-0.00293665226240674,0.1483284527188531,-1.4759175242376095,0.49162011173184356,4282.627729812088,industry_strength,diagnostic_industry_snapshot,9.301293519589864e-05,0.013790699185978812,False
screened,10d,industry_amount_share,2022,-0.013384182814924008,-0.006777191391840307,0.16481018372924194,-1.289163755376498,0.4846686449060336,4237.438674579624,industry_crowding,diagnostic_industry_snapshot,0.001244517648260775,0.013384182814924008,False
screened,5d,industry_breadth_60d,1998,-0.012508253287404986,-0.006170222487228469,0.1407328174520923,-1.4109172885227863,0.4824824824824825,4261.044544544545,industry_breadth,diagnostic_industry_snapshot,5.18674921296852e-05,0.012508253287404986,False
screened,5d,industry_amount_share,2027,-0.012244135618722379,-0.006944838714777477,0.158782993780752,-1.2241211893567798,0.48643315244203256,4243.211149481993,industry_crowding,diagnostic_industry_snapshot,0.0007472504224074045,0.012244135618722379,False
screened,10d,industry_amount_share_roll20d,2013,-0.011560830752358708,-0.0016455866482638138,0.16624507565237293,-1.1039274276252753,0.49826130153999004,4242.697466467958,industry_crowding,diagnostic_industry_snapshot,0.001335339031853269,0.011560830752358708,False
