universe,horizon,factor,decile,days,observations,mean_daily_return,median_daily_return,positive_daily_rate
screened,5d,stock_rel_industry_ret_5d,1,2022,857586,0.0039719113643603915,0.002964716875431642,0.5385756676557863
screened,5d,stock_rel_industry_ret_5d,2,2022,858599,0.004120644333257732,0.003997139034997727,0.5514342235410484
screened,5d,stock_rel_industry_ret_5d,3,2022,858404,0.004097309336006179,0.004318802689625445,0.5519287833827893
screened,5d,stock_rel_industry_ret_5d,4,2022,858576,0.004033138056413134,0.00422947114347103,0.5568743818001978
screened,5d,stock_rel_industry_ret_5d,5,2022,858804,0.0037862334916981292,0.004214547328470106,0.5588526211671613
screened,5d,stock_rel_industry_ret_5d,6,2022,858213,0.003676831216592263,0.004265789589135118,0.5633036597428289
screened,5d,stock_rel_industry_ret_5d,7,2022,858379,0.003426690739402977,0.0042097503581808434,0.5573689416419386
screened,5d,stock_rel_industry_ret_5d,8,2022,858605,0.0033666903484449026,0.004089922909416486,0.5558852621167161
screened,5d,stock_rel_industry_ret_5d,9,2022,858409,0.002893306029626983,0.003745915746463427,0.5544015825914935
screened,5d,stock_rel_industry_ret_5d,10,2022,859417,0.00041568613994999557,0.0009403105047967394,0.5143422354104846
screened,5d,stock_rel_industry_ret_20d,1,2007,852714,0.004511110385269084,0.0035543475771083128,0.541604384653712
screened,5d,stock_rel_industry_ret_20d,2,2007,853725,0.004419522081876258,0.0037939133807172298,0.5465869456900847
screened,5d,stock_rel_industry_ret_20d,3,2007,853531,0.004263837528050043,0.00418015119455514,0.5540607872446437
screened,5d,stock_rel_industry_ret_20d,4,2007,853711,0.004247868399930354,0.00438938929932912,0.5645241654210265
screened,5d,stock_rel_industry_ret_20d,5,2007,853916,0.003925057096102844,0.004926013870364547,0.5665171898355755
screened,5d,stock_rel_industry_ret_20d,6,2007,853330,0.0037308559099142376,0.0045148778653809,0.5660189337319382
screened,5d,stock_rel_industry_ret_20d,7,2007,853521,0.003562708940550537,0.004062644862105184,0.5690084703537618
screened,5d,stock_rel_industry_ret_20d,8,2007,853722,0.0033460815399746807,0.003928352112217851,0.560039860488291
screened,5d,stock_rel_industry_ret_20d,9,2007,853533,0.0028153678426409636,0.003463169088161554,0.5495764823119084
screened,5d,stock_rel_industry_ret_20d,10,2007,854527,0.0007220526009756854,0.001378613290627627,0.5146985550572994
screened,5d,stock_rel_industry_ret_60d,1,1967,839726,0.004602017175621324,0.002784636390235058,0.5394001016776817
screened,5d,stock_rel_industry_ret_60d,2,1967,840714,0.003994676500534374,0.003044534086621678,0.5444839857651246
screened,5d,stock_rel_industry_ret_60d,3,1967,840524,0.003906888133437338,0.004067499401275231,0.5536349771225216
screened,5d,stock_rel_industry_ret_60d,4,1967,840718,0.003831661328891539,0.004231004635837379,0.559735638027453
