universe,split_type,horizon,factor,split_value,ic_days,mean_ic,median_ic,std_ic,icir,positive_ic_rate,mean_group_n
screened,trend_regime,3d,log_total_mv,weak,284,-0.028098323182474624,-0.022606293728650237,0.21938772238815013,-2.0331450070999297,0.45422535211267606,4123.137323943662
screened,trend_regime,3d,stock_ret_1d,strong,556,-0.017458967477455522,-0.012362929126406783,0.1234191006679114,-2.2456209376020095,0.460431654676259,4295.124100719425
screened,trend_regime,3d,stock_ret_5d,strong,556,-0.034820819894095245,-0.022601755013411298,0.1352352790833192,-4.087419962229814,0.4172661870503597,4295.073741007194
screened,trend_regime,3d,stock_ret_20d,strong,556,-0.042877255458827354,-0.03830242237321935,0.14061338288050576,-4.840615559677479,0.37949640287769787,4294.719424460432
screened,trend_regime,3d,stock_ret_60d,strong,556,-0.05497665740113813,-0.05729558079852079,0.15671552513560857,-5.5688635802156465,0.36151079136690645,4292.615107913669
screened,trend_regime,3d,stock_rel_industry_ret_1d,strong,556,-0.014115827779101435,-0.0069585162714546605,0.07939231377973506,-2.8224623827138613,0.4712230215827338,4295.124100719425
screened,trend_regime,3d,stock_rel_industry_ret_5d,strong,556,-0.029168029527516313,-0.02230381663042042,0.09078919742844259,-5.100035326851823,0.3776978417266187,4295.073741007194
screened,trend_regime,3d,stock_rel_industry_ret_20d,strong,556,-0.03497521349996119,-0.03160232654943582,0.08578631416039567,-6.472061508501543,0.3471223021582734,4294.719424460432
screened,trend_regime,3d,stock_rel_industry_ret_60d,strong,556,-0.03876055648693477,-0.03979110840255726,0.09060872044490448,-6.790789626386424,0.34172661870503596,4292.615107913669
screened,trend_regime,3d,industry_ret_5d,strong,556,-0.015520467104148467,-0.0077867150894978115,0.13154384581171713,-1.8729859661201111,0.48201438848920863,4295.124100719425
screened,trend_regime,3d,industry_ret_20d,strong,556,-0.019313284763656333,-0.019147589694827764,0.1470968806112324,-2.0842650750476475,0.44244604316546765,4295.124100719425
screened,trend_regime,3d,industry_ret_60d,strong,556,-0.03338657488187433,-0.025803872693686166,0.16087131093042872,-3.2945305320676823,0.42805755395683454,4295.124100719425
screened,trend_regime,3d,industry_breadth_20d,strong,556,-0.014804821498184744,-0.014041936970420402,0.13552003964775758,-1.7342029706031448,0.4460431654676259,4295.124100719425
screened,trend_regime,3d,industry_breadth_60d,strong,556,-0.022495772165847912,-0.014736781100611687,0.15217480719760587,-2.3467045484308846,0.45863309352517984,4295.124100719425
screened,trend_regime,3d,industry_amount_share,strong,556,-0.020168766634836032,-0.012589445326808751,0.15784620788810463,-2.028361966269114,0.47302158273381295,4295.124100719425
screened,trend_regime,3d,industry_amount_share_roll20d,strong,556,-0.01760762881384931,-0.0089077371444696,0.1589558521472069,-1.758428131699298,0.4766187050359712,4295.124100719425
screened,trend_regime,3d,industry_amount_share_roll60d,strong,556,-0.01565964760112383,-0.010333839190699207,0.15568493928436067,-1.5967453253448334,0.48201438848920863,4295.124100719425
screened,trend_regime,3d,industry_crowding_score,strong,556,-0.026113171297722625,-0.022988284372005514,0.12424615305103963,-3.3363909706865136,0.4118705035971223,4295.124100719425
screened,trend_regime,3d,stock_amount_share_in_industry,strong,556,-0.02667417244377374,-0.03013429328647073,0.10828201804380683,-3.9105233531642942,0.38848920863309355,4295.124100719425
screened,trend_regime,3d,turnover_rate,strong,556,-0.062451783826043654,-0.06378764946766538,0.16881790214937306,-5.872548592265196,0.35071942446043164,4287.947841726619
screened,trend_regime,3d,log_amount,strong,556,-0.06249798771853978,-0.06568128205561678,0.14224926295802795,-6.974551410955908,0.30755395683453235,4295.124100719425
screened,trend_regime,3d,log_total_mv,strong,556,-0.020995180755075542,-0.036687752681054925,0.1637212454321653,-2.035705025165879,0.41007194244604317,4287.947841726619
screened,trend_regime,5d,industry_amount_share,insufficient_history,60,0.010284267554779562,-0.011607887808918875,0.09953648427262413,1.6401793512339644,0.45,3034.6
screened,trend_regime,5d,stock_amount_share_in_industry,insufficient_history,60,-0.04041871598823186,-0.04479623177502604,0.13942563724639426,-4.601931449454889,0.38333333333333336,3034.6
screened,trend_regime,5d,turnover_rate,insufficient_history,60,0.007751280112072392,-0.06505325328583253,0.17329280683059073,0.7100569225239495,0.4666666666666667,3034.6
screened,trend_regime,5d,log_amount,insufficient_history,60,-0.03951812757779649,-0.07528897635482018,0.1314368968164215,-4.772866997726161,0.35,3034.6
screened,trend_regime,5d,log_total_mv,insufficient_history,60,-0.034284261710348776,-0.04316793615882571,0.202319084993281,-2.690036791300708,0.4166666666666667,3034.6
screened,trend_regime,5d,stock_ret_1d,insufficient_history,59,-0.01907285536227886,-0.01855602790272759,0.16088314442565227,-1.8819385558621118,0.423728813559322,3033.9322033898306
screened,trend_regime,5d,stock_rel_industry_ret_1d,insufficient_history,59,-0.023062626433248336,-0.009944692734581784,0.11020424899076822,-3.3220846572333773,0.4406779661016949,3033.9322033898306
screened,trend_regime,5d,stock_ret_5d,insufficient_history,55,-0.033733376614477506,-0.026467499171249066,0.14453322644227284,-3.7050356212743782,0.45454545454545453,3023.327272727273
screened,trend_regime,5d,stock_rel_industry_ret_5d,insufficient_history,55,-0.05200571166873638,-0.04964923600685369,0.11667271543422894,-7.075905244082778,0.38181818181818183,3023.327272727273
screened,trend_regime,5d,industry_ret_5d,insufficient_history,55,0.018989461532792226,0.0043433034127579265,0.1277945738442466,2.358850985709087,0.509090909090909,3030.5636363636363
screened,trend_regime,5d,industry_breadth_20d,insufficient_history,51,0.03504160895294187,0.03565331567090988,0.13295724398935382,4.183813384541075,0.5686274509803921,3026.176470588235
screened,trend_regime,5d,industry_amount_share_roll20d,insufficient_history,51,0.017230899709369283,0.01469709780771582,0.09373306301775573,2.918202437591341,0.5098039215686274,3026.176470588235
screened,trend_regime,5d,stock_ret_20d,insufficient_history,40,-0.07803089034129039,-0.13176955756056685,0.1841705136850328,-6.725843120915969,0.375,2973.575
screened,trend_regime,5d,stock_rel_industry_ret_20d,insufficient_history,40,-0.09510610548482243,-0.09206639681506497,0.1297426947138362,-11.636590584080807,0.25,2973.575
screened,trend_regime,5d,industry_ret_20d,insufficient_history,40,0.012842542833240484,0.007260126459162546,0.16287401845764415,1.251697779432585,0.525,3013.0
screened,trend_regime,5d,industry_breadth_60d,insufficient_history,31,-0.02780604315637333,-0.03363864525372165,0.11224646199245848,-3.9324825298156556,0.3225806451612903,3053.3548387096776
screened,trend_regime,5d,industry_amount_share_roll60d,insufficient_history,31,0.04411154192303595,0.062271552956968325,0.08694781444430882,8.053670166766947,0.6129032258064516,3053.3548387096776
screened,trend_regime,5d,stock_ret_1d,neutral,1127,-0.006117183544891661,0.0006965342432288102,0.12164947120832256,-0.7982548328321513,0.5004436557231589,4313.133984028394
screened,trend_regime,5d,stock_ret_5d,neutral,1127,-0.017749112478358437,-0.015551612649007259,0.12475401639007197,-2.2585118604768297,0.4454303460514641,4313.018633540372
screened,trend_regime,5d,stock_ret_20d,neutral,1127,-0.030019339542014495,-0.033101325938658686,0.13069540082662992,-3.64620513567735,0.3992901508429459,4312.289263531499
screened,trend_regime,5d,stock_ret_60d,neutral,1127,-0.021395189994092043,-0.020200378311595265,0.1356420696698158,-2.503928999983766,0.4392191659272405,4307.092280390417
screened,trend_regime,5d,stock_rel_industry_ret_1d,neutral,1127,-0.008185407333856407,-0.005483580129925883,0.07593558730525567,-1.711178088193919,0.4658385093167702,4313.133984028394
screened,trend_regime,5d,stock_rel_industry_ret_5d,neutral,1127,-0.02071748912641941,-0.015850423212911902,0.08453577028047327,-3.8904234623755545,0.417036379769299,4313.018633540372
screened,trend_regime,5d,stock_rel_industry_ret_20d,neutral,1127,-0.030730074541324124,-0.03167081427465772,0.09323355348704686,-5.232288074364772,0.36202307009760426,4312.289263531499
screened,trend_regime,5d,stock_rel_industry_ret_60d,neutral,1127,-0.018933754400295624,-0.016707308903653097,0.09889396427774132,-3.039255584128631,0.4259094942324756,4307.092280390417
screened,trend_regime,5d,industry_ret_5d,neutral,1127,0.002762381869755929,0.004328724801971599,0.1343487016559204,0.32640027168788355,0.518189884649512,4313.133984028394
screened,trend_regime,5d,industry_ret_20d,neutral,1127,-0.002263743400022271,0.00384056053923119,0.13636401893510686,-0.26352855167929323,0.5128660159716061,4313.133984028394
screened,trend_regime,5d,industry_ret_60d,neutral,1127,-0.005216252592252439,0.002044051273496667,0.1374839057914303,-0.6022918997834962,0.5084294587400178,4313.133984028394
screened,trend_regime,5d,industry_breadth_20d,neutral,1127,0.0018803869335621685,0.0056266346209808,0.1316246325933353,0.22678290970740717,0.5261756876663709,4313.133984028394
screened,trend_regime,5d,industry_breadth_60d,neutral,1127,-0.0022580976028308596,0.0017496348917773906,0.13886240746786102,-0.2581417736654591,0.5066548358473825,4313.133984028394
screened,trend_regime,5d,industry_amount_share,neutral,1127,-0.006952243858796943,0.0010035192229645895,0.16487832240335495,-0.6693630079248725,0.5031055900621118,4313.133984028394
screened,trend_regime,5d,industry_amount_share_roll20d,neutral,1127,-0.005323739774730679,-0.0004720961885264076,0.16693141484089402,-0.506266295131521,0.4986690328305235,4313.133984028394
screened,trend_regime,5d,industry_amount_share_roll60d,neutral,1127,-0.0038531776286937036,0.0023137647359394186,0.16757668609644893,-0.36501078999785086,0.5022182786157942,4313.133984028394
screened,trend_regime,5d,industry_crowding_score,neutral,1127,-0.007593186674253584,-0.00379509553154515,0.12247812395185356,-0.9841602541101251,0.4800354924578527,4313.133984028394
screened,trend_regime,5d,stock_amount_share_in_industry,neutral,1127,-0.03438804823519238,-0.036485327790778066,0.12871964286488818,-4.2409482350124135,0.37710736468500444,4313.133984028394
screened,trend_regime,5d,turnover_rate,neutral,1127,-0.04727855409165252,-0.052757479533849315,0.1606462021473584,-4.6719048991330805,0.385980479148181,4308.270629991127
screened,trend_regime,5d,log_amount,neutral,1127,-0.0555257666649235,-0.05899278756903477,0.14306226299100802,-6.161262944407145,0.3433895297249335,4313.133984028394
screened,trend_regime,5d,log_total_mv,neutral,1127,-0.019852785782967404,-0.02037456355081154,0.166599540201145,-1.89168111569168,0.4338952972493345,4308.270629991127
screened,trend_regime,5d,stock_ret_1d,weak,284,0.0011317733933168346,0.000727043685580776,0.16193341582635587,0.11094896963355515,0.5035211267605634,4123.18661971831
screened,trend_regime,5d,stock_ret_5d,weak,284,-0.027451429557445183,-0.015060924201583156,0.1782047053709262,-2.445378384067874,0.4788732394366197,4123.024647887324
screened,trend_regime,5d,stock_ret_20d,weak,284,-0.06982436941822848,-0.07116327967725092,0.2051297559836375,-5.403543217219219,0.3591549295774648,4121.605633802817
screened,trend_regime,5d,stock_ret_60d,weak,284,-0.06665280394524659,-0.04891318923681418,0.22111060116930287,-4.785299551220698,0.4119718309859155,4107.172535211268
screened,trend_regime,5d,stock_rel_industry_ret_1d,weak,284,-0.0027776632064806257,-0.0061303567224001015,0.12749948278884685,-0.34583698268389457,0.47183098591549294,4123.18661971831
screened,trend_regime,5d,stock_rel_industry_ret_5d,weak,284,-0.02809905005240698,-0.01542769647917083,0.1448084516531637,-3.0803353395651523,0.44014084507042256,4123.024647887324
screened,trend_regime,5d,stock_rel_industry_ret_20d,weak,284,-0.0568447045620479,-0.044675808906668835,0.16643638932784333,-5.4217813386663325,0.36971830985915494,4121.605633802817
screened,trend_regime,5d,stock_rel_industry_ret_60d,weak,284,-0.05642856482926633,-0.04436591267906097,0.17876371289304405,-5.010948149231487,0.4084507042253521,4107.172535211268
screened,trend_regime,5d,industry_ret_5d,weak,284,-0.007504883601278942,-6.8139252693300135e-06,0.1299729592067964,-0.916624000037353,0.5,4123.18661971831
screened,trend_regime,5d,industry_ret_20d,weak,284,-0.035223916086676826,-0.029506423448513133,0.14158908510492613,-3.9491909463822914,0.4014084507042254,4123.18661971831
screened,trend_regime,5d,industry_ret_60d,weak,284,-0.028583101753011278,-0.021405103334132397,0.14097106030023757,-3.218693770604834,0.43661971830985913,4123.18661971831
