universe,horizon,factor,spread_days,high_minus_low_mean,high_minus_low_median,high_minus_low_tstat,positive_spread_rate,direction_adjusted_mean_spread,preferred_direction
screened,10d,industry_ret_20d,2002,0.0007875908868598505,0.0008007482293243256,0.9284060234755277,0.5104895104895105,0.0007875908868598505,high_factor
screened,10d,industry_ret_60d,1962,-0.00141219782753703,-0.001417273365023698,-1.6542231810980763,0.48267074413863403,0.00141219782753703,low_factor
screened,10d,industry_breadth_20d,2013,0.0024329146103253853,0.0014110196581986027,3.0408446418485173,0.5161450571286637,0.0024329146103253853,high_factor
screened,10d,industry_breadth_60d,1993,-0.0003982098319205885,-0.00023905941531056352,-0.48145638120223283,0.4942298043151029,0.0003982098319205885,low_factor
screened,10d,industry_amount_share,2022,0.001244517648260775,0.0015259101942997934,1.371227636870102,0.5158259149357072,0.001244517648260775,high_factor
screened,10d,industry_amount_share_roll20d,2013,0.001335339031853269,0.0033197556854425124,1.5224522430364429,0.5375062096373572,0.001335339031853269,high_factor
screened,10d,industry_amount_share_roll60d,1993,0.0021676404702577973,0.0040968250896543795,2.459286506348128,0.537882589061716,0.0021676404702577973,high_factor
screened,10d,industry_crowding_score,1960,-0.000823486441992746,-0.0013484507028883202,-1.0814980516497288,0.47806122448979593,0.000823486441992746,low_factor
screened,10d,stock_amount_share_in_industry,2022,-0.010371926563187814,-0.009098205234887665,-14.908090901049638,0.3466864490603363,0.010371926563187814,low_factor
screened,10d,turnover_rate,2022,-0.005825915989627664,-0.0074319258187701175,-5.840861196940969,0.42828882294757664,0.005825915989627664,low_factor
screened,10d,log_amount,2022,-0.01103299492813537,-0.011616150028615477,-12.356772470272075,0.3659742828882295,0.01103299492813537,low_factor
screened,10d,log_total_mv,2022,-0.010703784635616333,-0.009717355039217014,-9.648394212667771,0.37487636003956476,0.010703784635616333,low_factor
