universe,horizon,factor,ic_days,mean_ic,median_ic,std_ic,icir,positive_ic_rate,mean_group_n,factor_group,point_in_time_status
all_valid,3d,industry_ret_20d,2009,-0.00855072547168132,-0.005326153518738367,0.13690666126647685,-0.9914678913929703,0.4838227974116476,4576.240915878547,industry_strength,diagnostic_industry_snapshot
all_valid,3d,industry_breadth_60d,2000,-0.008351855420023117,-0.0021831933415633327,0.13695894717457865,-0.968038943779916,0.494,4582.6235,industry_breadth,diagnostic_industry_snapshot
all_valid,3d,industry_amount_share_roll60d,2000,-0.00812630130057487,-0.0030572017619229456,0.15123707347829987,-0.8529722967637344,0.49,4582.6235,industry_crowding,diagnostic_industry_snapshot
all_valid,3d,stock_ret_60d,1969,-0.03179954534975931,-0.03086645121533537,0.15390111766193623,-3.280042019650338,0.41950228542407314,4532.6566785170135,price_momentum,usable_after_t_close
all_valid,3d,stock_rel_industry_ret_60d,1969,-0.025978996009752266,-0.02525086086293723,0.1102616994728993,-3.740226919130933,0.39918740477399695,4532.6566785170135,relative_strength,diagnostic_industry_snapshot
all_valid,3d,industry_ret_60d,1969,-0.013278520684200022,-0.0019409495906031855,0.14170439164032958,-1.4875331569846095,0.4951752158456069,4603.9674961909595,industry_strength,diagnostic_industry_snapshot
all_valid,3d,industry_crowding_score,1969,-0.014726680966813366,-0.009747859822040196,0.11730221319474315,-1.9929616542301964,0.462671406805485,4603.9674961909595,industry_crowding,diagnostic_industry_snapshot
all_valid,5d,industry_amount_share,2027,-0.012584338717975754,-0.007060787378037873,0.15240859470003035,-1.310754057964893,0.48001973359644795,4559.423285643808,industry_crowding,diagnostic_industry_snapshot
all_valid,5d,stock_amount_share_in_industry,2027,-0.03870822904469558,-0.0403664665277671,0.11609010590890255,-5.293078868806759,0.3443512580167736,4559.423285643808,liquidity_crowding,usable_after_t_close
all_valid,5d,turnover_rate,2027,-0.06052750314720212,-0.06605720555156412,0.16332131559919377,-5.883153226619,0.3492846571287617,4537.242229896398,liquidity,usable_after_t_close
all_valid,5d,log_amount,2027,-0.06648523474778834,-0.07218715854734564,0.13893833959505125,-7.596322117268059,0.31031080414405526,4559.423285643808,liquidity,usable_after_t_close
all_valid,5d,log_total_mv,2027,-0.02315408354959174,-0.026382729573156245,0.16844897843081513,-2.1820238084610977,0.4306857424765664,4537.242229896398,size,usable_after_t_close
all_valid,5d,stock_ret_1d,2026,-0.013079626646055996,-0.011435620261324386,0.12531838263662953,-1.6568410133753093,0.466436327739388,4558.941757156959,price_momentum_reversal,usable_after_t_close
all_valid,5d,stock_rel_industry_ret_1d,2026,-0.014390629463389414,-0.01062567772208312,0.08444481950681107,-2.7052477813682576,0.4353405725567621,4558.941757156959,relative_strength,diagnostic_industry_snapshot
all_valid,5d,stock_ret_5d,2022,-0.02898821849613354,-0.02470004290895974,0.13085833729830423,-3.516579165303181,0.4179030662710188,4556.983184965381,price_momentum_reversal,usable_after_t_close
all_valid,5d,stock_rel_industry_ret_5d,2022,-0.03003966414682791,-0.025637359463798033,0.0944489387129781,-5.048917344128232,0.37833827893175076,4556.983184965381,relative_strength,diagnostic_industry_snapshot
all_valid,5d,industry_ret_5d,2022,-0.004051579676661467,-0.0009024038054222969,0.12806598678351708,-0.5022163578622919,0.4980217606330366,4562.65331355094,industry_strength,diagnostic_industry_snapshot
all_valid,5d,industry_breadth_20d,2018,-0.0044329517903832945,-0.0006134766832915932,0.12712667639473035,-0.5535496566373961,0.49801783944499506,4565.248761149654,industry_breadth,diagnostic_industry_snapshot
all_valid,5d,industry_amount_share_roll20d,2018,-0.010560535521578514,-0.0047303407551775225,0.1542646112780034,-1.0867256127100322,0.48761149653121905,4565.248761149654,industry_crowding,diagnostic_industry_snapshot
all_valid,5d,stock_ret_20d,2007,-0.04399599443730094,-0.044158800379450185,0.14222189826841958,-4.910739965418952,0.3726955655206776,4549.71101145989,price_momentum,usable_after_t_close
all_valid,5d,stock_rel_industry_ret_20d,2007,-0.041362219440414065,-0.04008239107650705,0.10382028753034936,-6.324437096999546,0.330842052815147,4549.71101145989,relative_strength,diagnostic_industry_snapshot
all_valid,5d,industry_ret_20d,2007,-0.011556641168253806,-0.004325969285800756,0.13553003745953787,-1.353618685372484,0.4813153961136024,4572.514200298953,industry_strength,diagnostic_industry_snapshot
all_valid,5d,industry_breadth_60d,1998,-0.011837302072157744,-0.0054707323659588525,0.13483560160242195,-1.393633006624998,0.47897897897897895,4578.961961961962,industry_breadth,diagnostic_industry_snapshot
all_valid,5d,industry_amount_share_roll60d,1998,-0.008332895356048312,-0.002093017841163211,0.15430244557453685,-0.8572813761106212,0.4944944944944945,4578.961961961962,industry_crowding,diagnostic_industry_snapshot
all_valid,5d,stock_ret_60d,1967,-0.04184087576477021,-0.03993146743717643,0.15089880827853097,-4.401647163696572,0.3965429588205389,4529.269954245044,price_momentum,usable_after_t_close
