trade_date,rows,status
20180612,3336,ok
20180613,3339,ok
20180614,3332,ok
20180615,3333,ok
20180619,3312,ok
20180620,3321,ok
20180621,3319,ok
20180622,3320,ok
20180625,3321,ok
20180626,3330,ok
20180627,3341,ok
20180628,3343,ok
20180629,3354,ok
20180702,3366,ok
20180703,3378,ok
20180704,3377,ok
20180705,3385,ok
20180706,3379,ok
20180709,3389,ok
20180710,3398,ok
20180711,3388,ok
20180712,3393,ok
20180713,3396,ok
20180716,3407,ok
20180717,3402,ok
20180718,3406,ok
20180719,3406,ok
20180720,3416,ok
20180723,3413,ok
20180724,3415,ok
20180725,3415,ok
20180726,3415,ok
20180727,3414,ok
20180730,3418,ok
20180731,3410,ok
20180801,3423,ok
20180802,3425,ok
20180803,3434,ok
20180806,3438,ok
20180807,3436,ok
20180808,3433,ok
20180809,3450,ok
20180810,3439,ok
20180813,3438,ok
20180814,3440,ok
20180815,3442,ok
20180816,3447,ok
20180817,3448,ok
20180820,3453,ok
20180821,3456,ok
20180822,3458,ok
20180823,3454,ok
20180824,3457,ok
20180827,3462,ok
20180828,3459,ok
20180829,3459,ok
20180830,3461,ok
20180831,3462,ok
20180903,3473,ok
20180904,3466,ok
20180905,3468,ok
20180906,3469,ok
20180907,3467,ok
20180910,3458,ok
20180911,3465,ok
20180912,3468,ok
20180913,3478,ok
20180914,3474,ok
20180917,3471,ok
20180918,3483,ok
20180919,3477,ok
20180920,3474,ok
20180921,3486,ok
20180925,3487,ok
20180926,3494,ok
20180927,3490,ok
20180928,3493,ok
20181008,3487,ok
20181009,3499,ok
20181010,3504,ok
20181011,3500,ok
20181012,3504,ok
20181015,3506,ok
20181016,3507,ok
20181017,3514,ok
20181018,3504,ok
20181019,3506,ok
20181022,3508,ok
20181023,3508,ok
20181024,3500,ok
20181025,3505,ok
20181026,3502,ok
20181029,3507,ok
20181030,3510,ok
20181031,3506,ok
20181101,3508,ok
20181102,3511,ok
20181105,3518,ok
20181106,3523,ok
20181107,3523,ok
20181108,3533,ok
20181109,3530,ok
20181112,3537,ok
20181113,3539,ok
20181114,3536,ok
20181115,3544,ok
20181116,3548,ok
20181119,3544,ok
20181120,3554,ok
20181121,3549,ok
20181122,3557,ok
20181123,3560,ok
20181126,3554,ok
20181127,3551,ok
20181128,3572,ok
20181129,3565,ok
20181130,3560,ok
20181203,3569,ok
20181204,3574,ok
20181205,3570,ok
20181206,3573,ok
20181207,3568,ok
20181210,3577,ok
20181211,3568,ok
20181212,3577,ok
20181213,3574,ok
20181214,3579,ok
20181217,3575,ok
20181218,3577,ok
20181219,3575,ok
20181220,3581,ok
20181221,3583,ok
20181224,3582,ok
20181225,3573,ok
20181226,3574,ok
20181227,3574,ok
20181228,3581,ok
20190102,3579,ok
20190103,3579,ok
20190104,3579,ok
20190107,3580,ok
20190108,3584,ok
20190109,3583,ok
20190110,3583,ok
20190111,3592,ok
20190114,3587,ok
20190115,3586,ok
20190116,3588,ok
20190117,3590,ok
20190118,3588,ok
20190121,3590,ok
20190122,3583,ok
20190123,3588,ok
20190124,3592,ok
20190125,3594,ok
20190128,3597,ok
20190129,3598,ok
20190130,3600,ok
20190131,3598,ok
20190201,3596,ok
20190211,3594,ok
20190212,3595,ok
20190213,3604,ok
20190214,3603,ok
20190215,3598,ok
20190218,3606,ok
20190219,3599,ok
20190220,3598,ok
20190221,3601,ok
20190222,3603,ok
20190225,3606,ok
20190226,3603,ok
20190227,3598,ok
20190228,3603,ok
20190301,3610,ok
20190304,3604,ok
20190305,3610,ok
20190306,3601,ok
20190307,3605,ok
20190308,3612,ok
20190311,3608,ok
20190312,3611,ok
20190313,3608,ok
20190314,3609,ok
20190315,3607,ok
20190318,3608,ok
20190319,3609,ok
20190320,3611,ok
20190321,3614,ok
20190322,3600,ok
20190325,3596,ok
20190326,3596,ok
20190327,3593,ok
20190328,3593,ok
20190329,3601,ok
20190401,3609,ok
20190402,3610,ok
20190403,3602,ok
20190404,3608,ok
20190408,3609,ok
20190409,3610,ok
20190410,3617,ok
20190411,3613,ok
20190412,3621,ok
20190415,3619,ok
20190416,3623,ok
20190417,3624,ok
20190418,3625,ok
20190419,3625,ok
20190422,3620,ok
20190423,3625,ok
20190424,3627,ok
20190425,3617,ok
