industry,days,first_date,last_date,avg_stock_count,avg_amount_share,p95_amount_share,crowding_high_days,crowding_low_days,avg_ret_20d,avg_ret_60d,latest_crowding_state
旅游景点,2032,20180102,20260522,16.926673228346456,0.0020682579153941763,0.00450125090442268,394,534,0.005548415602254141,0.017055163065943773,crowding_low
港口,2032,20180102,20260522,15.782972440944881,0.0016820346726160245,0.0037380393301761033,394,514,0.002758109727884869,0.008732772872117898,crowding_low
批发业,2032,20180102,20260522,3.6678149606299213,0.00038709870931989806,0.0012032640742852955,394,491,0.009453179964378873,0.029455051907416326,crowding_low
造纸,2032,20180102,20260522,27.820374015748033,0.003823669768869501,0.0072095049212695965,393,554,0.008454926858454588,0.026483866559442203,crowding_low
商贸代理,2032,20180102,20260522,16.16978346456693,0.0014572556826165615,0.0031004837001795287,390,515,0.004848053698616465,0.015383307459423536,crowding_low
医药商业,2032,20180102,20260522,31.10433070866142,0.004725833262698738,0.009165391893643213,386,507,0.0030267088729429535,0.008776761390400034,crowding_low
汽车服务,2032,20180102,20260522,8.787893700787402,0.0008715874425596727,0.001884603178760854,385,548,0.008230883758092746,0.02313475025439533,crowding_normal
染料涂料,2032,20180102,20260522,26.775098425196852,0.0035534146591836868,0.006762851320783564,384,534,0.009941552296860029,0.029774435347855004,crowding_normal
其他商业,2032,20180102,20260522,11.0123031496063,0.0017038042583571308,0.003430684054939929,384,519,0.004789654976344113,0.016364813700212002,crowding_low
电信运营,2032,20180102,20260522,3.5221456692913384,0.002826968315457038,0.006694581674434806,383,503,0.014944930569077374,0.04498035577843952,crowding_normal
环境保护,2032,20180102,20260522,94.83366141732283,0.00891876740408646,0.014282917726153262,382,451,0.0042069435804116375,0.012156165526111942,crowding_low
装修装饰,2032,20180102,20260522,23.98228346456693,0.0019246028098862816,0.003343769187407749,382,536,0.006924417343643479,0.020566251748798354,crowding_normal
种植业,2032,20180102,20260522,17.304133858267715,0.0036352015324508783,0.009866080444366898,379,515,0.013152132851013573,0.041788692195944804,crowding_low
农业综合,2032,20180102,20260522,39.65944881889764,0.009423715145990618,0.02170381288363622,376,546,0.0064164962782665294,0.022236435992981578,crowding_low
百货,2032,20180102,20260522,34.84055118110236,0.003537800109713198,0.007984435405366688,376,562,0.004912682339696539,0.016781202723955977,crowding_normal
家居用品,2032,20180102,20260522,54.44635826771653,0.003911613597854517,0.005985320616364541,375,480,0.006237290423355137,0.02029332858283564,crowding_low
出版业,2032,20180102,20260522,26.000984251968504,0.003857734897368035,0.010739752462396465,375,603,0.007397889996641515,0.02289890831546714,crowding_low
超市连锁,2032,20180102,20260522,7.675688976377953,0.0016526049387392441,0.00407479002518474,373,562,0.0030191727084851977,0.01368935366449244,crowding_low
特种钢,2032,20180102,20260522,9.231791338582678,0.0019275554171174325,0.004249310875494429,371,597,0.006224677164269579,0.020503438176825935,crowding_low
供气供热,2032,20180102,20260522,38.645669291338585,0.0041413598973889946,0.009346634751319098,370,469,0.0070311968682096986,0.02191415872595062,crowding_normal
机场,2032,20180102,20260522,4.926181102362205,0.0015044596359776558,0.0033074886347060225,370,562,-6.752910463935893e-05,0.0003841787130710914,crowding_low
公路,2032,20180102,20260522,2.998031496062992,0.00016916857389830586,0.00045256988040425877,370,593,0.006904898061501229,0.01925160282437979,crowding_high
运输设备,2032,20180102,20260522,38.19734251968504,0.004183830175851587,0.006971659555394629,369,496,0.005943986657326368,0.016870167621314092,crowding_normal
影视音像,2032,20180102,20260522,32.389763779527556,0.0069369533567406804,0.013100180693485546,368,526,0.007004205663986534,0.020631338397239348,crowding_low
家用电器,2032,20180102,20260522,76.30757874015748,0.016880822955430273,0.025163075358442404,366,574,0.010289817636669555,0.03198797526353582,crowding_normal
食品,2032,20180102,20260522,76.77706692913385,0.011825468500995204,0.021100247121336096,366,469,0.011659549330812891,0.03876136196124164,crowding_low
建筑工程,2032,20180102,20260522,104.7367125984252,0.01611048518454646,0.030261491386074996,365,557,0.0066033545100368275,0.020848992485281576,crowding_low
红黄酒,2032,20180102,20260522,8.933070866141732,0.001077442169952398,0.002860862241473365,365,608,0.006041365903361592,0.02004143252404732,crowding_normal
软饮料,2032,20180102,20260522,7.8075787401574805,0.0009503160244491845,0.001956262670795569,365,446,0.010978165106933283,0.03413744758354542,crowding_high
IT设备,2032,20180102,20260522,63.4242125984252,0.020531586248200794,0.034372896442283446,362,557,0.016180573532976385,0.04757491517357784,crowding_normal
饲料,2032,20180102,20260522,18.965551181102363,0.0038237095567902443,0.008832666682191785,359,559,0.00924379840646031,0.029809482697608497,crowding_low
房产服务,2032,20180102,20260522,11.721456692913385,0.0012593652131414896,0.0027369498495013554,357,580,0.005359641503701899,0.015605293601712715,crowding_low
证券,2032,20180102,20260522,46.45866141732284,0.03240200433724883,0.06968070264706629,354,560,0.00673405585040042,0.021129773000132957,crowding_normal
仓储物流,2032,20180102,20260522,40.13336614173228,0.006127402964452704,0.01052737697525051,353,544,0.005542691381735501,0.018000086699914243,crowding_low
普钢,2032,20180102,20260522,24.86958661417323,0.0063480198083669765,0.016675767734135788,351,573,0.003781561644287581,0.013091196395755738,crowding_low
公共交通,2032,20180102,20260522,6.93503937007874,0.0008011670922965525,0.0019412011468584523,351,564,0.008580224115597715,0.025587329126478153,crowding_normal
铁路,2032,20180102,20260522,5.83759842519685,0.0013657616093328347,0.0028507727050734156,342,559,0.0006964756845325757,0.0031317326666018266,crowding_low
其他建材,2032,20180102,20260522,25.150590551181104,0.0034027429935441686,0.005642960432643201,337,590,0.011860518666500838,0.037061228524015645,crowding_low
白酒,2032,20180102,20260522,19.7746062992126,0.02070156317802779,0.04033571639874731,336,636,0.009976105911360288,0.037636960845710346,crowding_normal
啤酒,2032,20180102,20260522,7.413385826771654,0.001444421354653845,0.0028926118310079736,334,534,0.010359349727060782,0.0330246861719017,crowding_low
水务,2032,20180102,20260522,13.559055118110237,0.0011231150636163375,0.002271397818957657,332,553,0.005141662629292441,0.01565096075664904,crowding_normal
园区开发,2032,20180102,20260522,13.709645669291339,0.0026530522763608963,0.007671363842526875,331,557,0.0035569986250008866,0.01025565702257154,crowding_normal
银行,2032,20180102,20260522,37.95620078740158,0.02196499343546014,0.04030995913593636,328,557,0.003195791941674808,0.009314167693264399,crowding_low
乳制品,2032,20180102,20260522,17.57972440944882,0.003918595919813434,0.007521206417939289,328,597,0.006100906595657967,0.020299430227242017,crowding_low
空运,2032,20180102,20260522,7.916338582677166,0.0027505615874411273,0.0062152128235075845,328,641,0.0016286963188814718,0.0055685359974232,crowding_low
电器连锁,2032,20180102,20260522,1.9916338582677164,0.0006339928211793046,0.0019863815152021277,319,712,-0.00042751272865763435,-0.0008520527166836086,crowding_low
石油加工,2032,20180102,20260522,12.852854330708661,0.002658210110080852,0.005276794452134519,318,608,0.006549038825383563,0.019777661454513824,crowding_normal
区域地产,2032,20180102,20260522,43.57283464566929,0.0057649230497675095,0.012276825429109963,313,585,0.004945834421634842,0.015097900077236213,crowding_normal
中成药,2032,20180102,20260522,65.4375,0.0128711317148551,0.026710431803882412,293,575,0.006634994675799403,0.0202136336984101,crowding_low
保险,2032,20180102,20260522,4.895669291338582,0.008745474706606129,0.021455583324651188,291,607,0.006311130735282795,0.022230182480051357,crowding_low
全国地产,2032,20180102,20260522,25.91043307086614,0.008467507602550824,0.018664754366522804,283,689,0.00111834494335828,0.0030155643539404135,crowding_low
水泥,2032,20180102,20260522,22.138779527559056,0.005493775336805166,0.013387248819447608,276,676,0.003625852261192945,0.01145674797748173,crowding_low
UNKNOWN,2021,20180102,20260522,132.40722414646214,0.022380352456178653,0.057397542764247765,192,1018,-0.061500935288578314,-0.14545277981019084,crowding_low
