trade_date,experiment_id,filter_id,ref_method,capital,order_notional,threshold,candidates_before_filter,candidates_after_filter,filtered_removed_count,selected_count,below_top10
20260508,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2934,2934,0,10,False
20260511,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2926,2926,0,10,False
20260512,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2952,2952,0,10,False
20260513,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2921,2921,0,10,False
20260514,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2948,2948,0,10,False
20260515,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2949,2949,0,10,False
20260518,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2923,2923,0,10,False
20260519,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2922,2922,0,10,False
20260520,F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F1_order_lte_10pct_ref_amount,A_tail,100000,10000.0,0.1,2935,2935,0,10,False
20260224,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2893,2893,0,10,False
20260225,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2933,2933,0,10,False
20260226,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2936,2936,0,10,False
20260227,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2937,2937,0,10,False
20260302,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2911,2911,0,10,False
20260303,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2872,2872,0,10,False
20260304,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2951,2951,0,10,False
20260305,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2938,2938,0,10,False
20260306,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2939,2939,0,10,False
20260309,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2958,2958,0,10,False
20260310,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2948,2948,0,10,False
20260311,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2959,2959,0,10,False
