ts_code,trade_date,split,target_return,extreme_side,primary_attribution,dirty_event_removed_by_event_clean,from_repaired_daily_sample,entry_daily_source,exit_daily_source,minute_daily_close_mismatch,daily_minute_close_diff_pct,exit_bar_amount,exit_amount_zero,exit_amount_lt_10k,entry_bar_amount,entry_amount_lt_10k,suspect_resume_gap,prev_trade_gap_calendar_days,exright_or_adjustment_evidence,is_new_stock_180d,is_subnew_365d,special_limit_board,is_st,name,industry,market,list_date
301031.SZ,20260120,train,0.20329383488778574,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,79476150.0,False,False,8824956.0,False,False,1,unknown,False,False,True,False,中熔电气,电气设备,创业板,20210715
300921.SZ,20250616,train,-0.30603433792684287,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,26569968.0,False,False,10799985.0,False,False,3,unknown,False,False,True,False,南凌科技,互联网,创业板,20201222
300708.SZ,20250814,train,-0.30661735364547504,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,11007992.0,False,False,6879232.0,False,False,1,unknown,False,False,True,False,聚灿光电,半导体,创业板,20171016
300753.SZ,20241204,train,0.20076370700828572,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,3527374.0,False,False,990834.0,False,False,1,unknown,False,False,True,False,爱朋医疗,医疗保健,创业板,20181213
300753.SZ,20250616,train,0.20112448942191086,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,26134490.0,False,False,11857382.0,False,False,3,unknown,False,False,True,False,爱朋医疗,医疗保健,创业板,20181213
301230.SZ,20240620,train,-0.24703785310984738,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,8467852.0,False,False,3940116.0,False,False,1,unknown,False,False,True,False,泓博医药,生物制药,创业板,20221101
301230.SZ,20260112,train,0.20552333800515443,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,24606682.0,False,False,61863980.0,False,False,3,unknown,False,False,True,False,泓博医药,生物制药,创业板,20221101
603162.SH,20260519,legacy_validation,-0.31955401242733117,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,13641880.0,False,False,7276724.0,False,False,1,unknown,False,False,False,False,海通发展,水运,主板,20230329
688692.SH,20250522,train,-0.3328882267061831,negative,subnew_stock_365d,False,False,raw_daily,raw_daily,False,0.0,5044877.0,False,False,2306101.0,False,False,1,unknown,False,True,True,False,达梦数据,软件服务,科创板,20240612
002987.SZ,20250515,train,-0.3024981630542969,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,8606444.0,False,False,11391477.0,False,False,1,unknown,False,False,False,False,京北方,软件服务,主板,20200507
688049.SH,20240620,train,-0.20682349253517252,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,5432930.0,False,False,3900930.0,False,False,1,unknown,False,False,True,False,炬芯科技,半导体,科创板,20211129
300801.SZ,20241107,train,0.2035532519895582,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,24486106.0,False,False,3938054.0,False,False,1,unknown,False,False,True,False,泰和科技,化工原料,创业板,20191128
