scenario_id,cost_case,capital,participation_cap,slippage_bp,include_commission_tax,include_impact,partial_fill,zero_fill,enforce_limit_suspend,cumulative_return,avg_daily_return,trade_win_rate,daily_win_rate,max_drawdown,profit_factor,auc,total_trades,trading_days,avg_daily_trades,avg_fill_ratio,partial_fill_count,zero_fill_count,max_profit_day,max_profit_day_return,max_loss_day,max_loss_day_return,cum_return_drop_top1_profit_day,cum_return_drop_top3_profit_days,cum_return_drop_top5_profit_days,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing,drawdown_start,drawdown_end,drawdown_days,single_ticket_participation_median,single_ticket_participation_p90,single_ticket_participation_p99
capacity_100000_part_500bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.05,15,True,True,True,True,True,-0.07099167879969548,-0.001181889107089064,0.4224137931034483,0.39655172413793105,-0.0930338318688918,0.8796158641012154,0.5274665946821433,580,58,10.0,0.9980434051724139,4,0,20260407,0.02907503516478922,20260306,-0.035924936813598596,-0.09723947287134527,-0.13609470210248498,-0.16797540709867986,576,4,0,0,0,20260225,20260519,56,0.005080519027543372,0.015271386012349815,0.043954333911475366
capacity_100000_part_500bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.05,20,True,True,True,True,True,-0.12325461956136563,-0.0021785074584987248,0.41379310344827586,0.3793103448275862,-0.14151164953784157,0.7903176382776882,0.5274665946821433,580,58,10.0,0.9980434051724139,4,0,20260407,0.02804623781028768,20260306,-0.0368887544417259,-0.14717320272862477,-0.18224498167727332,-0.21084547577497448,576,4,0,0,0,20260225,20260519,56,0.005080519027543372,0.015271386012349815,0.043954333911475366
capacity_100000_part_1000bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.1,5,True,True,True,True,True,0.046701323799543504,0.0008744667068273209,0.44655172413793104,0.5172413793103449,-0.06326784727958834,1.1004614200892406,0.5274665946821433,580,58,10.0,0.9997220689655172,1,0,20260407,0.031135713578382095,20260306,-0.03399441258802827,0.015095598005371524,-0.03247339186477394,-0.07189879826479872,579,1,0,0,0,20260305,20260320,12,0.005080519027543372,0.015271386012349815,0.043954333911475366
capacity_100000_part_1000bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.1,10,True,True,True,True,True,-0.012278871782538503,-0.0001258817369411508,0.43448275862068964,0.43103448275862066,-0.07541286750846843,0.986399477178976,0.5274665946821433,580,58,10.0,0.9997220689655172,1,0,20260407,0.030104859907573923,20260306,-0.03496015667654036,-0.04114506526443862,-0.08424840989023852,-0.11980498921714022,579,1,0,0,0,20260225,20260320,18,0.005080519027543372,0.015271386012349815,0.043954333911475366
capacity_100000_part_1000bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.1,15,True,True,True,True,True,-0.06793568487584523,-0.0011252316709528573,0.4224137931034483,0.39655172413793105,-0.09129013014948628,0.8853969763642758,0.5274665946821433,580,58,10.0,0.9997220689655172,1,0,20260407,0.02907503516478922,20260306,-0.035924936813598596,-0.0942698216608665,-0.13325286604901865,-0.16523844334671323,579,1,0,0,0,20260225,20260519,56,0.005080519027543372,0.015271386012349815,0.043954333911475366
capacity_100000_part_1000bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.1,20,True,True,True,True,True,-0.12045640103365718,-0.002123584589473492,0.41379310344827586,0.3793103448275862,-0.13991783362390897,0.7956267950529458,0.5274665946821433,580,58,10.0,0.9997220689655172,1,0,20260407,0.02804623781028768,20260306,-0.0368887544417259,-0.14445132269561323,-0.17963503665281044,-0.20832681202130077,579,1,0,0,0,20260225,20260519,56,0.005080519027543372,0.015271386012349815,0.043954333911475366
capacity_300000_part_100bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.01,5,True,True,True,True,True,-0.022660336951164983,-0.0003503889274675799,0.44482758620689655,0.46551724137931033,-0.05118798457136331,0.9485511302455182,0.5274665946821433,580,58,10.0,0.6606995924936591,367,0,20260304,0.02000245791269577,20260320,-0.023481440346038534,-0.04182616868508804,-0.07717155457450608,-0.10748797706982971,213,367,0,0,0,20260224,20260320,19,0.01,0.01,0.010000000000000002
capacity_300000_part_100bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.01,10,True,True,True,True,True,-0.059407050398698646,-0.0010105711771379803,0.43275862068965515,0.4482758620689655,-0.07864064676693949,0.8595941766311659,0.5274665946821433,580,58,10.0,0.6606995924936591,367,0,20260304,0.01904133648875726,20260320,-0.024174487466897362,-0.07698253650608533,-0.10961837709601918,-0.1375478623605595,213,367,0,0,0,20260224,20260519,57,0.01,0.01,0.010000000000000002
capacity_300000_part_100bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.01,15,True,True,True,True,True,-0.09476272083771387,-0.0016700944666895618,0.4224137931034483,0.39655172413793105,-0.11192672148243099,0.7799805782513071,0.5274665946821433,580,58,10.0,0.6606995924936591,367,0,20260304,0.018081174400260604,20260320,-0.024866842848320546,-0.11083978181253473,-0.14091568967727952,-0.16658718748846413,213,367,0,0,0,20260224,20260519,57,0.01,0.01,0.010000000000000002
capacity_300000_part_100bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.01,20,True,True,True,True,True,-0.128780372538849,-0.002328959782240404,0.41206896551724137,0.39655172413793105,-0.1440016004073288,0.7084157909287865,0.5274665946821433,580,58,10.0,0.6606995924936591,367,0,20260304,0.017121970211593365,20260320,-0.025558507525442607,-0.14344626015706852,-0.17110453250712654,-0.19464088577605743,213,367,0,0,0,20260224,20260519,57,0.01,0.01,0.010000000000000002
capacity_300000_part_300bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.03,5,True,True,True,True,True,0.0019286777138165512,0.00011447969390346134,0.44310344827586207,0.4827586206896552,-0.06578631871923579,1.013327077138863,0.5274665946821433,580,58,10.0,0.9238565982520663,115,0,20260407,0.029494924430241515,20260306,-0.0338047686887913,-0.026776476563671436,-0.07170170960275624,-0.10837211453475293,465,115,0,0,0,20260225,20260320,18,0.015241557082630116,0.03,0.030000000000000002
capacity_300000_part_300bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.03,10,True,True,True,True,True,-0.0503616044317623,-0.000809259080401562,0.43275862068965515,0.41379310344827586,-0.08060352971908935,0.9112538274734446,0.5274665946821433,580,58,10.0,0.9238565982520663,115,0,20260407,0.028513781735262866,20260306,-0.0347624186626857,-0.07668870127724525,-0.11757335203847774,-0.1507805510413961,465,115,0,0,0,20260225,20260320,18,0.015241557082630116,0.03,0.030000000000000002
