trade_date,universe_id,v7_top10_count,retained_count,removed_count,retention_ratio,removed_codes
20260306,U3_internal_roll_top2000_60d,10,3,7,0.3,"300508.SZ,301043.SZ,688081.SH,688291.SH,688651.SH,688682.SH,688716.SH"
20260309,U3_internal_roll_top2000_60d,10,2,8,0.2,"001221.SZ,002910.SZ,301043.SZ,301189.SZ,600429.SH,688560.SH,688625.SH,688719.SH"
20260310,U3_internal_roll_top2000_60d,10,2,8,0.2,"002363.SZ,002825.SZ,002893.SZ,300546.SZ,300701.SZ,301092.SZ,603680.SH,605167.SH"
20260311,U3_internal_roll_top2000_60d,10,9,1,0.9,601369.SH
20260312,U3_internal_roll_top2000_60d,10,6,4,0.6,"001288.SZ,001359.SZ,002853.SZ,301161.SZ"
20260313,U3_internal_roll_top2000_60d,10,2,8,0.2,"300600.SZ,300667.SZ,300818.SZ,301209.SZ,301286.SZ,600076.SH,688291.SH,688478.SH"
20260316,U3_internal_roll_top2000_60d,10,7,3,0.7,"600710.SH,603616.SH,688291.SH"
20260317,U3_internal_roll_top2000_60d,10,0,10,0.0,"300293.SZ,300591.SZ,300605.SZ,301161.SZ,301380.SZ,688159.SH,688260.SH,688291.SH,688448.SH,688478.SH"
20260318,U3_internal_roll_top2000_60d,10,3,7,0.3,"001288.SZ,001360.SZ,301161.SZ,688291.SH,688448.SH,688560.SH,688767.SH"
20260319,U3_internal_roll_top2000_60d,10,1,9,0.1,"002043.SZ,300582.SZ,300909.SZ,301286.SZ,301321.SZ,301387.SZ,301398.SZ,301538.SZ,688607.SH"
20260320,U3_internal_roll_top2000_60d,10,0,10,0.0,"001316.SZ,002295.SZ,002363.SZ,002976.SZ,300521.SZ,301319.SZ,301321.SZ,600191.SH,688716.SH,688767.SH"
20260323,U3_internal_roll_top2000_60d,10,0,10,0.0,"001318.SZ,002098.SZ,002462.SZ,002679.SZ,003033.SZ,301019.SZ,603344.SH,605179.SH,605188.SH,605339.SH"
