rule_id,split,roundtrip_cost_bps,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
low_stock_amount_share_in_industry,research_holdout,200,328,6560,20.0,-0.9889028249909642,-0.012921795182923723,-0.011504228328209838,0.3628048780487805,0.3309451219512195,0.37116553227495214,0.5179897246432952,-0.9925807327633742,-0.012921795182923721,0.14896976759839975,-0.16827261952460632
low_stock_ret_60d,research_holdout,0,328,6560,20.0,17.706427124495782,0.009926589919772548,0.010599823751003247,0.600609756097561,0.504420731707317,1.831860814863715,1.423634554004225,-0.5692227802893268,0.009926589919772546,0.1899077288623758,-0.1500717704511215
low_stock_ret_60d,research_holdout,20,328,6560,20.0,8.75166454575686,0.007926589919772546,0.008599823751003245,0.5884146341463414,0.4923780487804878,1.6219847098157831,1.3244175622650152,-0.58103072798776,0.007926589919772544,0.1879077288623758,-0.1520717704511215
low_stock_ret_60d,research_holdout,40,328,6560,20.0,4.076946599097325,0.005926589919772544,0.006599823751003245,0.5640243902439024,0.47789634146341464,1.4361998894665262,1.2327524807540882,-0.5925393176738564,0.005926589919772544,0.1859077288623758,-0.1540717704511215
low_stock_ret_60d,research_holdout,60,328,6560,20.0,1.6397336870277779,0.003926589919772545,0.004599823751003246,0.5396341463414634,0.4641768292682927,1.2710111697140236,1.148048650381341,-0.607986447930111,0.003926589919772546,0.1839077288623758,-0.1560717704511215
low_stock_ret_60d,research_holdout,100,328,6560,20.0,-0.2891678128567331,-7.341008022745446e-05,0.0005998237510032444,0.5060975609756098,0.4344512195121951,0.995518699555466,0.9974444342678438,-0.7540343492622913,-7.341008022745507e-05,0.1799077288623758,-0.1600717704511215
low_stock_ret_60d,research_holdout,150,328,6560,20.0,-0.8631327704867549,-0.0050734100802274544,-0.004400176248996754,0.4573170731707317,0.39679878048780487,0.7325730067285923,0.8396752785682281,-0.9372881832565324,-0.0050734100802274544,0.1749077288623758,-0.1650717704511215
low_stock_ret_60d,research_holdout,200,328,6560,20.0,-0.9738655627313327,-0.010073410080227455,-0.009400176248996757,0.4115853658536585,0.3647865853658537,0.5375181880623006,0.7100373872151253,-0.9843489578225414,-0.010073410080227455,0.16990772886237582,-0.17007177045112148
combo_low_liquidity_weak_momentum,train,0,1155,23100,20.0,17.705619506465194,0.0032004379977607447,0.0036799483772358534,0.5506493506493506,0.49203463203463205,1.2684135959648515,1.1805814908617844,-0.9141151551298855,0.0032004379977607447,0.12225185130480395,-0.16498422061216111
combo_low_liquidity_weak_momentum,train,20,1155,23100,20.0,0.8604654123101876,0.0012004379977607427,0.0016799483772358518,0.5255411255411255,0.4802597402597403,1.0934497182708698,1.0640342196194372,-0.925878448329935,0.0012004379977607431,0.12025185130480395,-0.16698422061216112
combo_low_liquidity_weak_momentum,train,40,1155,23100,20.0,-0.8158119747099878,-0.0007995620022392576,-0.00032005162276414897,0.49437229437229435,0.4607359307359307,0.9421541331822785,0.9596310179638204,-0.9399988858684205,-0.0007995620022392576,0.11825185130480395,-0.16898422061216112
combo_low_liquidity_weak_momentum,train,60,1155,23100,20.0,-0.9818497177364718,-0.002799562002239256,-0.0023200516227641454,0.4683982683982684,0.43982683982683984,0.81160821221561,0.8660788664423252,-0.9895320484902677,-0.0027995620022392555,0.11625185130480395,-0.17098422061216112
