rule_id,split,year,roundtrip_cost_bps,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
low_log_total_mv,train,2018,0,243,4860,20.0,-0.31908676457083507,-0.0002122527516506168,0.004616531926339795,0.5390946502057613,0.49650205761316873,0.989163474720865,0.9910499500111177,-0.7721855652079744,-0.00021225275165061763,0.1597796153510917,-0.1755705309859769
low_log_total_mv,train,2018,40,243,4860,20.0,-0.7436440430051612,-0.004212252751650619,0.0006165319263397936,0.5020576131687243,0.4699588477366255,0.8039742211235174,0.8365764811583555,-0.8930819160359038,-0.004212252751650619,0.1557796153510917,-0.17957053098597692
low_log_total_mv,train,2019,0,244,4880,20.0,8.606135226037976,0.01011273691281571,0.008842072857549836,0.6188524590163934,0.5778688524590164,1.9252027250629407,1.6571173479070949,-0.5166562487414209,0.010112736912815713,0.1078822994991818,-0.12024510375051183
low_log_total_mv,train,2019,40,244,4880,20.0,2.6426370622067594,0.006112736912815711,0.0048420728575498334,0.5901639344262295,0.5360655737704918,1.4889764181703111,1.3564554342377124,-0.5370598690389811,0.006112736912815711,0.10388229949918179,-0.12424510375051183
low_log_total_mv,train,2020,0,243,4860,20.0,0.0932400983841164,0.0013404308244143394,0.002179712851371529,0.51440329218107,0.4810699588477366,1.0828144548977963,1.0616724813874094,-0.5858187949136022,0.00134043082441434,0.17135373101883547,-0.17135470756251062
low_log_total_mv,train,2020,40,243,4860,20.0,-0.5874554715690492,-0.002659569175585663,-0.001820287148628472,0.4773662551440329,0.4510288065843621,0.8537483474083627,0.888571296922372,-0.7005559325054007,-0.002659569175585663,0.16735373101883547,-0.17535470756251062
low_log_total_mv,train,2021,0,243,4860,20.0,7.747728604426575,0.009980496579047506,0.01168144269263482,0.6419753086419753,0.5473251028806584,1.7928932649487994,1.5534543680335346,-0.5082341472877039,0.009980496579047506,0.19572942169498475,-0.13862084864651278
low_log_total_mv,train,2021,40,243,4860,20.0,2.3285594779246224,0.005980496579047504,0.0076814426926348186,0.5967078189300411,0.5199588477366255,1.4236974719092195,1.30070189504834,-0.6098646820779697,0.0059804965790475045,0.19172942169498475,-0.14262084864651278
low_log_total_mv,train,2022,0,242,4840,20.0,-0.9153564367797596,-0.009473215992053205,-0.008990003617292786,0.38016528925619836,0.3702479338842975,0.4822723112881279,0.5827513516878642,-0.918888724178765,-0.009473215992053207,0.14733131629150203,-0.13596188725898956
low_log_total_mv,train,2022,40,242,4840,20.0,-0.9682509044047733,-0.013473215992053209,-0.012990003617292786,0.30165289256198347,0.3322314049586777,0.3569100862503485,0.46703628515642437,-0.9678886525700534,-0.013473215992053209,0.14333131629150203,-0.13996188725898956
low_log_total_mv,validation,2023,0,242,4840,20.0,98.19748535524802,0.022886495065191012,-0.003756415053542422,0.44214876033057854,0.4636363636363636,3.5582393151616905,2.810289495756371,-0.5349647089466141,0.022886495065191012,0.8360219767519196,-0.18673535680635317
low_log_total_mv,validation,2023,40,242,4840,20.0,37.19212106677948,0.018886495065191012,-0.007756415053542423,0.384297520661157,0.41756198347107437,2.6726158488539977,2.2708935219482136,-0.7710493473869899,0.018886495065191012,0.8320219767519197,-0.19073535680635317
low_log_total_mv,validation,2024,0,242,4840,20.0,21.570598960040055,0.01812580252123145,-0.00105848746973759,0.4834710743801653,0.4650826446280992,1.6743673685001212,1.5479877157910544,-0.8023779366296366,0.01812580252123145,0.6616957575609111,-0.1873332405624371
low_log_total_mv,validation,2024,40,242,4840,20.0,7.62487942210576,0.014125802521231448,-0.005058487469737591,0.4793388429752066,0.4433884297520661,1.4877990054969243,1.4007523882385233,-0.8732142817818528,0.014125802521231447,0.6576957575609111,-0.1913332405624371
low_log_total_mv,research_holdout,2025,0,243,4860,20.0,37.018621278167586,0.016644607459376296,0.009497823178844367,0.5802469135802469,0.5421810699588477,2.2534302749223207,1.8591111504464735,-0.6827030775757521,0.0166446074593763,0.2481282858667948,-0.14852931385738127
low_log_total_mv,research_holdout,2025,40,243,4860,20.0,13.54387970653843,0.012644607459376296,0.005497823178844365,0.5473251028806584,0.5127572016460905,1.8402388980796354,1.5946819597626158,-0.7500094314265865,0.012644607459376296,0.2441282858667948,-0.15252931385738128
low_log_total_mv,research_holdout,2026,0,85,1700,20.0,-0.5331287374124267,-0.008183039892420448,-0.010326604360425113,0.4235294117647059,0.4011764705882353,0.5801802705485418,0.6657091881109869,-0.7063791699339955,-0.008183039892420446,0.092221929414578,-0.12036672805204476
low_log_total_mv,research_holdout,2026,40,85,1700,20.0,-0.6690258914725281,-0.01218303989242045,-0.014326604360425113,0.38823529411764707,0.36470588235294116,0.4430068457708394,0.5477444261946354,-0.781108830661998,-0.01218303989242045,0.088221929414578,-0.12436672805204477
low_stock_amount_share_in_industry,train,2018,0,243,4860,20.0,-0.09658871336950425,0.00034795476316341824,0.001080984359445436,0.5308641975308642,0.494238683127572,1.0245175154463197,1.018040294689142,-0.7129592586550305,0.00034795476316341716,0.1160531070483922,-0.15604899731638416
low_stock_amount_share_in_industry,train,2018,40,243,4860,20.0,-0.6592830606853779,-0.0036520452368365847,-0.002919015640554566,0.4691358024691358,0.45740740740740743,0.7748036234643051,0.8291181997899023,-0.835397749752447,-0.003652045236836585,0.11205310704839219,-0.16004899731638417
low_stock_amount_share_in_industry,train,2019,0,244,4880,20.0,7.007869624095459,0.009145926108987014,0.011764192087186855,0.6516393442622951,0.5645491803278688,1.9744901448479921,1.6472220063897098,-0.47390739020713557,0.009145926108987014,0.08885868749699777,-0.11895796724554768
low_stock_amount_share_in_industry,train,2019,40,244,4880,20.0,2.0350118533580375,0.0051459261089870124,0.007764192087186853,0.6229508196721312,0.5260245901639344,1.475504032647297,1.3229433961650556,-0.6146850514313709,0.005145926108987012,0.08485868749699776,-0.12295796724554768
low_stock_amount_share_in_industry,train,2020,0,243,4860,20.0,2.621055460169377,0.005929796027416721,0.00459834407501693,0.5555555555555556,0.5080246913580246,1.583710526446304,1.3618107452504629,-0.4774467564065724,0.005929796027416721,0.10889826669532379,-0.1460879317335853
low_stock_amount_share_in_industry,train,2020,40,243,4860,20.0,0.37349568055016547,0.0019297960274167188,0.0005983440750169288,0.5102880658436214,0.4748971193415638,1.1603924465727573,1.104802115550863,-0.4993660941063026,0.001929796027416719,0.10489826669532379,-0.1500879317335853
low_stock_amount_share_in_industry,train,2021,0,243,4860,20.0,20.606339888005,0.013778458118070701,0.006230113348569577,0.5967078189300411,0.554320987654321,2.6041781171211618,1.9374059577704723,-0.3789481858622942,0.013778458118070701,0.2977717981103513,-0.08944222040305101
low_stock_amount_share_in_industry,train,2021,40,243,4860,20.0,7.251150373563929,0.0097784581180707,0.002230113348569575,0.551440329218107,0.518312757201646,1.9500586440615573,1.5910119738396395,-0.4437516108296381,0.009778458118070698,0.2937717981103513,-0.09344222040305102
low_stock_amount_share_in_industry,train,2022,0,242,4840,20.0,-0.8563562263108957,-0.00754705335582689,-0.006858684828974973,0.384297520661157,0.39731404958677685,0.4789964012162438,0.572490856987751,-0.8769557963974679,-0.00754705335582689,0.11333791935582962,-0.12936880172862866
low_stock_amount_share_in_industry,train,2022,40,242,4840,20.0,-0.9459920905316422,-0.011547053355826892,-0.010858684828974976,0.32231404958677684,0.3504132231404959,0.32409608224005954,0.42645158002060535,-0.9481518400140342,-0.011547053355826892,0.10933791935582962,-0.13336880172862867
low_stock_amount_share_in_industry,validation,2023,0,242,4840,20.0,6.786419418308094,0.010205694487838037,-0.0025128316939409647,0.4214876033057851,0.4526859504132231,2.599462859466246,2.0519966270652783,-0.4068529740634117,0.010205694487838037,0.709650002325744,-0.0515889302268663
low_stock_amount_share_in_industry,validation,2023,40,242,4840,20.0,1.9723826514042115,0.0062056944878380324,-0.006512831693940966,0.3512396694214876,0.3896694214876033,1.701407242496339,1.517591789740322,-0.7088528729642206,0.006205694487838034,0.705650002325744,-0.055588930226866305
low_stock_amount_share_in_industry,validation,2024,0,242,4840,20.0,1.7150927301031809,0.006634464978052537,-0.0037502990624307926,0.47520661157024796,0.45929752066115703,1.3346725482690625,1.2690114125207466,-0.7486658446946279,0.006634464978052537,0.5548869843980596,-0.1896592183056902
low_stock_amount_share_in_industry,validation,2024,40,242,4840,20.0,0.031142388166539803,0.0026344649780525335,-0.007750299062430793,0.44214876033057854,0.4336776859504132,1.1197111883032993,1.0980283307165184,-0.8016147389900923,0.0026344649780525344,0.5508869843980596,-0.19365921830569022
low_stock_amount_share_in_industry,research_holdout,2025,0,243,4860,20.0,10.109038777671612,0.010620231712658907,0.012803495142470372,0.6790123456790124,0.571604938271605,2.299641809868365,1.7788705679447898,-0.5727220572615226,0.010620231712658907,0.16896976759839974,-0.14827261952460632
low_stock_amount_share_in_industry,research_holdout,2025,40,243,4860,20.0,3.2324808443551305,0.006620231712658904,0.008803495142470372,0.6131687242798354,0.5308641975308642,1.6910239877398137,1.4291655081031012,-0.5990932451617998,0.006620231712658905,0.16496976759839974,-0.15227261952460633
low_stock_amount_share_in_industry,research_holdout,2026,0,85,1700,20.0,-0.2739053602090713,-0.0030478250138246395,-0.00362117962151417,0.43529411764705883,0.44529411764705884,0.8145399540510475,0.8537437589568939,-0.578539501872394,-0.0030478250138246403,0.0702358860035822,-0.12710651884385926
low_stock_amount_share_in_industry,research_holdout,2026,40,85,1700,20.0,-0.484332527741277,-0.007047825013824642,-0.0076211796215141705,0.4,0.40941176470588236,0.6238521109381305,0.6952026048227928,-0.6772614353511779,-0.007047825013824642,0.0662358860035822,-0.13110651884385927
low_stock_ret_60d,train,2018,0,183,3660,20.0,-0.7874934013086117,-0.006675128837529521,-0.00766519870602701,0.41530054644808745,0.42295081967213116,0.7450173325419072,0.808086295403261,-0.8204600403705022,-0.00667512883752952,0.1856192657040832,-0.1571672553851948
low_stock_ret_60d,train,2018,40,183,3660,20.0,-0.8987159321003462,-0.010675128837529526,-0.011665198706027013,0.3825136612021858,0.4046448087431694,0.6264470056103842,0.712393286371233,-0.9039495614036501,-0.010675128837529524,0.18161926570408318,-0.1611672553851948
low_stock_ret_60d,train,2019,0,244,4880,20.0,10.581543789811494,0.011686749329406944,0.007178391499963854,0.569672131147541,0.49385245901639346,1.7088527941469573,1.4822926265401795,-0.6641132281276125,0.011686749329406944,0.15994966406469388,-0.15917552786403227
low_stock_ret_60d,train,2019,40,244,4880,20.0,3.391621547756653,0.007686749329406942,0.0031783914999638516,0.5286885245901639,0.4692622950819672,1.420848533206206,1.292311346399854,-0.7641543382755588,0.007686749329406942,0.15594966406469388,-0.16317552786403228
low_stock_ret_60d,train,2020,0,243,4860,20.0,-0.5794770664916875,-0.0022201867190676495,-0.009362647525793633,0.41975308641975306,0.4323045267489712,0.8947168066383397,0.9283699610104691,-0.7129107452638277,-0.0022201867190676503,0.1452916706771536,-0.1960940026626236
low_stock_ret_60d,train,2020,40,243,4860,20.0,-0.8419780722959198,-0.006220186719067652,-0.013362647525793633,0.40329218106995884,0.40987654320987654,0.7345470166979413,0.8132250843367476,-0.8503357735643355,-0.0062201867190676535,0.1412916706771536,-0.2000940026626236
low_stock_ret_60d,train,2021,0,243,4860,20.0,28.07092098179349,0.015202190286028965,0.012672342965981954,0.6378600823045267,0.5109053497942386,2.3848180091877724,1.630433096333986,-0.5588325859029878,0.015202190286028969,0.2851839439855045,-0.10298393686249582
low_stock_ret_60d,train,2021,40,243,4860,20.0,10.11267151847157,0.011202190286028962,0.00867234296598195,0.5925925925925926,0.4853909465020576,1.897740337083632,1.42892982444016,-0.5826552223610815,0.011202190286028962,0.2811839439855045,-0.10698393686249583
low_stock_ret_60d,train,2022,0,242,4840,20.0,-0.4855468502349075,-0.0013996236347251067,-0.005482522697034706,0.45454545454545453,0.44111570247933884,0.9308215077957468,0.9539853617931618,-0.850388833980483,-0.001399623634725106,0.1424666827823391,-0.2072992986064947
low_stock_ret_60d,train,2022,40,242,4840,20.0,-0.8057481007251956,-0.005399623634725109,-0.009482522697034708,0.4214876033057851,0.4179752066115702,0.7597760893604613,0.8348603811648884,-0.8879197501044059,-0.005399623634725109,0.1384666827823391,-0.2112992986064947
low_stock_ret_60d,validation,2023,0,242,4840,20.0,-0.05359772345053637,0.0004375814921635466,-0.002045139154802042,0.4628099173553719,0.4305785123966942,1.031615841878584,1.017980365454493,-0.720227756524249,0.00043758149216354666,0.15926500749065536,-0.0939028044579606
low_stock_ret_60d,validation,2023,40,242,4840,20.0,-0.6415225624810179,-0.0035624185078364564,-0.006045139154802044,0.4132231404958678,0.40578512396694216,0.7780177550016754,0.8663847550031857,-0.8586679678686745,-0.0035624185078364564,0.15526500749065536,-0.09790280445796061
low_stock_ret_60d,validation,2024,0,242,4840,20.0,3.1597660106553542,0.00958616763911094,-0.008196347731583767,0.4462809917355372,0.46053719008264465,1.4032896699187476,1.2800509185361568,-0.85589245035446,0.009586167639110943,0.5038933438839511,-0.23264626820832907
