rule_id,split,remove_top_winning_days,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
low_log_amount,research_holdout,3,325,6500,20.0,3.046301224777947,0.004921496665411522,0.00585018552435253,0.6030769230769231,0.534,1.4566631386129067,1.3302738363423803,-0.6885339004425628,0.004921496665411522,0.10966091363160797,-0.12986544515185666
low_log_amount,research_holdout,5,323,6460,20.0,2.2864778045601977,0.004273375174451297,0.005544169576723224,0.6006191950464397,0.5311145510835913,1.394084130152606,1.2850146344250448,-0.6885339004425629,0.004273375174451298,0.10877924295463863,-0.12986544515185666
low_log_amount,research_holdout,10,318,6360,20.0,1.087704863768939,0.002846162104195727,0.005403231866678085,0.5943396226415094,0.52437106918239,1.258405737867258,1.1869257980517196,-0.6885339004425626,0.002846162104195727,0.08118759574146037,-0.12986544515185666
low_log_amount,research_holdout,20,308,6160,20.0,0.0915276568790826,0.0007620421099792281,0.004565717934486763,0.5811688311688312,0.5116883116883116,1.0670108440769293,1.0486170417529728,-0.7202425814493091,0.0007620421099792274,0.053528780568685805,-0.12986544515185666
low_log_total_mv,research_holdout,0,328,6560,20.0,16.74980171797688,0.010210613481014336,0.0040490480389946655,0.5396341463414634,0.505640243902439,1.6857729438322266,1.4933365648232861,-0.8212278449184185,0.010210613481014336,0.2481282858667948,-0.14852931385738127
low_log_total_mv,research_holdout,1,327,6540,20.0,13.221135694917834,0.009483036501241306,0.004026983511969085,0.5382262996941896,0.5041284403669725,1.6349650792929336,1.4567860161566215,-0.8212278449184185,0.009483036501241307,0.21956601611727833,-0.14852931385738127
low_log_total_mv,research_holdout,3,325,6500,20.0,8.88963317972728,0.008314744491027006,0.00401287329296251,0.5353846153846153,0.5010769230769231,1.5533334635691596,1.3980612425353487,-0.8212278449184184,0.008314744491027004,0.1738581648653673,-0.14852931385738127
low_log_total_mv,research_holdout,5,323,6460,20.0,6.21259987929851,0.007307595805074685,0.003631604807852573,0.5325077399380805,0.4981424148606811,1.483316594403835,1.347874282873567,-0.8212278449184185,0.007307595805074687,0.15340524306036915,-0.14852931385738127
low_log_total_mv,research_holdout,10,318,6360,20.0,2.7414791712169815,0.005216326828261953,0.0018440438644373807,0.5251572327044025,0.4908805031446541,1.3396617014234415,1.2451010878727993,-0.8212278449184186,0.005216326828261955,0.12573033177851836,-0.14852931385738127
low_log_total_mv,research_holdout,20,308,6160,20.0,0.27068299180492317,0.0016821761383580716,0.00032729449419173777,0.5097402597402597,0.4753246753246753,1.1060905867207795,1.0766847050627282,-0.8212278449184187,0.0016821761383580714,0.09867684782503713,-0.14852931385738127
low_stock_amount_share_in_industry,research_holdout,0,328,6560,20.0,7.066213509696933,0.007078204817076282,0.008495771671790164,0.6158536585365854,0.5388719512195121,1.6863527321647271,1.4565938629830764,-0.5785395018723937,0.007078204817076279,0.16896976759839974,-0.14827261952460632
low_stock_amount_share_in_industry,research_holdout,1,327,6540,20.0,5.900275553121146,0.006583123585329114,0.008418221345264603,0.6146788990825688,0.5374617737003058,1.6363999818793251,1.4233629626739817,-0.5785395018723937,0.006583123585329113,0.12966968269527376,-0.14827261952460632
low_stock_amount_share_in_industry,research_holdout,3,325,6500,20.0,4.430331318837213,0.00584054528728974,0.008390763479809693,0.6123076923076923,0.5346153846153846,1.5611605788083749,1.3733102010446145,-0.5785395018723938,0.005840545287289739,0.12116411422800304,-0.14827261952460632
low_stock_amount_share_in_industry,research_holdout,5,323,6460,20.0,3.33811446941193,0.005140928102607136,0.00784007775419594,0.6099071207430341,0.5318885448916408,1.4909016029938433,1.3271002530041702,-0.5785395018723936,0.005140928102607135,0.08847156765880922,-0.14827261952460632
low_stock_amount_share_in_industry,research_holdout,10,318,6360,20.0,1.9528917609255547,0.003964058698872416,0.00749839764083029,0.6037735849056604,0.5248427672955975,1.372664131594969,1.248484334383548,-0.5785395018723938,0.003964058698872415,0.06924595737381459,-0.14827261952460632
low_stock_amount_share_in_industry,research_holdout,20,308,6160,20.0,0.6206112178633496,0.0020848233305250153,0.0062052099250364205,0.5909090909090909,0.5112012987012987,1.1898324149658361,1.1270271632247086,-0.5927258158820115,0.0020848233305250153,0.05407208822208396,-0.14827261952460632
low_stock_ret_60d,research_holdout,0,328,6560,20.0,17.706427124495782,0.009926589919772548,0.010599823751003247,0.600609756097561,0.504420731707317,1.831860814863715,1.423634554004225,-0.5692227802893268,0.009926589919772546,0.1899077288623758,-0.1500717704511215
low_stock_ret_60d,research_holdout,1,327,6540,20.0,14.72090563894419,0.009376188883250822,0.010259265883833047,0.599388379204893,0.5029051987767584,1.7833409723592946,1.3989252739510676,-0.5692227802893268,0.009376188883250822,0.188355077397879,-0.1500717704511215
low_stock_ret_60d,research_holdout,3,325,6500,20.0,10.243806221269821,0.008311040348039641,0.010209330844914793,0.5969230769230769,0.49984615384615383,1.6901055087324808,1.351444056726773,-0.6099302641968012,0.008311040348039643,0.1723299622611914,-0.1500717704511215
low_stock_ret_60d,research_holdout,5,323,6460,20.0,7.279424176343392,0.007338530443259572,0.009737763438722475,0.5944272445820433,0.4967492260061919,1.6056034840476685,1.308410442328589,-0.6632722550629278,0.0073385304432595725,0.12414639417547077,-0.1500717704511215
low_stock_ret_60d,research_holdout,10,318,6360,20.0,3.981098536913292,0.005771458165942777,0.009468812382444911,0.5880503144654088,0.4900943396226415,1.4689099134898045,1.2398538760139661,-0.663272255062928,0.005771458165942776,0.09480684679950362,-0.1500717704511215
low_stock_ret_60d,research_holdout,20,308,6160,20.0,1.2523230862106725,0.003275986174991629,0.007855655727186567,0.5746753246753247,0.475487012987013,1.2577920495205985,1.1322163665120386,-0.6636756321302548,0.003275986174991629,0.06569308442018412,-0.1500717704511215
combo_low_liquidity_weak_momentum,train,0,1155,23100,20.0,17.705619506465194,0.0032004379977607447,0.0036799483772358534,0.5506493506493506,0.49203463203463205,1.2684135959648515,1.1805814908617844,-0.9141151551298855,0.0032004379977607447,0.12225185130480395,-0.16498422061216111
combo_low_liquidity_weak_momentum,train,1,1154,23080,20.0,15.667933748308645,0.003097273861446149,0.003646846009448426,0.550259965337955,0.4915944540727903,1.2595365482821164,1.1746092505241175,-0.9141151551298855,0.003097273861446149,0.1130034192511491,-0.16498422061216111
combo_low_liquidity_weak_momentum,train,3,1152,23040,20.0,12.491637559377482,0.002909076990833483,0.0036086346464902774,0.5494791666666666,0.49071180555555555,1.2433440896578487,1.1637153972951966,-0.9141151551298854,0.0029090769908334826,0.10813217338816475,-0.16498422061216111
combo_low_liquidity_weak_momentum,train,5,1150,23000,20.0,10.006278737200152,0.0027277627998927335,0.0035865735187521645,0.548695652173913,0.48982608695652174,1.2277810291697477,1.1532449863042367,-0.9141151551298855,0.0027277627998927335,0.10351579525085239,-0.16498422061216111
combo_low_liquidity_weak_momentum,train,10,1145,22900,20.0,5.794991942848638,0.0022974828489241224,0.0034751250222700815,0.5467248908296943,0.4879475982532751,1.191016495430956,1.1285469126467624,-0.9141151551298855,0.002297482848924122,0.09933261898534736,-0.16498422061216111
combo_low_liquidity_weak_momentum,train,20,1135,22700,20.0,1.7775539445504362,0.0014931332001151545,0.0032957526905855127,0.5427312775330396,0.483568281938326,1.1230573396348178,1.0828275996012606,-0.9141151551298855,0.0014931332001151545,0.089487695948176,-0.16498422061216111
combo_low_size_low_liquidity,train,0,1215,24300,20.0,7.038359525132888,0.0022923630469456236,0.004291631273145274,0.5555555555555556,0.5082716049382716,1.2011560410041158,1.1479779857859205,-0.8770336021172227,0.0022923630469456236,0.12045655930994599,-0.15911208081115433
combo_low_size_low_liquidity,train,1,1214,24280,20.0,6.174182219151328,0.0021950284536482586,0.00420179715348582,0.5551894563426688,0.5078665568369028,1.1924563494191178,1.141578163880098,-0.8770336021172227,0.002195028453648259,0.11585722679639439,-0.15911208081115433
combo_low_size_low_liquidity,train,3,1212,24240,20.0,4.820422363494817,0.0020167463275810836,0.004089836715392714,0.5544554455445545,0.5070957095709571,1.1765335672929556,1.1298727932003765,-0.8770336021172228,0.0020167463275810836,0.09940104041021672,-0.15911208081115433
combo_low_size_low_liquidity,train,5,1210,24200,20.0,3.8281559277008945,0.0018581605084427486,0.004064789663806138,0.5537190082644629,0.5062809917355372,1.1623835377009895,1.1194628530674218,-0.8770336021172227,0.0018581605084427484,0.095801305582234,-0.15911208081115433
combo_low_size_low_liquidity,train,10,1205,24100,20.0,2.1384406265490554,0.0014925339860431335,0.003934155127385491,0.5518672199170125,0.5042323651452282,1.129892680372655,1.0955598726914393,-0.8770336021172227,0.0014925339860431333,0.08238993745585284,-0.15911208081115433
combo_low_size_low_liquidity,train,20,1195,23900,20.0,0.4703900204168727,0.0008458537004045632,0.003693574982379655,0.5481171548117155,0.5002510460251046,1.0730023030894813,1.053711561966585,-0.8856972997961655,0.0008458537004045637,0.0753787924495426,-0.15911208081115433
low_log_amount,train,0,1215,24300,20.0,24.020353204666712,0.003352984119184931,0.0027293741309169783,0.5415637860082304,0.49979423868312756,1.306711242631703,1.2202254400820804,-0.9024614423285247,0.00335298411918493,0.3686607123608557,-0.15185105318968348
low_log_amount,train,1,1214,24280,20.0,17.280902621591384,0.0030520716577008525,0.0026642257521287183,0.5411861614497528,0.4993822075782537,1.2789557602874109,1.2002963913080125,-0.9024614423285247,0.0030520716577008525,0.32540449560104057,-0.15185105318968348
low_log_amount,train,3,1212,24240,20.0,9.53553640522079,0.0025335404706068837,0.0025656763560108348,0.5404290429042904,0.4985561056105611,1.2311811325606026,1.1659931544079953,-0.9024614423285249,0.0025335404706068837,0.29067230547127343,-0.15185105318968348
low_log_amount,train,5,1210,24200,20.0,5.8695873611674605,0.0021419196373325777,0.0025288906969528568,0.5396694214876033,0.4977685950413223,1.1951238982813284,1.1401032645586333,-0.9024614423285247,0.0021419196373325773,0.1747845915529867,-0.15185105318968348
low_log_amount,train,10,1205,24100,20.0,2.748281748973409,0.001615321704452327,0.002491343345540048,0.537759336099585,0.49576763485477177,1.1465439847853782,1.1052298786181702,-0.917828944945886,0.0016153217044523275,0.10684353840025813,-0.15185105318968348
low_log_amount,train,20,1195,23900,20.0,0.5304775898698892,0.0008444830252941479,0.002219787466494516,0.5338912133891214,0.4918410041841004,1.0759767567595266,1.054572090022999,-0.9511187168995168,0.0008444830252941478,0.08152140570844447,-0.15185105318968348
low_log_total_mv,train,0,1215,24300,20.0,4.294747606090155,0.0023657592403623757,0.003492211067743217,0.5390946502057613,0.49477366255144034,1.152515805136356,1.1164865286418522,-0.9275075022595747,0.0023657592403623752,0.19572942169498475,-0.1755705309859769
low_log_total_mv,train,1,1214,24280,20.0,3.4280482774980072,0.0022064810999549438,0.0034921455232615585,0.5387149917627677,0.49435749588138383,1.1421303832950378,1.1085544868597246,-0.9275075022595745,0.0022064810999549433,0.18242557814880517,-0.1755705309859769
low_log_total_mv,train,3,1212,24240,20.0,2.1867127962784143,0.001915087663074129,0.003443194238823563,0.5379537953795379,0.49356435643564356,1.1231570583672859,1.0940728195620013,-0.9275075022595746,0.0019150876630741286,0.17135373101883547,-0.1755705309859769
