rule_id,split,roundtrip_cost_bps,regime_type,regime_value,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
combo_low_size_low_liquidity,validation,40,industry_crowding_regime,crowding_high,196,3920,20.0,5.607361046010424,0.011555965004087185,-0.00485559496516485,0.40816326530612246,0.4487244897959184,2.1704261539905074,1.8616121887891028,-0.43634375914003654,0.011555965004087183,0.477139634598743,-0.0665456173570171
combo_low_size_low_liquidity,validation,40,industry_crowding_regime,crowding_low,26,520,20.0,-0.4632300489291814,-0.020548418971850238,2.3239924031603985e-05,0.5,0.4173076923076923,0.396118495064826,0.49488095383349967,-0.48748356935670534,-0.020548418971850235,0.12089195509250686,-0.24147716216166376
combo_low_size_low_liquidity,validation,40,industry_crowding_regime,crowding_normal,262,5240,20.0,-0.7357754720979949,-0.0036945709300375256,-0.007838997640715457,0.3511450381679389,0.38606870229007634,0.7829690556366194,0.820264756848178,-0.8881404887204242,-0.0036945709300375247,0.5226750184450688,-0.16665137718655224
combo_low_size_low_liquidity,validation,40,market_regime_id,neutral|low_vol|crowding_high,37,740,20.0,0.4107465030848827,0.011509901433074723,-0.009002275879290459,0.32432432432432434,0.3567567567567568,2.1783692009774605,1.9635519389763516,-0.2697126147996721,0.011509901433074725,0.34097561977798263,-0.03406619352226971
combo_low_size_low_liquidity,validation,40,market_regime_id,neutral|low_vol|crowding_normal,74,1480,20.0,1.5115154989268658,0.014937127647946804,-0.007607952720790349,0.3783783783783784,0.4331081081081081,2.806535832454772,2.479491413537792,-0.37705146750970986,0.014937127647946805,0.5226750184450688,-0.033115641925383986
combo_low_size_low_liquidity,validation,40,market_regime_id,neutral|normal_vol|crowding_high,80,1600,20.0,1.3616956539943188,0.013504602871638427,-0.0037025823412813043,0.35,0.424375,2.8636523324930088,2.2404018205017255,-0.17866678496609667,0.013504602871638426,0.477139634598743,-0.03438365496220341
combo_low_size_low_liquidity,validation,40,market_regime_id,neutral|normal_vol|crowding_low,5,100,20.0,-0.29417162777428196,-0.06519061673673276,-0.03542168287886023,0.0,0.09,0.0,0.021358843128213723,-0.27880769308015674,-0.06519061673673278,-0.021303519944275942,-0.18515117319659574
combo_low_size_low_liquidity,validation,40,market_regime_id,neutral|normal_vol|crowding_normal,97,1940,20.0,-0.8156517207244812,-0.016502016081446105,-0.01599989020319913,0.24742268041237114,0.3030927835051546,0.2988610348498368,0.3895166016573445,-0.8406757579704924,-0.016502016081446105,0.07135147599404176,-0.14770055162119194
combo_low_size_low_liquidity,validation,40,market_regime_id,strong|high_vol|crowding_high,29,580,20.0,0.8206090452959287,0.021688738093164694,0.031768567625327246,0.6896551724137931,0.646551724137931,3.5238734071230513,2.7310515982763452,-0.13555167776028776,0.021688738093164697,0.10658238780416522,-0.05943869997732946
combo_low_size_low_liquidity,validation,40,market_regime_id,strong|high_vol|crowding_normal,5,100,20.0,0.19306388089843907,0.03609497563327398,0.045421248976985976,1.0,0.8,inf,12.111801355526113,0.0,0.036094975633273976,0.05503369894072585,0.01031689181707265
combo_low_size_low_liquidity,validation,40,market_regime_id,strong|low_vol|crowding_high,10,200,20.0,-0.0943670363461031,-0.009846012133054884,-0.01213019413062418,0.1,0.235,0.023521839926357452,0.197250855168432,-0.08390003522937362,-0.009846012133054884,0.0023717511642986884,-0.016268757020970234
combo_low_size_low_liquidity,validation,40,market_regime_id,strong|low_vol|crowding_normal,8,160,20.0,-0.048595675840732766,-0.006119712997179495,-0.009766257908005317,0.125,0.3,0.36821577346719503,0.4519509246249909,-0.07498944063848256,-0.006119712997179494,0.028533474056737163,-0.01635438049807427
combo_low_size_low_liquidity,validation,40,market_regime_id,strong|normal_vol|crowding_high,16,320,20.0,-0.1403593726384984,-0.007889985024784359,-0.03183431448486759,0.3125,0.384375,0.7412186668493853,0.7651399665179752,-0.352945248711413,-0.007889985024784359,0.09112607286952519,-0.0665456173570171
combo_low_size_low_liquidity,validation,40,market_regime_id,strong|normal_vol|crowding_low,8,160,20.0,-0.051321838669282194,-0.006442839179140178,-0.007684472283109206,0.375,0.4,0.38341962306627947,0.6216129532767325,-0.06670307513906093,-0.006442839179140178,0.016755898033663476,-0.026961049478655
combo_low_size_low_liquidity,validation,40,market_regime_id,strong|normal_vol|crowding_normal,18,360,20.0,-0.5465763577395185,-0.04179272110618056,-0.03359502969756656,0.1111111111111111,0.2361111111111111,0.04532726282293759,0.1114144631858535,-0.5454091119680253,-0.041792721106180555,0.034073769609358484,-0.16665137718655224
combo_low_size_low_liquidity,validation,40,market_regime_id,weak|high_vol|crowding_high,5,100,20.0,0.14206529096389486,0.027307306397287234,0.04026615015833705,0.8,0.7,7.291375299786248,3.708937738371512,0.0,0.027307306397287238,0.05464310495144649,-0.021702175673906317
combo_low_size_low_liquidity,validation,40,market_regime_id,weak|high_vol|crowding_low,3,60,20.0,0.24821932382693235,0.07722756724349407,0.07166524933328002,1.0,0.8833333333333333,inf,11.622535083102035,0.0,0.07722756724349407,0.12089195509250686,0.03912549730469535
combo_low_size_low_liquidity,validation,40,market_regime_id,weak|high_vol|crowding_normal,14,280,20.0,0.5073779150019941,0.031120206822178614,0.028603265431484518,0.8571428571428571,0.6607142857142857,5.345714981683073,3.389705114114635,-0.08420826352404698,0.031120206822178614,0.15947777997760046,-0.08420826352404699
combo_low_size_low_liquidity,validation,40,market_regime_id,weak|low_vol|crowding_high,4,80,20.0,0.02161107148109087,0.005495591233105574,0.00777483516648856,0.5,0.6375,2.1524515201595205,1.6322516087511387,-0.019059574648566335,0.005495591233105573,0.02469317625814157,-0.018260481658696395
combo_low_size_low_liquidity,validation,40,market_regime_id,weak|low_vol|crowding_normal,13,260,20.0,-0.15108411264148125,-0.012398917845455042,-0.009541797224004564,0.15384615384615385,0.35384615384615387,0.1076233527650921,0.32640469367679104,-0.14023338009197006,-0.012398917845455047,0.014310480714283234,-0.04225914660055373
combo_low_size_low_liquidity,validation,40,market_regime_id,weak|normal_vol|crowding_high,15,300,20.0,0.19920312540689777,0.0130628092101809,0.0003102492048304846,0.5333333333333333,0.5,2.6977016919121533,1.9460472866463092,-0.10878464296396773,0.0130628092101809,0.1415368197098416,-0.024255251122380733
combo_low_size_low_liquidity,validation,40,market_regime_id,weak|normal_vol|crowding_low,10,200,20.0,-0.35778672424600244,-0.0388445797881803,0.0014564920556432086,0.7,0.455,0.18249577096427114,0.31442029866605764,-0.22134710865713048,-0.0388445797881803,0.027028129386429057,-0.24147716216166376
combo_low_size_low_liquidity,validation,40,market_regime_id,weak|normal_vol|crowding_normal,33,660,20.0,-0.13348040073674006,-0.0038295341671179253,0.002935139927053207,0.5454545454545454,0.46060606060606063,0.6983020865652191,0.803361744199057,-0.17723983536985233,-0.0038295341671179244,0.0498017070797669,-0.10621545323155064
combo_low_size_low_liquidity,validation,40,stock_concentration_regime,stock_concentration_low,241,4820,20.0,-0.8860013624187663,-0.006914052516990866,-0.010191767605001154,0.33195020746887965,0.3514522821576763,0.6776569740530831,0.7255101643240573,-0.9628439732015002,-0.006914052516990863,0.477139634598743,-0.24147716216166376
combo_low_size_low_liquidity,validation,40,stock_concentration_regime,stock_concentration_normal,243,4860,20.0,7.2203385441995245,0.009995964281719952,-0.0027421334143903934,0.43209876543209874,0.4742798353909465,2.1508295959308015,1.809259021745723,-0.4021044109131231,0.009995964281719954,0.5226750184450688,-0.0665456173570171
combo_low_size_low_liquidity,validation,40,trend_regime,neutral,293,5860,20.0,0.08879714994805776,0.002337656604501591,-0.00877915679489392,0.31399317406143346,0.3721843003412969,1.164571705907029,1.1365728246468751,-0.888787607609444,0.002337656604501589,0.5226750184450688,-0.18515117319659574
combo_low_size_low_liquidity,validation,40,trend_regime,strong,94,1880,20.0,-0.3079495845968966,-0.00285128719341234,-0.008370738300786017,0.39361702127659576,0.4372340425531915,0.850010975733595,0.8730896826165151,-0.5926016162142901,-0.0028512871934123396,0.10658238780416522,-0.16665137718655224
combo_low_size_low_liquidity,validation,40,trend_regime,weak,97,1940,20.0,0.24366856079738097,0.003565157473453038,0.004286963268543371,0.5773195876288659,0.51340206185567,1.259797921951547,1.177801761790069,-0.4834112639152217,0.0035651574734530387,0.15947777997760046,-0.24147716216166376
combo_low_size_low_liquidity,validation,40,vol_regime,high_vol,56,1120,20.0,3.6675005374988032,0.028809828787420805,0.031962018911004995,0.7857142857142857,0.68125,5.34669105809643,3.544240667494257,-0.13555167776028787,0.0288098287874208,0.15947777997760046,-0.08420826352404699
combo_low_size_low_liquidity,validation,40,vol_regime,low_vol,146,2920,20.0,1.647600412366117,0.008524605524694178,-0.008662015289066106,0.3150684931506849,0.39143835616438355,1.9210426936926823,1.7429810315731544,-0.5997045640623337,0.008524605524694176,0.5226750184450688,-0.04225914660055373
combo_low_size_low_liquidity,validation,40,vol_regime,normal_vol,282,5640,20.0,-0.9241679933896303,-0.007429823244105547,-0.007204852116803296,0.33687943262411346,0.37109929078014187,0.6229948512231415,0.6901845634792053,-0.9704401854700229,-0.007429823244105548,0.477139634598743,-0.24147716216166376
low_log_amount,validation,0,extreme_selloff_flag,False,406,8120,20.0,12.659266491969467,0.008303492814912657,-0.0027769258986332594,0.45073891625615764,0.4564039408866995,1.7096588009986136,1.5328112896906738,-0.6619931582390437,0.00830349281491266,0.5790057781756983,-0.1922285893773429
