model_id,baseline_id,split,signal_days,avg_overlap_count,avg_overlap_ratio_model,avg_overlap_ratio_baseline,avg_model_only_count,avg_baseline_only_count,avg_overlap_return,avg_model_only_return,avg_baseline_only_return,model_only_minus_baseline_only,avg_model_daily_return,avg_baseline_daily_return,avg_replacement_return_diff,replacement_diff_pf,replacement_diff_positive_day_rate
ridge_conditional_industry_ablation,low_stock_amount_share_in_industry,research_holdout,328,4.362804878048781,0.21814024390243905,0.21814024390243905,15.637195121951219,15.637195121951219,0.006444594049433135,0.010621922310936302,0.0072498776564993315,0.00337204465443697,0.00990817940900897,0.007078204817076282,0.0028299745919326894,1.597403779292882,0.524390243902439
ridge_conditional_industry_ablation,low_stock_ret_60d,research_holdout,328,0.3323170731707317,0.016615853658536586,0.016615853658536586,19.66768292682927,19.66768292682927,0.03018854414063453,0.009567026284111706,0.009620896537500756,-5.3870253389050327e-05,0.00990817940900897,0.009926589919772548,-1.8410510763576966e-05,0.998399963849701,0.5030487804878049
ridge_primary_alpha1,combo_low_liquidity_weak_momentum,research_holdout,328,4.100609756097561,0.20503048780487804,0.20503048780487804,15.899390243902438,15.899390243902438,0.004791279927162064,0.010070625035231621,0.008733133456460755,0.001337491578770866,0.009436869828223041,0.008620458980733348,0.0008164108474896934,1.1095560346472497,0.4817073170731707
ridge_primary_alpha1,combo_low_size_low_liquidity,research_holdout,328,6.25,0.3125,0.3125,13.75,13.75,0.010081445314796171,0.00910780885991829,0.008299169348455763,0.0008086395114625267,0.009436869828223041,0.009010606489988079,0.0004262633382349616,1.06415511847501,0.49085365853658536
ridge_primary_alpha1,low_log_amount,research_holdout,328,5.326219512195122,0.2663109756097561,0.2663109756097561,14.673780487804878,14.673780487804878,0.0067507614995584095,0.009511618339667086,0.005546548705281952,0.003965069634385134,0.009436869828223041,0.006137998258078351,0.0032988715701446902,1.6599636278364998,0.5487804878048781
ridge_primary_alpha1,low_log_total_mv,research_holdout,328,1.8841463414634145,0.09420731707317073,0.09420731707317073,18.115853658536587,18.115853658536587,0.0054895093248277125,0.009420698184194427,0.010233289325892079,-0.0008125911416976515,0.009436869828223041,0.010210613481014336,-0.0007737436527912961,0.9316714505475455,0.5457317073170732
ridge_primary_alpha1,low_stock_amount_share_in_industry,research_holdout,328,2.7621951219512195,0.13810975609756096,0.13810975609756096,17.23780487804878,17.23780487804878,0.006889270595995115,0.009586464675143512,0.007099354950297415,0.0024871097248460967,0.009436869828223041,0.007078204817076282,0.002358665011146761,1.4143574540615491,0.5152439024390244
ridge_primary_alpha1,low_stock_ret_60d,research_holdout,328,0.6615853658536586,0.03307926829268293,0.03307926829268293,19.338414634146343,19.338414634146343,0.00885437846590497,0.009647965391624587,0.010183031083454936,-0.0005350656918303495,0.009436869828223041,0.009926589919772548,-0.0004897200915495055,0.9581202777182548,0.5060975609756098
logistic_primary_sgd_l2,combo_low_liquidity_weak_momentum,train,1155,7.698701298701299,0.38493506493506496,0.38493506493506496,12.301298701298702,12.301298701298702,0.0032546297192647036,0.0032059023332975983,0.0030758396001897737,0.00013006273310782468,0.003274053737099454,0.0032004379977607447,7.361573933870948e-05,1.0154973007604682,0.5116883116883116
logistic_primary_sgd_l2,combo_low_size_low_liquidity,train,1215,6.768724279835391,0.33843621399176954,0.33843621399176954,13.231275720164609,13.231275720164609,0.0019424421941750928,0.0037650092206272974,0.0025871428825894904,0.001177866338037807,0.0030089674452868412,0.0022923630469456236,0.0007166043983412172,1.177270609908607,0.516872427983539
logistic_primary_sgd_l2,low_log_amount,train,1215,4.436213991769547,0.22181069958847738,0.22181069958847738,15.563786008230453,15.563786008230453,0.0011429287410988102,0.003571303053254801,0.0035725226803562517,-1.2196271014508486e-06,0.0030089674452868412,0.003352984119184931,-0.00034401667389808956,0.9526703204615397,0.5300411522633744
logistic_primary_sgd_l2,low_log_total_mv,train,1215,2.031275720164609,0.10156378600823046,0.10156378600823046,17.968724279835392,17.968724279835392,0.002574286873308803,0.003132651214190397,0.0022574706099534993,0.0008751806042368976,0.0030089674452868412,0.0023657592403623757,0.0006432082049244655,1.08458979728468,0.5325102880658437
logistic_primary_sgd_l2,low_stock_amount_share_in_industry,train,1215,3.146502057613169,0.15732510288065843,0.15732510288065843,16.85349794238683,16.85349794238683,0.0017705282780029164,0.0031405365361311306,0.004437211296198708,-0.0012966747600675773,0.0030089674452868412,0.004344755410111012,-0.0013357879648241702,0.823867254395054,0.48559670781893005
