model_id,baseline_id,split,avg_replacement_return_diff,replacement_diff_pf,replacement_diff_positive_day_rate,avg_model_only_return,avg_baseline_only_return,model_only_minus_baseline_only
logistic_primary_sgd_l2,combo_low_size_low_liquidity,train,0.0007166043983412172,1.177270609908607,0.516872427983539,0.0037650092206272974,0.0025871428825894904,0.001177866338037807
logistic_primary_sgd_l2,low_log_amount,train,-0.00034401667389808956,0.9526703204615397,0.5300411522633744,0.003571303053254801,0.0035725226803562517,-1.2196271014508486e-06
logistic_primary_sgd_l2,low_log_total_mv,train,0.0006432082049244655,1.08458979728468,0.5325102880658437,0.003132651214190397,0.0022574706099534993,0.0008751806042368976
logistic_primary_sgd_l2,low_stock_amount_share_in_industry,train,-0.0013357879648241702,0.823867254395054,0.48559670781893005,0.0031405365361311306,0.004437211296198708,-0.0012966747600675773
logistic_primary_sgd_l2,low_stock_ret_60d,train,-0.0005752416795893046,0.959236858711887,0.5056277056277056,0.002992817403862742,0.0035816707746884643,-0.0005888533708257224
ridge_conditional_industry_ablation,combo_low_liquidity_weak_momentum,train,0.0005547287060864426,1.1009931409526574,0.541991341991342,0.0035952350940778076,0.00316412338235423,0.0004311117117235777
ridge_conditional_industry_ablation,combo_low_size_low_liquidity,train,0.001245911129718711,1.3104974629249984,0.5259259259259259,0.004130102912420097,0.0023684656971958962,0.0017616372152242008
ridge_conditional_industry_ablation,low_log_amount,train,0.00018529005747940409,1.0250044402722691,0.5456790123456791,0.004068843395572494,0.003220245710550117,0.0008485976850223769
ridge_conditional_industry_ablation,low_log_total_mv,train,0.0011725149363019593,1.1824491547554088,0.5259259259259259,0.0037543984517486263,0.002300469913889196,0.0014539285378594303
ridge_conditional_industry_ablation,low_stock_amount_share_in_industry,train,-0.0008064812334466764,0.8881032877716885,0.49876543209876545,0.003978981516912127,0.004742947892089002,-0.0007639663751768744
ridge_conditional_industry_ablation,low_stock_ret_60d,train,-9.412871284157139e-05,0.9930705158090556,0.5341991341991342,0.0034599713527079983,0.0035757371052933464,-0.00011576575258534809
ridge_primary_alpha1,combo_low_liquidity_weak_momentum,train,0.0006152503522963736,1.1174928638398458,0.5367965367965368,0.0037119473588828867,0.00302330437980238,0.0006886429790805065
ridge_primary_alpha1,combo_low_size_low_liquidity,train,0.0013068931078706538,1.3276544464550828,0.5259259259259259,0.004041936007795965,0.00226312526622463,0.0017788107415713347
ridge_primary_alpha1,low_log_amount,train,0.00024627203563134674,1.0331581447601137,0.5333333333333333,0.0041136544434403,0.003267741387907323,0.0008459130555329769
ridge_primary_alpha1,low_log_total_mv,train,0.0012334969144539019,1.191891516430424,0.5152263374485597,0.003931770103859745,0.0023569201138461345,0.0015748499900136103
ridge_primary_alpha1,low_stock_amount_share_in_industry,train,-0.0007454992552947341,0.898405479855805,0.4897119341563786,0.0040496372727531005,0.004671561923625146,-0.0006219246508720458
ridge_primary_alpha1,low_stock_ret_60d,train,-3.360706663164037e-05,0.9975077712600808,0.5203463203463203,0.003459326976121342,0.003515471364754228,-5.6144388632886014e-05
logistic_primary_sgd_l2,combo_low_liquidity_weak_momentum,validation,0.0020155586894728883,1.3875946213416157,0.5103305785123967,0.005898992173197897,0.0032482573132567773,0.0026507348599411193
