selector_type,selector_id,split,group_type,group_value,trade_count,trade_share_within_selector_split,avg_trade_return,trade_win_rate,positive_trade_return_sum,negative_trade_return_sum,amount_median,amount_p10,amount_p90,total_mv_median,turnover_rate_median,trade_profit_factor
simple_rule,low_stock_ret_60d,validation,size_bucket,size_q2,1503,0.15526859504132232,0.006718907617162245,0.4590818363273453,55.43150860786753,-45.33299045927268,65597.269,25141.7856,209026.60779999994,307377.0,,1.2227631145945996
simple_rule,low_stock_ret_60d,validation,size_bucket,size_q1,2154,0.2225206611570248,0.018168020949045897,0.4907149489322191,113.58966526461602,-74.45574814037116,30849.574999999997,5831.9928,101181.536,148808.6433,,1.5255996763401776
simple_rule,low_stock_ret_60d,validation,size_bucket,size_q5,2102,0.2171487603305785,0.0004315361478653856,0.4419600380589914,48.42532510444919,-47.51823612163614,368255.1275,153599.2854,1121964.8688000003,2652526.9892999995,,1.019089281439048
simple_rule,low_stock_ret_60d,validation,size_bucket,size_q3,1740,0.1797520661157025,-0.00015157560099536964,0.40632183908045977,52.78926321622017,-53.053004761952124,87811.862,35962.1494,247889.93350000004,511368.27495,,0.9950287161506618
simple_rule,low_stock_ret_60d,research_holdout,size_bucket,size_q2,1280,0.1951219512195122,0.004166466014283862,0.4828125,38.983861878549845,-33.6507853802665,121131.0835,55120.3774,288013.9473,393730.86,,1.1584829726265697
simple_rule,low_stock_ret_60d,research_holdout,size_bucket,size_q1,1838,0.2801829268292683,0.01186453066583201,0.49183895538628947,70.02780764635372,-48.22080028255451,54249.903000000006,17641.4751,136046.5206,224450.2212,,1.4522323817941412
simple_rule,low_stock_ret_60d,research_holdout,size_bucket,size_q4,1280,0.1951219512195122,0.013791964417508074,0.53046875,43.13429498530337,-25.480580530893036,261908.32150000002,114004.1051,618720.5171,1052910.27,,1.6928301509067545
simple_rule,low_stock_ret_60d,research_holdout,size_bucket,size_q3,1355,0.20655487804878048,0.0072405947287910956,0.5018450184501845,40.77240412959493,-30.961398272082988,157646.36,70263.554,376992.678,632224.4922,,1.3168786426018184
simple_rule,low_stock_ret_60d,research_holdout,size_bucket,size_q5,807,0.12301829268292683,0.013028036802606021,0.530359355638166,25.913749737838707,-15.400124038135651,481603.016,178940.7562,1458628.9015999998,2501800.0,,1.6826974687780398
simple_rule,low_log_total_mv,train,liquidity_bucket,liq_q1,19174,0.7890534979423869,0.0011807431192723333,0.4924898299780953,391.54572354254987,-368.90615497362217,8140.7345000000005,509.6246000000001,19126.437700000002,120291.054,,1.0613694519966643
simple_rule,low_log_total_mv,train,liquidity_bucket,liq_q4,372,0.015308641975308642,0.01193635612621803,0.4489247311827957,16.53805019470249,-12.097725715749384,89494.1955,54533.9613,155725.43470000016,125195.0,,1.3670379526932475
simple_rule,low_log_total_mv,train,liquidity_bucket,liq_q2,3683,0.15156378600823045,0.00567800026902398,0.5142546836817812,102.18610328426149,-81.27402829344618,24389.526,14673.202,44354.9106,130387.89,,1.2573032914685938
simple_rule,low_log_total_mv,train,liquidity_bucket,liq_q3,966,0.039753086419753086,0.008052386755655382,0.4865424430641822,35.46275539586962,-27.68414978990652,48418.7195,26896.8175,85982.339,126929.5068,,1.2809768645594866
simple_rule,low_log_total_mv,train,liquidity_bucket,liq_q5,105,0.004320987654320987,0.01635596091568081,0.4666666666666667,5.271178666152796,-3.55380277000631,149387.822,96831.5842,266601.9464000001,120208.0,,1.483250199094036
simple_rule,low_log_total_mv,validation,liquidity_bucket,liq_q1,9016,0.9314049586776859,0.02102918790538819,0.46572759538598046,375.7045072586359,-186.105349103656,1613.626,127.268,19631.243,43831.171,,2.018773286572101
simple_rule,low_log_total_mv,validation,liquidity_bucket,liq_q2,513,0.052995867768595044,0.020973968546063718,0.4619883040935672,35.48990460696332,-24.730258742832635,41829.185,25313.318,88352.4352,69061.9161,,1.435080197745568
simple_rule,low_log_total_mv,validation,liquidity_bucket,liq_q3,134,0.01384297520661157,-0.007595939623977294,0.40298507462686567,8.10976444760079,-9.127620357213745,63522.835,44244.5596,135416.2036,68955.07545,,0.888486169474772
