rule_id,rule_group,horizon,top_n,factors,directions,uses_industry_snapshot,primary_rule,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return,random_sims,random_cumret_mean,random_cumret_median,random_cumret_p05,random_cumret_p95,random_cumret_min,random_cumret_max,rule_cumret_percentile,eligible_for_training_plan
low_industry_ret_60d,industry_reversal,3d,20,industry_ret_60d,low,True,True,1969,39380,20.0,5.502561435124643,0.0014094505452496753,0.0006619127965249106,0.5099035043169121,0.4781107160995429,1.136324354370777,1.092444533430979,-0.7319294488018429,0.0014094505452496755,0.20843932546998575,-0.16334533112592484,500,47.513144184987404,42.335430011329635,20.500460631503053,88.89915812686674,11.853389565188095,191.89617873237427,0.0,False
low_industry_ret_60d,industry_reversal,5d,20,industry_ret_60d,low,True,True,1967,39340,20.0,3.208411871068379,0.001560180945092045,0.0013282020551206807,0.5114387391967463,0.4822572445348246,1.110386821380491,1.0761552232395972,-0.9161223548766149,0.0015601809450920452,0.2844432641715556,-0.19204905506194836,500,250.81289470814087,209.80147616732106,86.51282939038768,556.3070310010884,34.95802283277503,1262.4246716292337,0.0,False
high_industry_ret_20d,industry_momentum_control,5d,20,industry_ret_20d,high,True,True,2007,40140,20.0,0.4808727082839601,0.0015321451167631093,-0.0012984343452632718,0.484304932735426,0.4486297957149975,1.0818961773415714,1.0545665677648466,-0.9124317124485666,0.0015321451167631095,0.3262027263135497,-0.1856110871319408,500,347.96574328695306,279.82407884088093,112.29700717000311,814.2236033677111,51.05523683996449,2256.830789218872,0.0,False
low_stock_ret_5d,short_reversal,5d,20,stock_ret_5d,low,False,True,2022,40440,20.0,-0.3388687094262215,0.0011239153715140024,-0.0017811495413912887,0.4762611275964392,0.4459940652818991,1.0610264480693081,1.0367026845790475,-0.9848595290048394,0.0011239153715140024,0.4290107828561842,-0.19163347167432104,500,260.4492450736971,219.47895976736805,82.93583591080801,564.4182036300938,49.19234063529195,1282.396830687315,0.0,False
high_stock_ret_60d,momentum_control,3d,20,stock_ret_60d,high,False,True,1969,39380,20.0,-0.7884331991757381,0.0004373816070503636,-0.0004428929644886004,0.4936515997968512,0.447866937531742,1.0230627070695106,1.0119171567271001,-0.9788164460161694,0.0004373816070503634,0.2725205149298663,-0.20724839441065152,500,48.627084096603326,42.39659720384679,19.993935286622115,97.44073052353386,10.964647679416453,136.50362502752256,0.0,False
high_industry_ret_20d,industry_momentum_control,10d,20,industry_ret_20d,high,True,True,2002,40040,20.0,-0.9051980014419762,0.0011956798272670637,-0.003218422145854491,0.48301698301698304,0.436988011988012,1.0464381547612638,1.030840441958079,-0.9983659813687923,0.0011956798272670646,0.36545024873494547,-0.2086940989415961,500,35121.124907601334,26257.147982443614,6833.947535921458,86366.65116253849,1933.9303493978148,336719.4872548781,0.0,False
high_stock_ret_20d,momentum_control,3d,20,stock_ret_20d,high,False,True,2009,40180,20.0,-0.997127198283034,-0.0015816136612752175,-0.0020858401064723087,0.48232951717272277,0.43257839721254354,0.9234082435570969,0.9611464512843129,-0.9992232992139674,-0.0015816136612752173,0.3602678174258223,-0.20897393747095636,500,54.88862500737107,49.60915307544158,23.238150248022823,104.98322605294905,13.490968209907688,210.48467688860438,0.0,False
low_stock_ret_5d,short_reversal,10d,20,stock_ret_5d,low,False,True,2017,40340,20.0,-0.9995657850346658,-0.001413732901351552,-0.006623812351009761,0.45364402578086266,0.4237729300941993,0.9465798802114626,0.9681903389369785,-0.9999968225840545,-0.001413732901351552,0.5101486437438689,-0.32001835405634577,500,12994.552879145569,9996.107593327735,2324.2855085913848,32397.591809950543,978.377287435645,200557.17526996369,0.0,False
high_stock_ret_60d,momentum_control,5d,20,stock_ret_60d,high,False,True,1967,39340,20.0,-0.9999330445293226,-0.0029470744663733293,-0.0042415147377429015,0.469242501270971,0.42526690391459077,0.8836649722101778,0.9392841873656478,-0.999990943664276,-0.0029470744663733285,0.39805841324482916,-0.20935377607828012,500,256.99792467584865,213.82608103540144,88.6466330695286,550.4244166114469,45.19076493525631,1862.1827731270023,0.0,False
high_stock_ret_20d,momentum_control,5d,20,stock_ret_20d,high,False,True,2007,40140,20.0,-0.9999999606009821,-0.006453079070404512,-0.008491671275888952,0.4434479322371699,0.4053811659192825,0.7678932494741197,0.8795512255457465,-0.9999999935376951,-0.006453079070404511,0.32213076917126654,-0.20889167027899194,500,373.9969240176962,312.98042352204163,124.74259452307118,814.3941624532268,38.70838459100327,3200.4648161742384,0.0,False
high_stock_ret_60d,momentum_control,10d,20,stock_ret_60d,high,False,True,1962,39240,20.0,-0.9999999999398577,-0.008464635304947628,-0.013576925509593402,0.4240570846075433,0.3983180428134557,0.7675860761704185,0.8766738851733169,-0.999999999996785,-0.008464635304947628,0.43851727866044987,-0.2637081607841577,500,15886.607020092626,11499.032230182724,3014.9613519924,42069.46163658491,766.3314434383461,138050.63327588985,0.0,False
high_stock_ret_20d,momentum_control,10d,20,stock_ret_20d,high,False,True,2002,40040,20.0,-0.9999999999999539,-0.011574108898743636,-0.014373705840853963,0.42207792207792205,0.38543956043956046,0.7029700067682556,0.8411888537814521,-0.9999999999999987,-0.011574108898743636,0.46571838400531274,-0.3044176514979865,500,34899.118825802325,26134.975274804758,6331.522447515762,94521.02642539235,2009.3211318566273,348594.3718075745,0.0,False
