rule_id,horizon,top_n,regime_type,regime_value,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
combo_low_liquidity,3d,20,vol_regime,low_vol,180,3600,20.0,1.532127663440579,0.0059735257507598045,-0.0008880534674288703,0.45,0.48583333333333334,2.260401594325497,1.8167230093372286,-0.2833060412949977,0.005973525750759804,0.4712413929070964,-0.055923519113115897
combo_low_liquidity,3d,20,vol_regime,normal_vol,1084,21680,20.0,-0.03501129424469418,0.0002878376168791651,0.0007715543719017033,0.5202952029520295,0.47596863468634687,1.0361413686696428,1.0252152240115675,-0.8519943189287488,0.0002878376168791652,0.2287179112226549,-0.15766503085452482
combo_low_liquidity,3d,20,vol_regime,high_vol,493,9860,20.0,9.592371983757603,0.005129472580449536,0.005617507590771298,0.592292089249493,0.527789046653144,1.71144369752264,1.4580111587283653,-0.46963073090562757,0.005129472580449536,0.10986115168375357,-0.13698380689460504
combo_weak_momentum,3d,20,vol_regime,normal_vol,1084,21680,20.0,1.4192754477597722,0.001467784833429761,0.0019016879364761319,0.5285977859778598,0.45973247232472325,1.1167044264196755,1.0716951723937327,-0.9151661413482173,0.0014677848334297605,0.1719778507760282,-0.1774769153804942
combo_weak_momentum,3d,20,vol_regime,high_vol,493,9860,20.0,21.08648799768319,0.007286893869990368,0.0036168337703529675,0.539553752535497,0.4968559837728195,1.5857042988790033,1.365934555847545,-0.5123846520303947,0.007286893869990367,0.2577448161168869,-0.16057315447717557
combo_weak_momentum,3d,20,vol_regime,insufficient_history,212,4240,20.0,0.13950867712719095,0.001528363880023436,0.0014179959503339752,0.5141509433962265,0.4705188679245283,1.0972870568079514,1.067451053688467,-0.49511412227463303,0.0015283638800234357,0.1397537633116208,-0.11411372532518589
combo_weak_momentum,3d,20,vol_regime,low_vol,180,3600,20.0,5.688610775910295,0.011609277717483078,0.004097407245808829,0.5444444444444444,0.48638888888888887,2.38912783920813,1.7403426479039266,-0.33264532098269683,0.011609277717483081,0.35152033309944086,-0.04866162154646958
combo_low_liquidity_weak_momentum,3d,20,vol_regime,insufficient_history,212,4240,20.0,0.235417571671501,0.001450324429406595,-9.993579818725617e-05,0.5,0.4863207547169811,1.1411793480128711,1.1004632843465607,-0.5371749488064719,0.0014503244294065962,0.09070188337891676,-0.11988872603979148
combo_low_liquidity_weak_momentum,3d,20,vol_regime,normal_vol,1084,21680,20.0,0.34245255976502675,0.0006564940257661924,0.0009564234397264975,0.522140221402214,0.4802121771217712,1.0727276375277517,1.0483809699510647,-0.885342459642975,0.0006564940257661928,0.09824462846899971,-0.19896789732154163
combo_low_liquidity_weak_momentum,3d,20,vol_regime,high_vol,493,9860,20.0,11.90669616481361,0.005729333535251106,0.003384432154066508,0.5557809330628803,0.5159229208924949,1.6764138075728583,1.4334848398273752,-0.48048938504956595,0.005729333535251106,0.22580172527301073,-0.16758368265804716
combo_low_liquidity_weak_momentum,3d,20,vol_regime,low_vol,180,3600,20.0,1.2405808052111467,0.005467094916397841,-0.0006265540080638786,0.4722222222222222,0.47194444444444444,1.6510409369114956,1.4455018520933949,-0.50615065061272,0.005467094916397841,0.46445144292412577,-0.05010630543854376
combo_low_size_low_liquidity,3d,20,vol_regime,insufficient_history,272,5440,20.0,0.19871816110951568,0.0010983216820588768,0.002408011458998646,0.5588235294117647,0.5084558823529411,1.1067873949871185,1.0789835543793191,-0.5363526480515626,0.0010983216820588768,0.08764910974990266,-0.10761377610635799
combo_low_size_low_liquidity,3d,20,vol_regime,low_vol,180,3600,20.0,1.7520353784895861,0.006466268081642091,-0.001203541194399782,0.4444444444444444,0.4738888888888889,2.4291207360040046,1.909045361140833,-0.2710578950560403,0.006466268081642092,0.4852930931643972,-0.04720888020679967
combo_low_size_low_liquidity,3d,20,vol_regime,normal_vol,1084,21680,20.0,0.04336600383600131,0.00044359534820647323,0.0002949770606973545,0.507380073800738,0.4779520295202952,1.0492795397344061,1.0359442473486093,-0.8684968555189051,0.00044359534820647355,0.26891462243979536,-0.15017181378819075
combo_low_size_low_liquidity,3d,20,vol_regime,high_vol,493,9860,20.0,11.56156588740998,0.005534097642473185,0.0049980678992337935,0.6085192697768763,0.5427991886409737,1.7193756090756047,1.4835064057570388,-0.4853536804136461,0.005534097642473185,0.12065558341292684,-0.14461781458057732
low_log_amount,5d,20,vol_regime,insufficient_history,272,5440,20.0,0.1799570228662113,0.0012366206460490928,0.00502215855166438,0.5514705882352942,0.5033088235294118,1.0986881596522227,1.0721201765084172,-0.7314314457810733,0.001236620646049093,0.09182043162562445,-0.15185105318968348
low_log_amount,5d,20,vol_regime,low_vol,180,3600,20.0,4.955276042185363,0.011633195071808178,-0.002882364576908189,0.45555555555555555,0.46805555555555556,2.644828470352257,2.2017631218551776,-0.43033678279034204,0.011633195071808182,0.5509797135602565,-0.06763393750780047
low_log_amount,5d,20,vol_regime,normal_vol,1082,21640,20.0,6.9766077809632625,0.0027832643175078157,0.0009777633248236662,0.5203327171903882,0.4829944547134935,1.2378318566316766,1.1771484152814287,-0.8833729983389806,0.0027832643175078157,0.5790057781756983,-0.1922285893773429
low_log_amount,5d,20,vol_regime,high_vol,493,9860,20.0,58.39654435729485,0.00937361344056884,0.005565008349878065,0.5760649087221096,0.5337728194726167,1.889330525830942,1.603762325843129,-0.639152472621049,0.009373613440568838,0.3686607123608557,-0.14394592326643602
low_turnover_rate,5d,20,vol_regime,high_vol,493,9860,20.0,3.779471152832641,0.0034088274310847574,0.0027594298508149704,0.565922920892495,0.5101419878296146,1.539046409464941,1.3326418224916674,-0.47834283126191424,0.003408827431084758,0.11254191332168499,-0.10575696600351434
low_turnover_rate,5d,20,vol_regime,normal_vol,1082,21640,20.0,2.6408369815838015,0.0013958825414431184,0.0012445812496896082,0.5295748613678374,0.47851201478743066,1.2331885089210115,1.1263145510688337,-0.6271060250030853,0.0013958825414431184,0.24821005192637302,-0.10479966516595099
low_turnover_rate,5d,20,vol_regime,insufficient_history,272,5440,20.0,-0.15624850963055636,-0.0003695275104548626,0.0014021025687918965,0.5183823529411765,0.48161764705882354,0.9582438430391466,0.9714737851505053,-0.5871820418868836,-0.00036952751045486244,0.06406237740104709,-0.07898857150752008
low_turnover_rate,5d,20,vol_regime,low_vol,180,3600,20.0,1.6818191115744558,0.006125231784374668,-0.002302529139753642,0.4666666666666667,0.4658333333333333,1.9180363913588614,1.5975318168501929,-0.41022995213148594,0.006125231784374668,0.2536967822848308,-0.05851690366101314
low_stock_amount_share_in_industry,5d,20,vol_regime,insufficient_history,272,5440,20.0,0.4550483764823732,0.0021733074497406256,0.0033438752326184927,0.5441176470588235,0.5075367647058824,1.157506918065778,1.1165033302208716,-0.7129592586550305,0.002173307449740626,0.1160531070483922,-0.15604899731638416
low_stock_amount_share_in_industry,5d,20,vol_regime,low_vol,180,3600,20.0,7.294229708622016,0.013702096127420894,-0.001626218963111217,0.46111111111111114,0.4822222222222222,2.8665702859969078,2.337593963074916,-0.3929164500841913,0.01370209612742089,0.5548869843980596,-0.07900151524815702
low_stock_amount_share_in_industry,5d,20,vol_regime,normal_vol,1082,21640,20.0,8.355171634071406,0.003036729023930321,0.0012756562317068425,0.5157116451016636,0.480268022181146,1.2505000949674567,1.181461211850916,-0.9131033944662976,0.003036729023930322,0.709650002325744,-0.1896592183056902
low_stock_amount_share_in_industry,5d,20,vol_regime,high_vol,493,9860,20.0,121.7983735023006,0.010816612293861255,0.007984298493464248,0.59026369168357,0.5377281947261663,1.9999495195188388,1.6396263352423135,-0.6586931917456496,0.010816612293861255,0.2977717981103513,-0.1460879317335853
low_log_total_mv,5d,20,vol_regime,insufficient_history,272,5440,20.0,-0.03599843702823702,0.0012528719070910622,0.005266364390769246,0.5477941176470589,0.5075367647058824,1.0653258782015207,1.0543731095810187,-0.7721855652079744,0.0012528719070910629,0.1597796153510917,-0.1755705309859769
low_log_total_mv,5d,20,vol_regime,high_vol,493,9860,20.0,210.47949668130164,0.01279262165793183,0.008068477243184468,0.5821501014198783,0.5346855983772819,1.8120765313284999,1.6106712195372732,-0.6656946255207669,0.012792621657931833,0.44012509650989695,-0.17135470756251062
low_log_total_mv,5d,20,vol_regime,low_vol,180,3600,20.0,9.5280813736036,0.015666007733971112,-0.0022396211313784834,0.45,0.465,2.850667481054087,2.386321729628402,-0.3995385792265185,0.015666007733971112,0.6616957575609111,-0.07448873459586888
low_log_total_mv,5d,20,vol_regime,normal_vol,1082,21640,20.0,97.03638227005935,0.006174703961666601,-0.00024820633255311363,0.49815157116451014,0.4680221811460259,1.3733844949381637,1.2795478135035234,-0.9352434488213163,0.0061747039616666015,0.8360219767519196,-0.1873332405624371
low_stock_ret_5d,5d,20,vol_regime,insufficient_history,267,5340,20.0,-0.7476377688499294,-0.003798510464863069,-0.0025386547450517937,0.4794007490636704,0.4543071161048689,0.8292545218871943,0.8824865756105031,-0.9185492281896469,-0.00379851046486307,0.15358558665341798,-0.13467146421773285
low_stock_ret_5d,5d,20,vol_regime,high_vol,493,9860,20.0,2.9499181993904413,0.004528503223352088,-0.0007277838833116557,0.49898580121703856,0.46115618661257607,1.2307996361735927,1.1442957027908953,-0.9124046190236683,0.004528503223352089,0.4290107828561842,-0.19163347167432104
low_stock_ret_5d,5d,20,vol_regime,normal_vol,1082,21640,20.0,-0.8985555400036629,-0.0010070896408557646,-0.0033381179350074923,0.4565619223659889,0.4307763401109057,0.9445295936515914,0.9677426849946633,-0.9889731265737827,-0.0010070896408557644,0.2897894093904262,-0.18610608521639987
low_stock_ret_5d,5d,20,vol_regime,low_vol,180,3600,20.0,5.538030127987298,0.011910433764517279,0.0031973986575215356,0.5277777777777778,0.4836111111111111,2.081820240288153,1.5313427336845953,-0.3604161564927836,0.011910433764517276,0.42720697356803583,-0.06544161441264251
low_stock_ret_20d,5d,20,vol_regime,normal_vol,1082,21640,20.0,3.2114072136757645,0.0023711658722851267,0.003231714038075026,0.533271719038817,0.46012014787430683,1.149818567850183,1.0856521985846368,-0.9601920401785449,0.0023711658722851267,0.3077096894800208,-0.2077060474760314
low_stock_ret_20d,5d,20,vol_regime,high_vol,493,9860,20.0,14.231031074953554,0.007410732753296869,0.0015821422367496673,0.5294117647058824,0.48093306288032456,1.4080267794271386,1.2557773275792334,-0.8837620866775823,0.007410732753296869,0.43546541450433873,-0.18846827707391003
low_stock_ret_20d,5d,20,vol_regime,low_vol,180,3600,20.0,5.675263326432496,0.012192398598765057,0.0009883462578461732,0.5055555555555555,0.48777777777777775,2.177904868256729,1.6113483072058619,-0.5015557736825486,0.012192398598765055,0.48537986910608116,-0.06428516194922629
low_stock_ret_20d,5d,20,vol_regime,insufficient_history,252,5040,20.0,-0.020246445097923838,0.0014985676425656024,-0.002333394659064819,0.49206349206349204,0.4720238095238095,1.0707295905298155,1.048994782791614,-0.8591362512305436,0.0014985676425656029,0.15443928660446588,-0.1491915178942415
low_stock_ret_60d,5d,20,vol_regime,normal_vol,1082,21640,20.0,1.8973232350267737,0.0021690529184563282,0.001870951396474685,0.5129390018484289,0.4542975970425139,1.1275718140968551,1.077057429124651,-0.9922352734124449,0.002169052918456329,0.1899077288623758,-0.23264626820832907
low_stock_ret_60d,5d,20,vol_regime,insufficient_history,212,4240,20.0,-0.6674480211020035,-0.003148390055358401,-0.007452751325617854,0.42452830188679247,0.4356132075471698,0.8800565332057821,0.9078313260037445,-0.9022219523380247,-0.003148390055358401,0.1856192657040832,-0.1571672553851948
low_stock_ret_60d,5d,20,vol_regime,high_vol,493,9860,20.0,92.41043980205224,0.011194343685537289,0.004829926785683575,0.5294117647058824,0.4966531440162272,1.6648629065509368,1.418672966096972,-0.8686916771133153,0.011194343685537293,0.4015994397657726,-0.1960940026626236
