rule_id,horizon,top_n,random_sims,random_cumret_mean,random_cumret_median,random_cumret_p05,random_cumret_p95,random_cumret_min,random_cumret_max,rule_cumret_percentile
combo_low_liquidity,3d,20,500,47.32137375968294,42.504460817644485,20.051543927354096,90.43791846762427,9.937049441638239,160.10776340554378,0.128
combo_weak_momentum,3d,20,500,47.18257544916957,43.62112992616538,20.42844738392223,90.04879024328092,11.354554976684694,172.30732013377352,1.0
combo_low_liquidity_weak_momentum,3d,20,500,47.034891676608325,42.522131801488975,20.400899240282357,88.97703498156186,10.841250566510494,151.9127652751971,0.596
combo_low_size_low_liquidity,3d,20,500,48.198955857820394,43.636490996222484,20.917098311954597,89.53103191723059,10.62577180941014,156.46046618075013,0.468
low_log_amount,5d,20,500,243.39763775435975,205.31141884136437,75.05585304427399,537.2836122897331,31.748908223260848,1559.8177399249967,1.0
low_turnover_rate,5d,20,500,241.82196078676736,208.21055111003085,67.9620872451022,528.0301491373369,23.954928217854434,1347.155440664032,0.004
low_stock_amount_share_in_industry,5d,20,500,247.07964668718864,213.08542617283808,76.84739973012985,564.967585060573,25.734028402870837,951.9321354706443,1.0
low_log_total_mv,5d,20,500,249.9047850908654,202.6795131571418,73.31787049210696,568.1787882456922,37.70016959396647,1129.2452009651427,1.0
low_stock_ret_5d,5d,20,500,260.4492450736971,219.47895976736805,82.93583591080801,564.4182036300938,49.19234063529195,1282.396830687315,0.0
low_stock_ret_20d,5d,20,500,347.9901991303465,301.56475664112486,112.22678423981529,716.5796614763765,58.238170974695194,1434.2674587077986,0.708
low_stock_ret_60d,5d,20,500,266.77229169632096,224.73134890049874,85.09395471082898,592.5284111338988,29.63827013608596,1675.9173306833197,0.996
high_stock_ret_20d,5d,20,500,373.9969240176962,312.98042352204163,124.74259452307118,814.3941624532268,38.70838459100327,3200.4648161742384,0.0
high_stock_ret_60d,5d,20,500,256.99792467584865,213.82608103540144,88.6466330695286,550.4244166114469,45.19076493525631,1862.1827731270023,0.0
low_stock_rel_industry_ret_20d,5d,20,500,351.8353009963784,296.24314838809903,120.14484437355708,759.9301059838122,64.64004145728812,1272.7450632312327,0.126
low_stock_rel_industry_ret_60d,5d,20,500,265.1750324909184,221.79325838090926,89.21733922950186,529.0289633559355,39.64989350643649,1459.633922183702,0.994
low_industry_crowding_score,5d,20,500,277.0825499998163,236.0797893112198,81.92360691801736,620.9810513161972,40.01844483177204,1183.4309897794046,0.06
high_industry_ret_20d,5d,20,500,347.96574328695306,279.82407884088093,112.29700717000311,814.2236033677111,51.05523683996449,2256.830789218872,0.0
low_industry_ret_60d,5d,20,500,250.81289470814087,209.80147616732106,86.51282939038768,556.3070310010884,34.95802283277503,1262.4246716292337,0.0
combo_low_liquidity,5d,20,500,237.98085830973625,201.8436036983038,80.72620173461475,507.75237259176606,47.75368787313874,1093.5437948687666,0.632
combo_weak_momentum,5d,20,500,263.18907578267994,225.36174155807566,89.47972422983963,548.3986550820599,48.18965397363564,1078.5025017531018,1.0
combo_low_liquidity_weak_momentum,5d,20,500,264.9382313626469,222.4189534118866,83.91972600970652,566.7991750074311,34.93346218777858,1367.3641982218921,0.996
combo_low_size_low_liquidity,5d,20,500,237.5016793502483,208.96372090828106,82.51777441452307,545.0441799310578,41.98938238826302,1039.8322572673546,0.994
low_log_amount,10d,20,500,11446.439781378054,8099.324730458828,2233.1532851054794,30281.244683841713,793.123438350831,145506.60872712277,1.0
low_turnover_rate,10d,20,500,11014.38166659197,7799.516340391157,2369.0560378361583,30684.25279534872,642.08118225053,105941.63315130789,0.002
low_stock_amount_share_in_industry,10d,20,500,11648.188019306494,8201.906719513594,2671.824526700885,30441.9409182432,489.0605766599883,73053.71279002652,1.0
low_log_total_mv,10d,20,500,11136.569812428901,7939.932454647021,2135.08598309472,26719.095249700866,859.9602431447763,99856.05958519918,1.0
low_stock_ret_5d,10d,20,500,12994.552879145569,9996.107593327735,2324.2855085913848,32397.591809950543,978.377287435645,200557.17526996369,0.0
low_stock_ret_20d,10d,20,500,35596.06883340675,26533.199865098624,6380.369301576174,95960.01852033967,2392.936467046007,233812.96950456811,0.0
low_stock_ret_60d,10d,20,500,16656.031906222102,11702.586411491715,3465.84420178079,46319.636209645316,954.3558003237446,215871.844489511,0.006
high_stock_ret_20d,10d,20,500,34899.118825802325,26134.975274804758,6331.522447515762,94521.02642539235,2009.3211318566273,348594.3718075745,0.0
high_stock_ret_60d,10d,20,500,15886.607020092626,11499.032230182724,3014.9613519924,42069.46163658491,766.3314434383461,138050.63327588985,0.0
low_stock_rel_industry_ret_20d,10d,20,500,34817.14330651721,25287.776892503076,6239.23748094315,94506.79050094353,1328.545733022402,314908.7636701269,0.0
low_stock_rel_industry_ret_60d,10d,20,500,16459.997958677985,11387.928082483788,3110.2380515334526,43362.81502629665,1546.145058808417,182778.9394824278,0.008
low_industry_crowding_score,10d,20,500,15482.054445487978,11270.424389712001,2662.345899011029,42018.75271915233,1336.9529591781068,150462.585267633,0.0
high_industry_ret_20d,10d,20,500,35121.124907601334,26257.147982443614,6833.947535921458,86366.65116253849,1933.9303493978148,336719.4872548781,0.0
low_industry_ret_60d,10d,20,500,15125.460751859855,10711.104154645269,2955.949937065287,44710.60182743321,1312.5229388513308,100243.81753593386,0.0
combo_low_liquidity,10d,20,500,10319.609425650977,7159.821839815222,1845.791183238557,30531.426766478184,437.5141474547552,59350.611800315506,0.946
combo_weak_momentum,10d,20,500,16668.932426738487,11312.80644105557,2759.640288866744,47071.54769195074,688.2574194064039,146928.48818173658,0.756
combo_low_liquidity_weak_momentum,10d,20,500,16204.527810148307,11583.251421930228,2945.7743300622697,44610.56367967086,1125.6434824746884,212944.8614075282,0.998
combo_low_size_low_liquidity,10d,20,500,10706.731732532975,8257.959135258388,2114.4163012677723,28845.421987611266,782.0173398698547,81471.7955855388,1.0
