trade_date,codes,ew_ret,median_ret,breadth_positive,dispersion,total_amount,top50_amount_share,top100_amount_share,top300_amount_share,top1_industry_amount_share,top3_industry_amount_share,top5_industry_amount_share,roll60_ew_ret,roll60_breadth,roll20_dispersion,roll60_ew_ret_q,roll60_breadth_q,top5_industry_amount_share_q,roll20_dispersion_q,regime_initial,extreme_selloff_flag,trend_regime,vol_low_threshold_tminus1,vol_high_threshold_tminus1,vol_regime,high_vol_flag,low_vol_flag,crowding_low_threshold_tminus1,crowding_high_threshold_tminus1,industry_crowding_regime,industry_crowding_high_flag,industry_crowding_low_flag,stock_concentration_low_threshold_tminus1,stock_concentration_high_threshold_tminus1,stock_concentration_regime,stock_concentration_high_flag,market_regime_id,uses_future_data,definition_version
20250121,5379,-0.0011829307968634702,-0.00451467268623007,0.36902770031604387,0.0260998448197837,1218376962.0640001,0.1796115887773203,0.2665454791740728,0.45412819872322546,0.09927726581114248,0.2628336225296901,0.39201980347680826,-0.0009169753182589613,0.48357404456248426,0.027244170241097772,3.0,3.0,5,3.0,neutral,False,neutral,0.023880894978131353,0.03227647796649323,normal_vol,False,False,0.25879827502306557,0.3343195136764196,crowding_high,True,False,0.23921052788711955,0.30465042685819793,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250122,5383,-0.011304485271138028,-0.011363636363636243,0.19134311722088054,0.024599820318142666,1148350025.6360002,0.19579874309792608,0.2833532579221978,0.46972510464242356,0.09944389778870225,0.26617162750243756,0.41156911554666614,0.0031460402946172916,0.4834565644792671,0.027129191696700722,3.0,3.0,5,3.0,neutral,True,neutral,0.02388154107311325,0.032271312954594684,normal_vol,False,False,0.25884428755103067,0.33445946418285755,crowding_high,True,False,0.23922476726114236,0.30463237999062653,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250123,5384,-0.001586468615082337,-0.0012180267965896663,0.4335066864784547,0.022693046377296917,1370349188.146,0.17500812040430735,0.2651625740907771,0.44988013809901833,0.08752512772038169,0.2502759130546949,0.39551690807602713,-0.00015486425366373346,0.48344573627722753,0.02684856849850483,3.0,3.0,5,3.0,neutral,False,neutral,0.023882187168095145,0.03226614794269614,normal_vol,False,False,0.25889030007899577,0.33452705259991145,crowding_high,True,False,0.2392390066351652,0.3046143331230552,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250124,5381,0.011525681904485965,0.008383233532934131,0.7355510128228954,0.027266978086215043,1234399809.769,0.16358863077983538,0.2526287293039661,0.44168758243492423,0.10604447748537507,0.2696577323211763,0.40621709028846664,-0.0013883635864966326,0.4847620644619028,0.026894504779734575,3.0,4.0,5,3.0,neutral,False,neutral,0.023882833263077042,0.03226098293079759,normal_vol,False,False,0.25893631260696093,0.33456869546020973,crowding_high,True,False,0.23925324600918801,0.3045962862554838,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250127,5382,-0.010812508198639215,-0.008554326191312467,0.33704942400594573,0.03028422348294188,1128266893.0690002,0.1749609790286806,0.2595538559617124,0.44175742599540996,0.11156497038179244,0.2605108475189697,0.39440182070536584,0.020785673074834587,0.48733848799592105,0.027103536485553397,3.0,4.0,5,3.0,neutral,False,neutral,0.023883479358058936,0.032255817918899046,normal_vol,False,False,0.25898232513492603,0.3347129207798668,crowding_high,True,False,0.23926748538321085,0.30457823938791245,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250205,5384,0.009888928663695657,0.008358874987190346,0.637630014858841,0.03466801111036331,1300859530.552,0.19804136158012475,0.2857289601309049,0.46655203431954195,0.13367136369921,0.2986398801061562,0.420009511337596,0.007607121298223163,0.48395942438063994,0.02745824162219681,3.0,4.0,5,3.0,neutral,False,neutral,0.02388589991694295,0.03225567151668234,normal_vol,False,False,0.25902848839209336,0.3347592979403096,crowding_high,True,False,0.23927281955389842,0.3044766387209012,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250206,5385,0.02381680474566028,0.017933565040694988,0.8915506035283194,0.027755909775815484,1555978663.9399998,0.18445996915872084,0.2733573664223467,0.45646552821394476,0.12693976478819918,0.3058174008370266,0.42356517713498293,-0.0016257149731989662,0.48303306028787923,0.027446214498316673,2.0,3.0,5,3.0,neutral,False,neutral,0.023888320475826966,0.03225552511446563,normal_vol,False,False,0.2590746516492607,0.3348342113782764,crowding_high,True,False,0.239278153724586,0.3043750380538898,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250207,5386,0.014700942568854066,0.00995828875144622,0.7742294838470107,0.027965472949607547,1992952080.565,0.18171904099135625,0.27121255514872433,0.45453171905929096,0.13148229760432198,0.2982476611271506,0.41222500029458453,0.0033800342832253083,0.4871334981428067,0.027423855068862562,3.0,4.0,5,3.0,neutral,False,neutral,0.023890741034710977,0.03225537871224893,normal_vol,False,False,0.259120814906428,0.334957261389016,crowding_high,True,False,0.23928348789527357,0.3042734373868784,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250210,5387,0.01879197437903909,0.012711864406779627,0.7698162242435493,0.031009622015877442,1760505936.651,0.1721707051710372,0.2592020964536296,0.44307738612450587,0.14415899450176717,0.2988211486169436,0.4091716062925159,-0.0027575322854456186,0.4858746140206549,0.02724885663856671,2.0,4.0,5,3.0,neutral,False,neutral,0.023893161593594992,0.03225523231003222,normal_vol,False,False,0.25916697816359535,0.3350822136456501,crowding_high,True,False,0.23928882206596114,0.30417183671986703,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250211,5386,-0.0015883523537557355,-0.005788724135042278,0.3405124396583736,0.02808666270136699,1678706850.785,0.17175584030420302,0.2573025714930617,0.4464060216324079,0.14939642923940163,0.29482979592509473,0.40424515581304,-0.005439323223545456,0.48463545739509556,0.027028971179791104,2.0,4.0,5,3.0,neutral,False,neutral,0.023895582152479007,0.03225508590781551,normal_vol,False,False,0.2592131414207627,0.3350969991991733,crowding_high,True,False,0.2392941562366487,0.30407023605285566,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
