model_id,split,remove_top_winning_days,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
logistic_primary_sgd_l2,research_holdout,5,323,6460,20.0,7.148683974616702,0.00702953437127518,0.009448344412971089,0.653250773993808,0.5527863777089783,1.7626662984939212,1.5052874943793124,-0.5630342281791684,0.007029534371275181,0.07798793632770522,-0.13301114863838565
logistic_primary_sgd_l2,research_holdout,10,318,6360,20.0,4.69151562821021,0.0059699739222100826,0.009394189259217617,0.6477987421383647,0.5460691823899371,1.637683278116813,1.4225263727715423,-0.5705817812808165,0.0059699739222100826,0.06834527507157975,-0.13301114863838565
ridge_conditional_industry_ablation,train,0,1215,24300,20.0,28.372241084369847,0.003538274176664335,0.004807948442939125,0.5497942386831276,0.5051440329218106,1.2762898065844148,1.2004563894036082,-0.8912567424276725,0.003538274176664335,0.1407994502223513,-0.1731752020702344
ridge_conditional_industry_ablation,train,1,1214,24280,20.0,24.74706805709359,0.0034252089575163226,0.0047940919568902505,0.5494233937397035,0.5047364085667215,1.2672408592491373,1.1938911116861366,-0.8912567424276725,0.0034252089575163226,0.13558452534146137,-0.1731752020702344
ridge_conditional_industry_ablation,train,3,1212,24240,20.0,18.982463150651622,0.003207900991727315,0.00476056929433509,0.5486798679867987,0.5039191419141914,1.2498737745575077,1.1812907804079462,-0.8912567424276725,0.003207900991727315,0.13236100526951228,-0.1731752020702344
ridge_conditional_industry_ablation,train,5,1210,24200,20.0,14.754799569429428,0.0030045697087301895,0.0047286203048568344,0.5479338842975207,0.503099173553719,1.233649446428986,1.1695195526621656,-0.8912567424276725,0.00300456970873019,0.11528025586305343,-0.1731752020702344
ridge_conditional_industry_ablation,train,10,1205,24100,20.0,8.506066688833043,0.0025758116575389798,0.004138020007249638,0.546058091286307,0.5010373443983402,1.1994794916984086,1.1447282444483264,-0.8912567424276725,0.0025758116575389798,0.09951733640792004,-0.1731752020702344
ridge_conditional_industry_ablation,validation,0,484,9680,20.0,6.149572554712705,0.006336272277748928,-0.002765214582908954,0.45867768595041325,0.4465909090909091,1.3936764087412126,1.3113878714192446,-0.9280176163038604,0.006336272277748927,0.5854475528648078,-0.2707192240310104
ridge_conditional_industry_ablation,validation,1,483,9660,20.0,3.509497991146957,0.005137284119183589,-0.002910805311765391,0.4575569358178054,0.44544513457556933,1.3185230850111145,1.2519435334127467,-0.9280176163038604,0.005137284119183587,0.437607855301983,-0.2707192240310104
ridge_conditional_industry_ablation,validation,3,481,9620,20.0,1.2253456831322134,0.0033973359569129443,-0.0031418736468089904,0.4553014553014553,0.44324324324324327,1.209770188982999,1.16593554285332,-0.9280176163038603,0.0033973359569129426,0.3682278653762948,-0.2707192240310104
ridge_conditional_industry_ablation,validation,5,479,9580,20.0,0.2055150781780759,0.0019138237343939372,-0.003188317745401975,0.453027139874739,0.44091858037578285,1.1176786417354747,1.0930879139370941,-0.9280176163038604,0.0019138237343939363,0.31224300380520603,-0.2707192240310104
ridge_conditional_industry_ablation,validation,10,474,9480,20.0,-0.6080211378211848,-0.0007326625543806818,-0.004468185962442356,0.4472573839662447,0.4350210970464135,0.9554197463804561,0.9647354630285564,-0.9476797418510965,-0.0007326625543806828,0.20352145576020608,-0.2707192240310104
ridge_conditional_industry_ablation,research_holdout,0,328,6560,20.0,18.096830951390587,0.00990817940900897,0.008198141952816113,0.6341463414634146,0.5474085365853658,1.9212707452468283,1.6366667773485544,-0.6344114627668023,0.00990817940900897,0.1827769796103127,-0.12417476087311423
ridge_conditional_industry_ablation,research_holdout,1,327,6540,20.0,15.145758059716712,0.009379528643867367,0.007996421786385145,0.6330275229357798,0.5460244648318043,1.869457466987034,1.6008599387359932,-0.6344114627668025,0.009379528643867367,0.17636004945768055,-0.12417476087311423
ridge_conditional_industry_ablation,research_holdout,3,325,6500,20.0,10.89863546284528,0.00842226691048287,0.007833865798807738,0.6307692307692307,0.5432307692307692,1.7759467821439296,1.5362370831054644,-0.6344114627668023,0.00842226691048287,0.1509165223009747,-0.12417476087311423
ridge_conditional_industry_ablation,research_holdout,5,323,6460,20.0,8.035384985942736,0.007560705152111544,0.007402072758399036,0.628482972136223,0.5407120743034056,1.6922841672575528,1.4784846196151125,-0.6344114627668024,0.0075607051521115465,0.1419352436905062,-0.12417476087311423
ridge_conditional_industry_ablation,research_holdout,10,318,6360,20.0,4.37923659044525,0.005959167087439623,0.007248434130421827,0.6226415094339622,0.5336477987421384,1.5371953658701374,1.3718920796205158,-0.6344114627668025,0.005959167087439623,0.09019895121460636,-0.12417476087311423
