model_id,split,roundtrip_cost_bps,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
ridge_conditional_industry_ablation,train,20,1215,24300,20.0,1.5922527975104783,0.0015382741766643347,0.002807948442939125,0.5292181069958848,0.5051440329218106,1.1120667259747752,1.2004563894036082,-0.9063892747294945,0.003538274176664335,0.1387994502223513,-0.1751752020702344
ridge_conditional_industry_ablation,validation,20,484,9680,20.0,1.718194418972232,0.0043362722777489275,-0.004765214582908954,0.42355371900826444,0.4465909090909091,1.252021654852318,1.3113878714192446,-0.9353811222448956,0.006336272277748927,0.5834475528648078,-0.2727192240310104
ridge_conditional_industry_ablation,research_holdout,20,328,6560,20.0,8.956107480393925,0.007908179409008969,0.006198141952816113,0.5884146341463414,0.5474085365853658,1.686221395539596,1.6366667773485544,-0.6618988570239017,0.00990817940900897,0.1807769796103127,-0.12617476087311422
ridge_primary_alpha1,train,40,1215,24300,20.0,-0.7543514320331945,-0.000400743845183723,0.0002562758784466473,0.502880658436214,0.502880658436214,0.9726993923336577,1.2047796924693035,-0.9294664917167081,0.0035992561548162773,0.13823042038518935,-0.18012940932083027
ridge_primary_alpha1,validation,40,484,9680,20.0,0.5992249665006029,0.003295493397135951,-0.007148214705405131,0.4090909090909091,0.4541322314049587,1.1815567305108738,1.36270509322559,-0.9451166611613442,0.007295493397135952,0.5839358423781728,-0.2822411699919512
ridge_primary_alpha1,research_holdout,40,328,6560,20.0,3.449513098694525,0.005436869828223042,0.005461389900963255,0.5640243902439024,0.5426829268292683,1.4380979280835158,1.5893532022269976,-0.7192867255311177,0.009436869828223041,0.19847053780820567,-0.13137512789185884
logistic_primary_sgd_l2,train,40,1215,24300,20.0,-0.8649288171805358,-0.0009910325547131602,0.0003465689301658673,0.5094650205761316,0.5021399176954733,0.9286366323201738,1.1791773367210496,-0.9314922003770135,0.003008967445286841,0.11759773445270139,-0.1721699068463701
logistic_primary_sgd_l2,validation,40,484,9680,20.0,0.43233450562282205,0.0027478656078929534,-0.007009896417155914,0.4049586776859504,0.45640495867768593,1.1639684234745278,1.353109610011259,-0.9188266359823622,0.006747865607892955,0.573472155143967,-0.25417802162963865
logistic_primary_sgd_l2,research_holdout,40,328,6560,20.0,2.6374432091814985,0.004522195202436982,0.005875441614383329,0.6189024390243902,0.5592987804878049,1.4306468486740607,1.6209079823957508,-0.6556126888456629,0.008522195202436982,0.12570377771869637,-0.13701114863838565
ridge_conditional_industry_ablation,train,40,1215,24300,20.0,-0.772331083717372,-0.00046172582333566653,0.0008079484429391248,0.5078189300411523,0.5051440329218106,0.9685649022127636,1.2004563894036082,-0.9354203279529016,0.003538274176664335,0.1367994502223513,-0.1771752020702344
ridge_conditional_industry_ablation,validation,40,484,9680,20.0,0.03142254847623693,0.0023362722777489258,-0.006765214582908954,0.40289256198347106,0.4465909090909091,1.12714201094352,1.3113878714192446,-0.9445325311975211,0.006336272277748927,0.5814475528648078,-0.2747192240310104
ridge_conditional_industry_ablation,research_holdout,40,328,6560,20.0,4.183869189689977,0.005908179409008969,0.004198141952816113,0.5670731707317073,0.5474085365853658,1.4781332446327415,1.6366667773485544,-0.6958053698284445,0.00990817940900897,0.1787769796103127,-0.12817476087311422
ridge_primary_alpha1,train,60,1215,24300,20.0,-0.9785272441266695,-0.002400743845183723,-0.0017437241215533528,0.48559670781893005,0.502880658436214,0.8469711071436347,1.2047796924693035,-0.9788880893352718,0.0035992561548162773,0.13623042038518934,-0.18212940932083027
ridge_primary_alpha1,validation,60,484,9680,20.0,-0.39385481939961886,0.0012954933971359513,-0.009148214705405132,0.3925619834710744,0.4541322314049587,1.0669570078814843,1.36270509322559,-0.9634125335712522,0.007295493397135952,0.5819358423781728,-0.2842411699919512
ridge_primary_alpha1,research_holdout,60,328,6560,20.0,1.3130316533077004,0.0034368698282230417,0.003461389900963255,0.5426829268292683,0.5426829268292683,1.2583267083246956,1.5893532022269976,-0.7833334364624465,0.009436869828223041,0.19647053780820567,-0.13337512789185885
logistic_primary_sgd_l2,train,60,1215,24300,20.0,-0.9882044175894292,-0.002991032554713159,-0.0016534310698341327,0.4732510288065844,0.5021399176954733,0.7993512811746377,1.1791773367210496,-0.9888080544179945,0.003008967445286841,0.11559773445270138,-0.1741699068463701
logistic_primary_sgd_l2,validation,60,484,9680,20.0,-0.45704977304097594,0.0007478656078929545,-0.009009896417155914,0.38016528925619836,0.45640495867768593,1.0416110342902132,1.353109610011259,-0.9271045596203952,0.006747865607892955,0.571472155143967,-0.25617802162963865
logistic_primary_sgd_l2,research_holdout,60,328,6560,20.0,0.890468008903383,0.0025221952024369813,0.0038754416143833292,0.5975609756097561,0.5592987804878049,1.2234285415734987,1.6209079823957508,-0.7034063657391183,0.008522195202436982,0.12370377771869637,-0.13901114863838565
ridge_conditional_industry_ablation,train,60,1215,24300,20.0,-0.9801020771872022,-0.0024617258233356654,-0.0011920515570608753,0.4897119341563786,0.5051440329218106,0.8431226162732314,1.2004563894036082,-0.9802858871911588,0.003538274176664335,0.1347994502223513,-0.1791752020702344
ridge_conditional_industry_ablation,validation,60,484,9680,20.0,-0.6093885426955744,0.0003362722777489278,-0.008765214582908954,0.3760330578512397,0.4465909090909091,1.0171545284683687,1.3113878714192446,-0.9666008216667862,0.006336272277748927,0.5794475528648078,-0.2767192240310104
ridge_conditional_industry_ablation,research_holdout,60,328,6560,20.0,1.6955812108212411,0.003908179409008969,0.002198141952816113,0.5457317073170732,0.5474085365853658,1.2950633205007323,1.6366667773485544,-0.7678431614420977,0.00990817940900897,0.1767769796103127,-0.13017476087311422
ridge_primary_alpha1,train,100,1215,24300,20.0,-0.9998383281752558,-0.006400743845183724,-0.005743724121553353,0.42633744855967076,0.502880658436214,0.6417922950149995,1.2047796924693035,-0.999838487025987,0.0035992561548162773,0.13223042038518934,-0.18612940932083027
ridge_primary_alpha1,validation,100,484,9680,20.0,-0.913431904749771,-0.0027045066028640492,-0.013148214705405132,0.35537190082644626,0.4541322314049587,0.8761802087888493,1.36270509322559,-0.9872239714481417,0.007295493397135952,0.5779358423781727,-0.2882411699919512
ridge_primary_alpha1,research_holdout,100,328,6560,20.0,-0.3773973724110341,-0.0005631301717769582,-0.0005386100990367451,0.49390243902439024,0.5426829268292683,0.9630569596963174,1.5893532022269976,-0.8870035133991245,0.009436869828223041,0.19247053780820567,-0.13737512789185885
logistic_primary_sgd_l2,train,100,1215,24300,20.0,-0.9999113602657902,-0.00699103255471316,-0.005653431069834133,0.4090534979423868,0.5021399176954733,0.5921528748384178,1.1791773367210496,-0.9999139362146982,0.003008967445286841,0.1115977344527014,-0.1781699068463701
logistic_primary_sgd_l2,validation,100,484,9680,20.0,-0.9224394876089372,-0.0032521343921070455,-0.013009896417155914,0.3367768595041322,0.45640495867768593,0.8416240341471825,1.353109610011259,-0.9808856392620559,0.006747865607892955,0.567472155143967,-0.26017802162963866
