scenario_id,cost_case,capital,participation_cap,slippage_bp,include_commission_tax,include_impact,partial_fill,zero_fill,enforce_limit_suspend,cumulative_return,avg_daily_return,trade_win_rate,daily_win_rate,max_drawdown,profit_factor,auc,total_trades,trading_days,avg_daily_trades,avg_fill_ratio,partial_fill_count,zero_fill_count,max_profit_day,max_profit_day_return,max_loss_day,max_loss_day_return,cum_return_drop_top1_profit_day,cum_return_drop_top3_profit_days,cum_return_drop_top5_profit_days,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing,drawdown_start,drawdown_end,drawdown_days
capacity_100000_part_500bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.05,15,True,True,True,True,True,-0.07269388210910321,-0.0012131559518674445,0.4214162348877375,0.39655172413793105,-0.09469564778343498,0.876431104999579,0.5334428792730082,580,58,10.0,0.9963192672413793,4,1,20260407,0.02907503516478922,20260306,-0.035924936813598596,-0.09889358287425187,-0.13767761844837523,-0.1694999090683882,575,4,1,0,0,20260225,20260519,56
capacity_100000_part_500bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.05,20,True,True,True,True,True,-0.12477242128460309,-0.0022080195089547745,0.41278065630397237,0.3793103448275862,-0.14299784510474478,0.7874770896191323,0.5334428792730082,580,58,10.0,0.9963192672413793,4,1,20260407,0.02804623781028768,20260306,-0.0368887544417259,-0.1486495971430145,-0.18366066062316688,-0.21221164219397537,575,4,1,0,0,20260225,20260519,56
capacity_100000_part_1000bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.1,5,True,True,True,True,True,0.044572143422286103,0.0008396850141437107,0.44559585492227977,0.5172413793103449,-0.06326784727958834,1.0964655924461502,0.5334428792730082,580,58,10.0,0.9979979310344828,1,1,20260407,0.031135713578382095,20260306,-0.03399441258802827,0.013030709408051733,-0.03444151650709104,-0.07378672447823886,578,1,1,0,0,20260305,20260320,12
capacity_100000_part_1000bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.1,10,True,True,True,True,True,-0.01418841451966324,-0.00015890512825346485,0.43350604490500866,0.43103448275862066,-0.07541286750846843,0.9828315617840631,0.5334428792730082,580,58,10.0,0.9979979310344828,1,1,20260407,0.030104859907573923,20260306,-0.03496015667654036,-0.042998801530954256,-0.08601881526878918,-0.12150665372757452,578,1,1,0,0,20260225,20260320,18
capacity_100000_part_1000bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.1,15,True,True,True,True,True,-0.06964348762161121,-0.0011564985157312376,0.4214162348877375,0.39655172413793105,-0.09295514101370816,0.8822124988529764,0.5334428792730082,580,58,10.0,0.9979979310344828,1,1,20260407,0.02907503516478922,20260306,-0.035924936813598596,-0.09592937289610981,-0.1348409894340974,-0.16676796020019602,578,1,1,0,0,20260225,20260519,56
capacity_100000_part_1000bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.1,20,True,True,True,True,True,-0.1219790469693629,-0.002153096639929542,0.41278065630397237,0.3793103448275862,-0.14140678836878418,0.792786563321109,0.5334428792730082,580,58,10.0,0.9979979310344828,1,1,20260407,0.02804623781028768,20260306,-0.0368887544417259,-0.1459324291669999,-0.18105523387635225,-0.20969733869388363,578,1,1,0,0,20260225,20260519,56
capacity_300000_part_100bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.01,5,True,True,True,True,True,-0.022957570165548113,-0.00035560987657154116,0.4438687392055268,0.46551724137931033,-0.05118798457136331,0.9477845194613652,0.5334428792730082,580,58,10.0,0.6604418258269924,366,1,20260304,0.02000245791269577,20260320,-0.023481440346038534,-0.04211757309502573,-0.07745220957657784,-0.10775941209644424,213,366,1,0,0,20260224,20260320,19
capacity_300000_part_100bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.01,10,True,True,True,True,True,-0.05967881230514671,-0.0010155292221148465,0.4317789291882556,0.4482758620689655,-0.07890685158429922,0.8589053202665424,0.5334428792730082,580,58,10.0,0.6604418258269924,366,1,20260304,0.01904133648875726,20260320,-0.024174487466897362,-0.07724922039487081,-0.10987563163679515,-0.13779704734248455,213,366,1,0,0,20260224,20260519,57
capacity_300000_part_100bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.01,15,True,True,True,True,True,-0.09501051191695031,-0.0016747898699448894,0.4214162348877375,0.39655172413793105,-0.11216981425069239,0.7793620025181859,0.5334428792730082,580,58,10.0,0.6604418258269924,366,1,20260304,0.018081174400260604,20260320,-0.024866842848320546,-0.11108317210936713,-0.14115084727994365,-0.16681531801845395,213,366,1,0,0,20260224,20260519,57
capacity_300000_part_100bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.01,20,True,True,True,True,True,-0.12900561583063352,-0.0023333928057870843,0.4110535405872193,0.39655172413793105,-0.14422290843484475,0.7078607793418499,0.5334428792730082,580,58,10.0,0.6604418258269924,366,1,20260304,0.017121970211593365,20260320,-0.025558507525442607,-0.14366771176108528,-0.1713188333995289,-0.19484910162914226,213,366,1,0,0,20260224,20260519,57
