scenario_id,rule_id,split,trade_date,gross_pnl_yuan,net_pnl_yuan,entry_cost_yuan,exit_cost_yuan,total_cost_yuan,close_market_value_yuan,traded_notional_yuan,entry_notional_yuan,exit_notional_yuan,active_positions,entry_count,exit_count,avg_fill_ratio,prev_equity_yuan,equity_yuan,daily_return,gross_exposure_ratio,daily_turnover_ratio
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191017,-8581.815042501508,-10587.46661072863,1000.0,1005.6515682271214,2005.6515682271215,992416.9586136973,401130.31364542426,200000.0,201130.3136454243,100,20,20,1.0,347172.8404639062,336585.37385317753,-0.03049624099794568,2.8585673847285697,1.1554196264587344
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191018,-7552.093033742519,-9544.228651141551,1000.0,992.1356173990318,1992.1356173990318,983734.5519345305,398427.12347980635,200000.0,198427.12347980638,100,20,20,1.0,336585.37385317753,327041.14520203596,-0.028356040970766768,2.9226895413573346,1.183732730031237
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191021,10527.828448486965,8652.625088509996,900.0,975.2033599769692,1875.2033599769693,975835.2569032111,375040.6719953938,180000.0,195040.67199539384,100,20,20,0.98,327041.14520203596,335693.77029054594,0.026457298157895916,2.983830234267221,1.1467690762998803
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191022,10198.649665950035,8195.009960787245,1000.0,1003.6397051627907,2003.6397051627907,990993.2345737673,400727.94103255816,200000.0,200727.94103255813,100,20,20,0.98,335693.77029054594,343888.7802513332,0.02441215978984177,2.9520751419248974,1.1937306453012952
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191023,112.85588670151934,-1897.681250213912,1000.0,1010.5371369154311,2010.5371369154311,990378.1494279107,402107.42738308624,200000.0,202107.4273830862,100,20,20,0.98,343888.7802513332,341991.09900111926,-0.00551829940141397,2.879937370169759,1.169294988598359
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191024,-3057.4295297843473,-5087.467604033518,1000.0,1030.0380742491707,2030.0380742491707,985213.2925150401,406007.6148498341,200000.0,206007.61484983415,100,20,20,0.98,341991.09900111926,336903.63139708573,-0.014876023437138836,2.8808155983960733,1.1871876666839956
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191025,9540.806651390716,7623.581654774301,1000.0,917.2249966164159,1917.2249966164159,988746.4843165966,383444.99932328315,200000.0,183444.99932328318,100,20,20,0.98,336903.63139708573,344527.21305186005,0.022628374835737215,2.934805066411491,1.138144453157711
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191028,25416.857679991946,23382.517715981077,1000.0,1034.3399640108696,2034.3399640108696,1030718.3426733054,406867.9928021739,200000.0,206867.99280217392,100,20,20,1.0,344527.21305186005,367909.7307678411,0.06786842034583032,2.991689200812582,1.1809458800020247
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191029,-21610.174489640296,-23613.363234309894,1000.0,1003.1887446695972,2003.1887446695973,1002240.1753814912,400637.7489339195,200000.0,200637.74893391944,100,20,20,1.0,367909.7307678411,344296.3675335312,-0.06418249168084775,2.724146962054467,1.0889566527576582
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191030,-21499.32656138416,-23483.05302361432,1000.0,983.726462230158,1983.726462230158,980103.0998861876,396745.2924460316,200000.0,196745.29244603158,100,20,20,1.0,344296.3675335312,320813.3145099169,-0.0682059273289524,2.846684404216768,1.152336561922607
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191031,-13247.21473342916,-15223.212432191687,1000.0,975.9976987625266,1975.9976987625266,970110.5927067269,395199.5397525053,200000.0,195199.53975250534,100,20,20,1.0,320813.3145099169,305590.10207772517,-0.04745193464132584,3.023910008812116,1.2318676372775328
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191101,13982.434204914523,12006.13119550843,1000.0,976.3030094060938,1976.3030094060937,988893.487159136,395260.6018812187,200000.0,195260.60188121875,100,20,20,1.0,305590.10207772517,317596.2332732336,0.039288351009663054,3.236012817285608,1.2934339142328843
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191104,-1684.984063224831,-3648.8417547073286,1000.0,963.8576914824977,1963.8576914824976,991947.9012146924,392771.5382964995,200000.0,192771.53829649952,100,20,20,1.0,317596.2332732336,313947.39151852624,-0.01148893271529504,3.1232986959303837,1.2367008709407183
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191105,-4710.623301118416,-6682.761806836073,1000.0,972.138505717658,1972.138505717658,994465.7396170745,394427.7011435316,200000.0,194427.7011435316,100,20,20,1.0,313947.39151852624,307264.6297116902,-0.021286247273826192,3.1676190549217873,1.2563496681266617
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191106,-15206.565642527537,-17180.57438280046,1000.0,974.0087402729225,1974.0087402729225,984831.4728310154,394801.7480545845,200000.0,194801.7480545845,100,20,20,1.0,307264.6297116902,290084.05532888975,-0.055914585414276886,3.2051573061145815,1.2848916207017753
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191107,13242.339133381196,11239.413942230174,1000.0,1002.925191151023,2002.925191151023,1003272.063909812,400585.0382302046,200000.0,200585.0382302046,100,20,20,1.0,290084.05532888975,301323.4692711199,0.038745369611877564,3.4585563924646885,1.3809274617870042
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191108,2402.1353898283373,395.6080050764118,1000.0,1006.5273847519254,2006.5273847519254,1005089.1610694358,401305.4769503851,200000.0,201305.47695038508,100,20,20,1.0,301323.4692711199,301719.07727619633,0.0013129014013855591,3.3355820689993885,1.3318095597436024
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191111,-24731.714250743185,-26708.07866111551,1000.0,976.3644103723223,1976.3644103723223,979051.9698683076,395272.88207446446,200000.0,195272.88207446443,100,20,20,1.0,301719.07727619633,275010.99861508084,-0.08851968825513375,3.244912382428091,1.3100692393826598
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191112,5517.417450713998,3537.479178127036,1000.0,979.9382725869616,1979.9382725869616,989296.505244557,395987.65451739234,200000.0,195987.65451739234,100,20,20,1.0,275010.99861508084,278548.47779320786,0.012863046190666246,3.59729796345064,1.439897518686649
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191113,-657.1159514535116,-2648.1173344948875,1000.0,991.0013830413759,1991.001383041376,992651.7347757112,398200.2766082752,200000.0,198200.27660827516,100,20,20,1.0,278548.47779320786,275900.36045871297,-0.00950684547075798,3.563658802374242,1.4295546676937716
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191114,9283.81762769231,7292.152903616176,1000.0,991.6647240761332,1991.664724076133,1003735.2757951284,398332.94481522666,200000.0,198332.94481522663,100,20,20,1.0,275900.36045871297,283192.51336232916,0.02643038556199135,3.6380353912054133,1.443756521930442
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191115,-8365.453935788684,-10353.837036064193,1000.0,988.3831002755081,1988.3831002755082,997036.877044113,397676.62005510164,200000.0,197676.62005510164,100,20,20,1.0,283192.51336232916,272838.676326265,-0.03656112555072044,3.520703514391496,1.404262476198643
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191118,16223.325703189948,14208.427746413348,1000.0,1014.8979567765996,2014.8979567765996,1015583.5826922014,402979.59135531995,200000.0,202979.59135531992,100,20,20,1.0,272838.676326265,287047.1040726783,0.052076296285144985,3.7222859909998602,1.4769885149033282
