scenario_id,rule_id,split,trend_regime,trades,signal_days,net_pnl_yuan,avg_net_return_on_target,trade_win_rate,profit_factor,avg_fill_ratio
base_1m_5pct_signal_40bps,low_stock_ret_60d,train,neutral,12840,642,-151979.40492423257,-0.0011836402252666093,0.432398753894081,0.9613143860146539,0.9993769470404984
base_1m_5pct_signal_40bps,low_stock_ret_60d,train,strong,6520,326,-364852.59842332616,-0.005595898748824021,0.40904907975460125,0.8175172902721028,0.9993865030674847
base_1m_5pct_signal_40bps,low_stock_ret_60d,train,weak,3740,187,475217.64666687965,0.012706354188954003,0.5128342245989305,1.4085634412355883,0.9978609625668449
high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,train,neutral,12840,642,-1105905.0075121834,-0.008612967348225727,0.3857476635514019,0.6277511895103867,0.9975786164330218
high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,train,strong,6520,326,-516533.5933365378,-0.007922294376327268,0.37530674846625767,0.6506017804524625,0.9966636625766871
high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,train,weak,3740,187,55461.079752090365,0.0014829165709115074,0.47941176470588237,1.0629778446023588,0.9977153716577539
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,neutral,12840,642,-922985.4788573262,-0.007188360427237743,0.39400311526479753,0.7887856415679441,0.9993769470404984
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,strong,6520,326,-755499.3340994085,-0.011587413099684179,0.36993865030674844,0.6616345946748309,0.9993865030674847
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,weak,3740,187,249420.39923200925,0.006668994631871908,0.4858288770053476,1.1961421312693303,0.9978609625668449
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,neutral,12840,642,182122.50353532095,0.001418399560243933,0.4790498442367601,1.0804910275245323,1.0
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,strong,6520,326,130120.45543755911,0.00199571250671103,0.48236196319018404,1.1160426956633773,1.0
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,weak,3740,187,427058.21850985184,0.011418668944113686,0.553475935828877,1.601453022716137,1.0
no_cost_full_fill_1m,low_stock_ret_60d,train,neutral,12840,642,366056.7273601156,0.0028509090915896855,0.4555295950155763,1.1001856192877624,1.0
no_cost_full_fill_1m,low_stock_ret_60d,train,strong,6520,326,-106884.45227928401,-0.0016393320901730687,0.4358895705521472,0.9423991397056105,1.0
no_cost_full_fill_1m,low_stock_ret_60d,train,weak,3740,187,630014.9661742717,0.016845319951183733,0.5310160427807487,1.5745097573186684,1.0
strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,train,neutral,12840,642,-1066055.616781949,-0.0016605227675731292,0.44672897196261685,0.902998566768512,0.8814956640031153
strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,train,strong,6520,326,-644386.2269409255,-0.0019766448679169493,0.4470858895705521,0.8908972588084196,0.9341809926993865
strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,train,weak,3740,187,1305524.1287591518,0.006981412453257498,0.5315508021390374,1.4131771980256234,0.8339646945454546
strict_5m_1pct_signal_40bps,low_stock_ret_60d,train,neutral,12840,642,-910188.9964807365,-0.001417739869907688,0.432398753894081,0.9534999146492863,0.995064777165109
strict_5m_1pct_signal_40bps,low_stock_ret_60d,train,strong,6520,326,-1868695.703614985,-0.005732195409861919,0.40904907975460125,0.8120324650078415,0.9930491299386502
strict_5m_1pct_signal_40bps,low_stock_ret_60d,train,weak,3740,187,2348638.590479003,0.01255956465496793,0.5128342245989305,1.404985802158681,0.9915710753475935
base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,neutral,5860,293,-48897.59480313566,-0.0008344299454460028,0.3887372013651877,0.9631896228424011,0.9825701322525596
base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,strong,1880,94,-33592.42010954674,-0.0017868308568907837,0.45,0.8962004992505193,0.987387994680851
base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,weak,1940,97,156290.28914133852,0.008056200471203017,0.5123711340206185,1.3064607025233244,1.0
base_1m_5pct_signal_40bps,low_stock_ret_60d,validation,neutral,5860,293,-387463.29622641474,-0.006612001642088988,0.37406143344709897,0.8011436605593972,1.0
base_1m_5pct_signal_40bps,low_stock_ret_60d,validation,strong,1880,94,19182.5692611036,0.001020349428782107,0.46595744680851064,1.0434397652757017,0.9984042553191489
base_1m_5pct_signal_40bps,low_stock_ret_60d,validation,weak,1940,97,468286.6728419385,0.024138488290821575,0.5360824742268041,1.7190154135693931,0.9989690721649485
